Scenario,Roll 0,Roll 1,Roll 2,Roll 3
0,46.0,46.0,48.0,46.0
1,41.0,41.0,48.0,46.0
2,41.0,41.0,50.0,46.0
3,49.0,47.0,49.0,46.0
4,44.0,42.0,50.0,45.0
5,44.0,44.0,51.0,46.0
6,48.0,45.0,48.0,46.0
7,44.0,42.0,49.0,46.0
8,43.0,44.0,50.0,46.0
9,50.0,48.0,49.0,48.0
10,48.0,47.0,50.0,47.0
11,48.0,48.0,50.0,48.0
12,49.0,47.0,48.0,47.0
13,47.0,47.0,49.0,47.0
14,47.0,47.0,49.0,47.0
15,45.0,45.0,48.0,46.0
16,47.0,45.0,49.0,45.0
17,45.0,45.0,50.0,45.0
18,48.0,46.0,48.0,45.0
19,43.0,43.0,49.0,45.0
20,43.0,44.0,50.0,45.0
21,47.0,47.0,48.0,46.0
22,43.0,43.0,50.0,46.0
23,42.0,45.0,50.0,46.0
24,51.0,48.0,49.0,48.0
25,50.0,49.0,49.0,48.0
26,50.0,49.0,51.0,48.0
27,50.0,47.0,48.0,47.0
28,49.0,48.0,48.0,47.0
29,49.0,48.0,50.0,47.0
30,45.0,46.0,48.0,45.0
31,50.0,46.0,48.0,44.0
32,48.0,46.0,49.0,45.0
33,44.0,45.0,48.0,44.0
34,41.0,41.0,49.0,45.0
35,41.0,44.0,50.0,46.0
36,50.0,48.0,48.0,47.0
37,49.0,47.0,50.0,47.0
38,49.0,47.0,50.0,47.0
39,49.0,47.0,48.0,46.0
40,48.0,47.0,49.0,47.0
41,48.0,48.0,49.0,47.0
42,44.0,45.0,48.0,43.0
43,49.0,45.0,49.0,45.0
44,47.0,46.0,50.0,45.0
45,47.0,47.0,50.0,47.0
46,47.0,47.0,49.0,47.0
47,47.0,48.0,51.0,47.0
48,46.0,47.0,49.0,47.0
49,50.0,49.0,48.0,46.0
50,50.0,48.0,50.0,46.0
51,47.0,48.0,48.0,47.0
52,51.0,47.0,48.0,46.0
53,49.0,47.0,50.0,46.0
54,45.0,46.0,48.0,46.0
55,49.0,48.0,47.0,45.0
56,49.0,47.0,49.0,45.0
57,46.0,47.0,48.0,47.0
58,50.0,48.0,47.0,46.0
59,48.0,48.0,49.0,45.0
60,44.0,47.0,48.0,43.0
61,46.0,46.0,48.0,44.0
62,46.0,46.0,50.0,45.0
63,47.0,45.0,47.0,44.0
64,42.0,42.0,48.0,44.0
65,42.0,43.0,49.0,44.0
66,46.0,46.0,47.0,45.0
67,42.0,43.0,49.0,45.0
68,42.0,44.0,49.0,45.0
69,50.0,49.0,48.0,47.0
70,49.0,51.0,48.0,47.0
71,49.0,48.0,50.0,47.0
72,49.0,48.0,47.0,46.0
73,48.0,50.0,47.0,46.0
74,48.0,47.0,49.0,46.0
75,45.0,45.0,47.0,44.0
76,49.0,48.0,47.0,43.0
77,47.0,45.0,48.0,44.0
78,44.0,46.0,48.0,43.0
79,41.0,43.0,48.0,45.0
80,41.0,43.0,50.0,45.0
81,49.0,50.0,48.0,48.0
82,48.0,52.0,49.0,48.0
83,48.0,48.0,49.0,48.0
84,48.0,49.0,47.0,47.0
85,47.0,51.0,48.0,47.0
86,47.0,47.0,48.0,47.0
87,44.0,46.0,47.0,42.0
88,48.0,49.0,48.0,44.0
89,46.0,45.0,49.0,44.0
90,46.0,47.0,49.0,46.0
91,46.0,48.0,48.0,46.0
92,46.0,49.0,50.0,46.0
93,45.0,49.0,48.0,46.0
94,49.0,51.0,47.0,45.0
95,49.0,48.0,49.0,45.0
96,46.0,50.0,47.0,46.0
97,50.0,52.0,47.0,46.0
98,48.0,49.0,49.0,46.0
99,44.0,48.0,47.0,45.0
100,48.0,50.0,46.0,44.0
101,48.0,48.0,48.0,44.0
102,45.0,49.0,47.0,46.0
103,49.0,51.0,46.0,45.0
104,47.0,49.0,48.0,45.0
105,43.0,46.0,47.0,42.0
106,45.0,49.0,47.0,43.0
107,45.0,47.0,49.0,44.0
108,42.0,43.0,45.0,42.0
109,38.0,41.0,46.0,43.0
110,38.0,38.0,51.0,44.0
111,45.0,48.0,49.0,45.0
112,45.0,50.0,48.0,46.0
113,45.0,45.0,48.0,47.0
114,44.0,47.0,48.0,44.0
115,44.0,49.0,47.0,45.0
116,44.0,44.0,47.0,46.0
117,42.0,42.0,46.0,43.0
118,45.0,47.0,47.0,43.0
119,44.0,43.0,47.0,45.0
120,45.0,47.0,47.0,45.0
121,45.0,44.0,49.0,47.0
122,45.0,45.0,49.0,47.0
123,45.0,46.0,47.0,46.0
124,48.0,49.0,48.0,46.0
125,48.0,46.0,48.0,46.0
126,46.0,47.0,46.0,45.0
127,49.0,50.0,48.0,46.0
128,47.0,47.0,48.0,46.0
129,44.0,45.0,46.0,45.0
130,47.0,48.0,47.0,45.0
131,47.0,45.0,48.0,45.0
132,45.0,46.0,45.0,44.0
133,48.0,49.0,47.0,45.0
134,46.0,46.0,47.0,45.0
135,42.0,44.0,46.0,43.0
136,43.0,46.0,48.0,43.0
137,44.0,44.0,48.0,45.0
138,44.0,48.0,48.0,46.0
139,44.0,45.0,48.0,47.0
140,46.0,45.0,50.0,48.0
141,45.0,47.0,48.0,46.0
142,46.0,46.0,48.0,47.0
143,47.0,46.0,50.0,48.0
144,45.0,48.0,47.0,45.0
145,47.0,47.0,48.0,46.0
146,47.0,47.0,49.0,46.0
147,44.0,49.0,47.0,46.0
148,45.0,48.0,48.0,46.0
149,46.0,45.0,49.0,47.0
150,44.0,50.0,47.0,45.0
151,46.0,49.0,48.0,46.0
152,46.0,46.0,49.0,47.0
153,45.0,51.0,48.0,46.0
154,47.0,50.0,48.0,47.0
155,47.0,47.0,50.0,48.0
156,43.0,48.0,46.0,45.0
157,45.0,47.0,47.0,45.0
158,45.0,45.0,48.0,47.0
159,44.0,49.0,46.0,44.0
160,46.0,48.0,47.0,45.0
161,45.0,46.0,48.0,46.0
162,45.0,50.0,47.0,45.0
163,47.0,49.0,47.0,46.0
164,46.0,47.0,49.0,47.0
165,41.0,44.0,45.0,42.0
166,42.0,46.0,47.0,42.0
167,42.0,43.0,47.0,43.0
