Scenario,Roll 0,Roll 1,Roll 2,Roll 3,Roll 4,Roll 5,Roll 6,Roll 7,Roll 8,Roll 9
74,51.0,51.0,48.0,51.0,51.0,51.0,51.0,50.0,51.0,49.0
75,49.0,49.0,50.0,51.0,49.0,49.0,49.0,49.0,49.0,49.0
76,50.0,50.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0
77,52.0,52.0,49.0,51.0,51.0,51.0,51.0,51.0,51.0,48.0
78,49.0,49.0,51.0,51.0,51.0,51.0,51.0,50.0,51.0,51.0
79,51.0,51.0,53.0,51.0,51.0,51.0,51.0,51.0,51.0,53.0
80,51.0,51.0,51.0,53.0,51.0,51.0,51.0,51.0,51.0,50.0
81,51.0,51.0,49.0,52.0,50.0,50.0,50.0,50.0,50.0,48.0
82,51.0,51.0,50.0,53.0,50.0,50.0,50.0,51.0,50.0,50.0
83,51.0,51.0,50.0,53.0,51.0,51.0,51.0,51.0,51.0,50.0
84,50.0,50.0,50.0,51.0,51.0,51.0,51.0,49.0,51.0,49.0
85,50.0,50.0,51.0,52.0,51.0,51.0,51.0,51.0,51.0,51.0
86,52.0,52.0,49.0,52.0,52.0,52.0,52.0,51.0,52.0,50.0
87,50.0,50.0,51.0,52.0,50.0,50.0,50.0,50.0,50.0,50.0
88,51.0,51.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0
89,53.0,53.0,50.0,52.0,52.0,52.0,52.0,52.0,52.0,49.0
90,49.0,49.0,48.0,51.0,48.0,48.0,48.0,49.0,48.0,47.0
91,46.0,48.0,47.0,51.0,51.0,51.0,51.0,46.0,51.0,48.0
92,51.0,51.0,48.0,51.0,51.0,51.0,51.0,47.0,51.0,49.0
93,50.0,50.0,47.0,51.0,50.0,50.0,50.0,49.0,50.0,47.0
94,50.0,50.0,47.0,52.0,52.0,52.0,52.0,50.0,52.0,48.0
95,52.0,52.0,48.0,52.0,52.0,52.0,52.0,50.0,52.0,49.0
96,51.0,51.0,48.0,51.0,50.0,50.0,50.0,50.0,50.0,48.0
97,51.0,51.0,48.0,51.0,51.0,51.0,51.0,51.0,51.0,49.0
98,53.0,53.0,48.0,51.0,52.0,52.0,52.0,51.0,52.0,49.0
99,49.0,49.0,46.0,50.0,49.0,49.0,49.0,48.0,49.0,47.0
100,49.0,49.0,49.0,51.0,51.0,51.0,51.0,49.0,51.0,49.0
101,51.0,51.0,48.0,51.0,52.0,52.0,52.0,49.0,52.0,48.0
102,50.0,50.0,47.0,51.0,49.0,49.0,49.0,49.0,49.0,48.0
103,50.0,50.0,50.0,51.0,51.0,51.0,51.0,50.0,51.0,50.0
104,52.0,52.0,47.0,51.0,51.0,51.0,51.0,50.0,51.0,49.0
105,49.0,49.0,48.0,50.0,48.0,48.0,48.0,50.0,48.0,49.0
106,51.0,51.0,47.0,50.0,50.0,50.0,50.0,51.0,50.0,51.0
107,51.0,51.0,48.0,50.0,50.0,50.0,50.0,51.0,50.0,50.0
108,47.0,47.0,49.0,50.0,48.0,48.0,48.0,50.0,48.0,47.0
109,48.0,48.0,51.0,50.0,49.0,49.0,49.0,50.0,49.0,54.0
110,47.0,47.0,51.0,52.0,49.0,49.0,49.0,52.0,49.0,49.0
111,47.0,47.0,50.0,51.0,49.0,49.0,49.0,51.0,49.0,48.0
112,47.0,47.0,51.0,52.0,49.0,49.0,49.0,52.0,49.0,49.0
113,47.0,47.0,51.0,52.0,52.0,52.0,52.0,52.0,52.0,51.0
114,49.0,49.0,50.0,51.0,51.0,51.0,51.0,50.0,51.0,47.0
115,51.0,51.0,50.0,52.0,51.0,51.0,51.0,52.0,51.0,52.0
116,51.0,51.0,50.0,53.0,53.0,53.0,53.0,52.0,53.0,50.0
117,50.0,50.0,51.0,51.0,49.0,49.0,49.0,51.0,49.0,47.0
118,52.0,52.0,50.0,53.0,51.0,51.0,51.0,53.0,51.0,53.0
119,52.0,52.0,51.0,53.0,53.0,53.0,53.0,53.0,53.0,50.0
120,50.0,50.0,49.0,52.0,49.0,49.0,49.0,50.0,49.0,48.0
121,47.0,47.0,48.0,52.0,52.0,52.0,52.0,47.0,52.0,49.0
122,52.0,52.0,48.0,52.0,52.0,52.0,52.0,48.0,52.0,50.0
123,50.0,50.0,48.0,52.0,51.0,51.0,51.0,50.0,51.0,48.0
124,51.0,51.0,48.0,53.0,53.0,53.0,53.0,51.0,53.0,49.0
125,53.0,53.0,48.0,53.0,53.0,53.0,53.0,51.0,53.0,50.0
126,51.0,51.0,49.0,52.0,50.0,50.0,50.0,51.0,50.0,48.0
127,52.0,52.0,48.0,52.0,52.0,52.0,52.0,52.0,52.0,50.0
128,54.0,54.0,48.0,52.0,53.0,53.0,53.0,52.0,53.0,50.0
129,49.0,49.0,47.0,51.0,50.0,50.0,50.0,49.0,50.0,47.0
