Scenario,Roll 0,Roll 1,Roll 2,Roll 3,Roll 4,Roll 5,Roll 6,Roll 7,Roll 8,Roll 9,Roll 10
68,40.0,40.0,40.0,41.0,42.0,41.0,41.0,42.0,42.0,40.0,40.0
69,39.0,38.0,39.0,42.0,43.0,43.0,43.0,43.0,43.0,41.0,41.0
70,44.0,44.0,44.0,44.0,44.0,41.0,41.0,41.0,41.0,43.0,43.0
71,41.0,41.0,41.0,41.0,41.0,40.0,40.0,40.0,40.0,40.0,41.0
72,42.0,41.0,42.0,41.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0
73,43.0,43.0,43.0,43.0,43.0,40.0,40.0,40.0,40.0,42.0,42.0
74,41.0,41.0,41.0,40.0,41.0,40.0,40.0,39.0,39.0,39.0,40.0
75,43.0,42.0,43.0,42.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0
76,43.0,42.0,43.0,42.0,42.0,41.0,41.0,39.0,39.0,42.0,42.0
77,41.0,41.0,41.0,41.0,42.0,41.0,41.0,40.0,40.0,40.0,40.0
78,36.0,36.0,36.0,40.0,42.0,36.0,36.0,37.0,37.0,42.0,42.0
79,41.0,42.0,41.0,42.0,44.0,40.0,40.0,40.0,40.0,44.0,44.0
80,38.0,38.0,38.0,41.0,41.0,41.0,41.0,43.0,43.0,41.0,41.0
81,39.0,39.0,39.0,43.0,43.0,44.0,44.0,44.0,44.0,42.0,42.0
82,45.0,45.0,45.0,45.0,45.0,41.0,40.0,42.0,42.0,44.0,44.0
83,42.0,42.0,42.0,42.0,42.0,41.0,41.0,41.0,41.0,41.0,41.0
84,42.0,42.0,42.0,42.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0
85,44.0,44.0,44.0,44.0,44.0,40.0,39.0,41.0,41.0,43.0,43.0
86,41.0,41.0,41.0,41.0,41.0,40.0,40.0,40.0,40.0,40.0,40.0
87,43.0,43.0,43.0,43.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0
88,43.0,43.0,43.0,43.0,43.0,40.0,40.0,40.0,40.0,43.0,43.0
89,39.0,39.0,39.0,42.0,42.0,41.0,41.0,41.0,41.0,41.0,41.0
90,43.0,43.0,43.0,43.0,43.0,42.0,42.0,42.0,42.0,42.0,42.0
91,43.0,43.0,43.0,44.0,44.0,42.0,42.0,42.0,42.0,43.0,43.0
92,42.0,42.0,42.0,43.0,41.0,42.0,42.0,42.0,42.0,40.0,41.0
93,44.0,44.0,44.0,44.0,44.0,43.0,43.0,43.0,43.0,43.0,43.0
94,44.0,44.0,44.0,44.0,44.0,43.0,43.0,43.0,43.0,43.0,43.0
95,43.0,43.0,43.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0
96,45.0,45.0,45.0,45.0,45.0,44.0,44.0,44.0,44.0,44.0,44.0
97,45.0,45.0,45.0,45.0,45.0,44.0,44.0,44.0,44.0,44.0,44.0
98,43.0,43.0,43.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0
99,43.0,43.0,43.0,43.0,44.0,42.0,42.0,42.0,42.0,44.0,44.0
100,43.0,43.0,43.0,43.0,44.0,42.0,42.0,42.0,42.0,44.0,44.0
101,45.0,45.0,45.0,45.0,45.0,44.0,44.0,44.0,44.0,44.0,44.0
102,44.0,44.0,44.0,44.0,45.0,43.0,43.0,43.0,43.0,45.0,45.0
103,44.0,44.0,44.0,44.0,45.0,43.0,43.0,43.0,43.0,45.0,45.0
104,46.0,46.0,46.0,46.0,46.0,45.0,45.0,45.0,45.0,45.0,45.0
105,45.0,45.0,45.0,45.0,46.0,43.0,42.0,44.0,44.0,46.0,46.0
106,45.0,45.0,45.0,45.0,46.0,44.0,44.0,44.0,44.0,46.0,46.0
107,47.0,47.0,47.0,47.0,47.0,45.0,44.0,45.0,45.0,46.0,46.0
108,34.0,34.0,34.0,39.0,39.0,35.0,35.0,35.0,35.0,38.0,38.0
109,37.0,38.0,36.0,38.0,43.0,41.0,41.0,41.0,41.0,43.0,43.0
110,36.0,37.0,36.0,39.0,39.0,41.0,41.0,41.0,41.0,38.0,39.0
111,36.0,36.0,36.0,39.0,38.0,43.0,43.0,43.0,43.0,38.0,39.0
112,41.0,41.0,40.0,41.0,40.0,42.0,41.0,41.0,42.0,40.0,39.0
113,38.0,40.0,38.0,41.0,39.0,42.0,42.0,42.0,42.0,40.0,40.0
114,39.0,39.0,37.0,39.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0
115,40.0,40.0,39.0,40.0,41.0,41.0,40.0,40.0,41.0,41.0,41.0
116,37.0,39.0,37.0,40.0,39.0,41.0,41.0,41.0,41.0,39.0,39.0
117,40.0,40.0,38.0,40.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0
118,39.0,39.0,38.0,39.0,42.0,41.0,41.0,41.0,41.0,42.0,42.0
119,38.0,38.0,38.0,39.0,39.0,41.0,41.0,41.0,41.0,38.0,39.0
120,40.0,40.0,38.0,40.0,39.0,43.0,43.0,43.0,43.0,39.0,39.0
121,41.0,41.0,40.0,42.0,40.0,43.0,43.0,43.0,43.0,40.0,40.0
122,41.0,41.0,40.0,42.0,40.0,43.0,43.0,43.0,43.0,40.0,40.0
123,41.0,41.0,39.0,43.0,43.0,44.0,44.0,44.0,44.0,42.0,43.0
124,42.0,42.0,40.0,43.0,41.0,44.0,44.0,44.0,44.0,41.0,41.0
125,41.0,41.0,41.0,44.0,44.0,46.0,46.0,46.0,46.0,44.0,44.0
126,42.0,42.0,40.0,44.0,44.0,45.0,45.0,45.0,45.0,43.0,44.0
127,41.0,41.0,40.0,42.0,40.0,45.0,45.0,45.0,45.0,40.0,40.0
128,39.0,41.0,39.0,45.0,45.0,47.0,47.0,47.0,47.0,45.0,45.0
