Scenario,Roll 0,Roll 1,Roll 2,Roll 3,Roll 4,Roll 5,Roll 6,Roll 7,Roll 8,Roll 9,Roll 10,Roll 11,Roll 12,Roll 13,Roll 14
50,59.0,59.0,61.0,55.0,55.0,58.0,58.0,61.0,59.0,59.0,59.0,59.0,58.0,59.0,57.0
51,57.0,57.0,60.0,58.0,54.0,56.0,56.0,57.0,59.0,59.0,59.0,59.0,56.0,58.0,56.0
52,61.0,58.0,61.0,60.0,60.0,57.0,61.0,58.0,59.0,58.0,59.0,58.0,57.0,59.0,58.0
53,60.0,59.0,61.0,56.0,56.0,58.0,58.0,59.0,60.0,60.0,60.0,60.0,58.0,60.0,58.0
54,55.0,56.0,59.0,57.0,53.0,56.0,56.0,56.0,57.0,57.0,57.0,57.0,59.0,57.0,55.0
55,60.0,58.0,60.0,59.0,59.0,60.0,60.0,60.0,58.0,57.0,58.0,57.0,60.0,61.0,58.0
56,58.0,59.0,60.0,55.0,55.0,58.0,60.0,61.0,58.0,58.0,58.0,58.0,58.0,59.0,58.0
57,56.0,57.0,59.0,57.0,53.0,56.0,56.0,57.0,58.0,58.0,58.0,58.0,56.0,57.0,56.0
58,60.0,58.0,60.0,59.0,59.0,57.0,60.0,58.0,58.0,57.0,58.0,57.0,57.0,58.0,58.0
59,59.0,60.0,60.0,55.0,55.0,58.0,60.0,60.0,59.0,59.0,59.0,59.0,58.0,59.0,59.0
60,55.0,53.0,56.0,56.0,51.0,52.0,56.0,53.0,58.0,58.0,58.0,59.0,52.0,55.0,52.0
61,56.0,56.0,56.0,56.0,56.0,53.0,56.0,56.0,55.0,54.0,55.0,54.0,53.0,57.0,55.0
62,57.0,56.0,58.0,56.0,56.0,54.0,58.0,57.0,56.0,55.0,56.0,58.0,54.0,58.0,55.0
63,61.0,54.0,58.0,60.0,60.0,60.0,60.0,59.0,58.0,61.0,58.0,57.0,60.0,60.0,53.0
64,62.0,60.0,60.0,62.0,62.0,61.0,61.0,59.0,62.0,63.0,62.0,62.0,61.0,60.0,59.0
65,64.0,58.0,62.0,61.0,61.0,58.0,61.0,62.0,62.0,62.0,62.0,62.0,58.0,62.0,57.0
66,61.0,53.0,59.0,61.0,61.0,58.0,58.0,58.0,58.0,61.0,58.0,58.0,58.0,61.0,53.0
67,62.0,60.0,61.0,63.0,63.0,61.0,61.0,59.0,63.0,64.0,63.0,63.0,61.0,61.0,59.0
68,64.0,58.0,63.0,62.0,62.0,58.0,61.0,62.0,63.0,63.0,63.0,63.0,58.0,63.0,58.0
69,61.0,58.0,58.0,59.0,59.0,61.0,58.0,62.0,58.0,60.0,58.0,58.0,61.0,60.0,56.0
70,63.0,62.0,58.0,60.0,60.0,62.0,61.0,63.0,64.0,64.0,64.0,64.0,62.0,61.0,62.0
71,66.0,62.0,59.0,60.0,59.0,62.0,62.0,63.0,59.0,61.0,59.0,59.0,62.0,63.0,62.0
72,60.0,57.0,58.0,59.0,59.0,60.0,57.0,61.0,57.0,60.0,57.0,58.0,60.0,59.0,55.0
73,62.0,61.0,57.0,59.0,59.0,61.0,60.0,62.0,63.0,63.0,63.0,63.0,61.0,60.0,61.0
74,65.0,61.0,58.0,59.0,59.0,61.0,61.0,62.0,61.0,61.0,61.0,61.0,61.0,62.0,61.0
75,60.0,54.0,59.0,59.0,59.0,58.0,58.0,58.0,58.0,61.0,58.0,59.0,58.0,58.0,53.0
76,60.0,58.0,57.0,60.0,60.0,61.0,60.0,59.0,60.0,60.0,60.0,61.0,61.0,58.0,58.0
77,62.0,58.0,59.0,59.0,59.0,60.0,62.0,62.0,62.0,62.0,62.0,62.0,60.0,61.0,57.0
78,59.0,53.0,59.0,61.0,61.0,59.0,59.0,57.0,58.0,58.0,58.0,58.0,59.0,57.0,53.0
79,60.0,59.0,61.0,62.0,62.0,61.0,61.0,59.0,60.0,60.0,60.0,60.0,61.0,58.0,59.0
80,64.0,58.0,64.0,63.0,63.0,57.0,61.0,62.0,60.0,60.0,60.0,60.0,57.0,63.0,58.0
81,62.0,57.0,59.0,60.0,60.0,60.0,59.0,62.0,58.0,58.0,58.0,58.0,60.0,61.0,56.0
82,61.0,62.0,59.0,61.0,61.0,61.0,61.0,63.0,65.0,65.0,65.0,65.0,61.0,62.0,62.0
83,66.0,62.0,60.0,61.0,60.0,62.0,62.0,63.0,60.0,62.0,60.0,60.0,62.0,63.0,62.0
84,61.0,56.0,59.0,60.0,60.0,59.0,58.0,61.0,58.0,58.0,58.0,58.0,59.0,60.0,55.0
85,60.0,61.0,58.0,60.0,60.0,60.0,60.0,62.0,64.0,64.0,64.0,64.0,60.0,61.0,61.0
86,65.0,61.0,59.0,60.0,59.0,61.0,61.0,62.0,62.0,62.0,62.0,62.0,61.0,62.0,61.0
87,58.0,54.0,60.0,60.0,60.0,59.0,59.0,58.0,59.0,59.0,59.0,59.0,59.0,57.0,53.0
88,57.0,58.0,56.0,61.0,61.0,57.0,57.0,59.0,61.0,61.0,61.0,61.0,57.0,58.0,58.0
89,62.0,58.0,60.0,60.0,60.0,57.0,62.0,62.0,63.0,63.0,63.0,63.0,57.0,62.0,57.0
90,60.0,56.0,60.0,58.0,55.0,59.0,55.0,61.0,57.0,57.0,57.0,57.0,60.0,60.0,55.0
91,65.0,62.0,57.0,60.0,59.0,61.0,61.0,62.0,60.0,59.0,60.0,59.0,62.0,62.0,62.0
92,62.0,58.0,61.0,57.0,57.0,57.0,57.0,63.0,58.0,58.0,58.0,58.0,57.0,59.0,57.0
93,59.0,57.0,59.0,58.0,55.0,60.0,55.0,61.0,57.0,57.0,57.0,57.0,60.0,59.0,55.0
94,64.0,61.0,61.0,59.0,59.0,61.0,61.0,61.0,59.0,58.0,59.0,58.0,61.0,61.0,61.0
95,61.0,62.0,64.0,60.0,60.0,61.0,60.0,62.0,59.0,59.0,59.0,59.0,61.0,58.0,61.0
96,60.0,57.0,60.0,58.0,56.0,59.0,55.0,61.0,58.0,58.0,58.0,58.0,59.0,60.0,56.0
97,61.0,58.0,61.0,59.0,59.0,61.0,61.0,61.0,60.0,59.0,60.0,59.0,61.0,59.0,57.0
98,62.0,63.0,64.0,60.0,60.0,61.0,60.0,63.0,60.0,60.0,60.0,60.0,61.0,59.0,62.0
99,59.0,56.0,59.0,57.0,54.0,59.0,55.0,60.0,56.0,56.0,56.0,57.0,59.0,59.0,55.0
100,63.0,60.0,60.0,59.0,59.0,61.0,61.0,60.0,59.0,58.0,59.0,58.0,61.0,60.0,60.0
