Scenario,Roll 0,Roll 1,Roll 2,Roll 3,Roll 4,Roll 5,Roll 6,Roll 7
92,46.0,44.0,43.0,44.0,45.0,44.0,44.0,43.0
93,45.0,45.0,45.0,41.0,42.0,45.0,45.0,45.0
94,47.0,47.0,44.0,47.0,47.0,46.0,46.0,46.0
95,46.0,45.0,47.0,44.0,44.0,45.0,45.0,44.0
96,46.0,42.0,45.0,40.0,41.0,46.0,46.0,46.0
97,48.0,48.0,45.0,46.0,46.0,47.0,47.0,47.0
98,46.0,44.0,48.0,44.0,44.0,44.0,44.0,44.0
99,44.0,44.0,44.0,41.0,41.0,44.0,44.0,44.0
100,46.0,46.0,43.0,46.0,46.0,45.0,45.0,45.0
101,45.0,44.0,46.0,44.0,44.0,45.0,45.0,45.0
102,45.0,41.0,44.0,41.0,41.0,45.0,45.0,45.0
103,47.0,47.0,44.0,45.0,45.0,46.0,46.0,46.0
104,45.0,43.0,47.0,44.0,44.0,46.0,46.0,46.0
105,43.0,42.0,43.0,39.0,40.0,42.0,42.0,42.0
106,45.0,44.0,44.0,41.0,41.0,42.0,42.0,42.0
107,45.0,44.0,48.0,41.0,42.0,47.0,47.0,47.0
108,42.0,39.0,39.0,33.0,33.0,38.0,38.0,38.0
109,40.0,36.0,35.0,35.0,35.0,36.0,36.0,36.0
110,40.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0
111,46.0,40.0,39.0,39.0,39.0,38.0,38.0,38.0
112,48.0,39.0,39.0,41.0,41.0,39.0,39.0,39.0
113,45.0,39.0,38.0,45.0,45.0,38.0,39.0,38.0
114,45.0,39.0,39.0,38.0,38.0,38.0,38.0,38.0
115,47.0,40.0,40.0,40.0,40.0,39.0,39.0,39.0
116,44.0,44.0,44.0,44.0,44.0,40.0,42.0,42.0
117,43.0,40.0,39.0,34.0,34.0,39.0,38.0,39.0
118,47.0,41.0,40.0,36.0,36.0,40.0,40.0,40.0
119,44.0,45.0,45.0,39.0,39.0,40.0,43.0,40.0
120,43.0,43.0,40.0,40.0,40.0,43.0,43.0,43.0
121,45.0,41.0,38.0,45.0,45.0,39.0,41.0,39.0
122,44.0,43.0,38.0,42.0,43.0,40.0,40.0,40.0
123,46.0,42.0,41.0,39.0,39.0,42.0,42.0,42.0
124,48.0,44.0,44.0,44.0,44.0,41.0,42.0,42.0
125,46.0,44.0,44.0,44.0,44.0,43.0,43.0,43.0
126,46.0,40.0,42.0,40.0,40.0,41.0,41.0,41.0
127,47.0,45.0,44.0,41.0,42.0,42.0,43.0,42.0
128,47.0,45.0,44.0,43.0,43.0,44.0,44.0,44.0
