Scenario,Roll 0,Roll 1,Roll 2,Roll 3,Roll 4,Roll 5
121,55.0,50.0,54.0,51.0,51.0,51.0
122,55.0,54.0,54.0,55.0,51.0,51.0
123,53.0,52.0,52.0,52.0,50.0,50.0
124,56.0,53.0,56.0,54.0,52.0,52.0
125,56.0,55.0,56.0,55.0,52.0,52.0
126,53.0,50.0,52.0,49.0,48.0,48.0
127,55.0,54.0,54.0,50.0,51.0,51.0
128,55.0,54.0,54.0,55.0,51.0,51.0
129,53.0,52.0,53.0,51.0,49.0,49.0
130,55.0,54.0,55.0,53.0,51.0,51.0
131,56.0,54.0,56.0,54.0,52.0,52.0
132,52.0,49.0,51.0,48.0,48.0,47.0
133,54.0,53.0,53.0,50.0,51.0,51.0
134,54.0,54.0,53.0,54.0,51.0,51.0
135,48.0,48.0,49.0,48.0,48.0,48.0
136,52.0,52.0,54.0,50.0,52.0,52.0
137,54.0,52.0,54.0,52.0,52.0,52.0
138,50.0,49.0,52.0,49.0,45.0,45.0
139,51.0,46.0,50.0,47.0,44.0,44.0
140,51.0,50.0,50.0,51.0,46.0,46.0
141,52.0,52.0,54.0,52.0,47.0,47.0
142,54.0,49.0,53.0,50.0,48.0,48.0
143,54.0,53.0,53.0,54.0,49.0,49.0
144,51.0,50.0,53.0,49.0,47.0,47.0
145,53.0,50.0,53.0,50.0,49.0,49.0
146,52.0,52.0,51.0,51.0,49.0,49.0
147,53.0,52.0,53.0,51.0,47.0,47.0
148,55.0,52.0,55.0,52.0,48.0,48.0
149,55.0,54.0,55.0,53.0,49.0,49.0
150,52.0,52.0,52.0,52.0,47.0,47.0
151,54.0,53.0,53.0,50.0,49.0,49.0
152,54.0,54.0,53.0,54.0,48.0,48.0
153,51.0,48.0,52.0,49.0,47.0,47.0
154,49.0,48.0,54.0,46.0,49.0,49.0
155,53.0,50.0,53.0,50.0,49.0,49.0
156,53.0,51.0,53.0,50.0,46.0,46.0
157,54.0,53.0,54.0,51.0,47.0,47.0
158,55.0,53.0,55.0,52.0,48.0,48.0
159,51.0,51.0,51.0,51.0,46.0,46.0
160,53.0,52.0,52.0,49.0,48.0,48.0
161,53.0,53.0,52.0,53.0,47.0,47.0
162,51.0,48.0,51.0,48.0,47.0,46.0
163,49.0,47.0,53.0,45.0,48.0,48.0
164,53.0,50.0,53.0,50.0,48.0,48.0
165,48.0,48.0,49.0,48.0,47.0,47.0
166,50.0,48.0,50.0,46.0,49.0,48.0
167,50.0,50.0,50.0,50.0,49.0,47.0
