,Mean,StdDev,Min,Median,Max,Seed-1,Seed-10,Seed-100,Seed-11,Seed-12,Seed-13,Seed-14,Seed-15,Seed-16,Seed-17,Seed-18,Seed-19,Seed-2,Seed-20,Seed-21,Seed-22,Seed-23,Seed-24,Seed-25,Seed-26,Seed-27,Seed-28,Seed-29,Seed-3,Seed-30,Seed-31,Seed-32,Seed-33,Seed-34,Seed-35,Seed-36,Seed-37,Seed-38,Seed-39,Seed-4,Seed-40,Seed-41,Seed-42,Seed-43,Seed-44,Seed-45,Seed-46,Seed-47,Seed-48,Seed-49,Seed-5,Seed-50,Seed-51,Seed-52,Seed-53,Seed-54,Seed-55,Seed-56,Seed-57,Seed-58,Seed-59,Seed-6,Seed-60,Seed-61,Seed-62,Seed-63,Seed-64,Seed-65,Seed-66,Seed-67,Seed-68,Seed-69,Seed-7,Seed-70,Seed-71,Seed-72,Seed-73,Seed-74,Seed-75,Seed-76,Seed-77,Seed-78,Seed-79,Seed-8,Seed-80,Seed-81,Seed-82,Seed-83,Seed-84,Seed-85,Seed-86,Seed-87,Seed-88,Seed-89,Seed-9,Seed-90,Seed-91,Seed-92,Seed-93,Seed-94,Seed-95,Seed-96,Seed-97,Seed-98,Seed-99
gurobi time,23327.86,16389.37,87.5,27460.43,39600.53,4219.51,14387.76,39600.28,39600.06,39600.02,2540.01,16087.08,39600.15,602.28,27876.34,4843.94,11578.63,1016.59,8049.69,487.95,39600.31,9773.42,19104.28,39600.53,39600.23,2738.39,27460.43,30740.82,39600.08,10231.41,14854.1,1122.63,39600.03,937.59,2212.76,2557.02,1435.86,3958.13,8631.54,360.72,4267.69,32835.98,39600.03,3270.05,39600.1,22769.56,MISSING,974.57,39600.06,210.45,87.5,35302.89,39600.09,12058.11,39600.07,39600.09,39600.1,39600.11,25197.35,39600.06,1046.42,160.02,39600.04,39600.09,20968.47,7282.31,39600.06,39600.09,39600.41,4993.98,39600.28,27393.85,16221.3,5870.23,39600.04,26834.05,39600.06,39600.12,6447.28,39600.05,39600.06,3759.37,9966.06,2322.81,39600.12,39600.15,39600.16,16405.66,39600.07,39600.08,39600.06,39600.34,39600.04,39600.12,419.27,33991.8,39600.04,6490.31,39600.14,33898.86,39600.07,39600.38,39600.22,2425.48,14971.57
total time,23333.98,16389.39,94.63,27464.12,39609.65,4224.47,14391.74,39605.73,39603.74,39607.09,2544.87,16094.89,39605.4,609.7,27884.56,4849.62,11583.54,1024.03,8057.28,493.01,39605.83,9778.24,19113.41,39606.26,39604.67,2745.71,27464.12,30744.74,39607.22,10236.19,14858.17,1126.56,39607.35,944.67,2216.74,2565.94,1443.67,3965.22,8638.5,368.01,4274.65,32843.12,39607.13,3274.09,39607.59,22778.54,MISSING,981.51,39603.82,215.03,94.63,35307.48,39607.29,12065.46,39605.03,39609.22,39607.64,39604.25,25203.26,39607.23,1053.85,166.99,39607.43,39603.99,20975.53,7287.46,39604.19,39609.25,39606.03,4998.01,39606.35,27398.93,16228.48,5874.31,39607.16,26838.38,39607.45,39604.15,6453.13,39607.2,39607.96,3766.47,9973.27,2330.27,39603.92,39603.96,39607.37,16411.35,39607.36,39604.98,39609.46,39605.91,39607.55,39604.26,424.05,33998.87,39607.25,6495.45,39607.53,33903.15,39604.0,39606.2,39609.65,2430.91,14976.76
result,48.38,7.09,30.303000000000004,48.618001284206926,62.27100058915282,55.944,62.271,37.29600000000001,49.617000000000004,52.947,62.27100058915282,53.28,59.607000000000006,48.61800055669844,50.616000000000014,59.94000000000001,49.95,58.941,49.284000000000006,56.61000011352273,50.283,55.611,58.275000000000006,43.623000000000005,44.289000299806766,54.94500089310985,51.61500000000001,46.287000000000006,61.272000000000006,41.62500036271224,35.298,54.94500000000001,45.621,44.622,48.618000803288886,49.95,46.287000000000006,45.288,50.28300000000001,56.61,49.617000000000004,40.959,50.948999999999984,43.956,45.288000000000004,36.63000000000002,MISSING,50.28300000000001,49.617000000000004,51.282000000000004,54.945,45.288000000000004,52.281000000000006,47.619,42.624,34.632000000000005,41.958,42.957,40.959,48.617999999999995,50.94900000000001,56.94300000000001,44.289,36.63,48.618001284206926,38.961,49.617000000000004,46.287000000000006,30.303000000000004,51.61500000000001,45.621,51.94800000000001,56.61,48.95100000000001,54.94500000000001,44.622,60.60600000000001,36.297000000000004,46.620000000000005,39.294,52.947,42.957,58.608000000000004,59.607000000000006,34.632000000000005,46.287000000000006,50.616,46.620000000000005,47.619,49.617000000000004,46.953,35.298,46.287000000000006,38.961,56.61,46.287000000000006,49.95,49.284,36.297000000000004,43.956,43.956,45.954,40.626,58.941,57.609
