Scenario,Roll 0,Roll 1,Roll 2,Roll 3,Roll 4
143,38.0,37.0,37.0,37.0,33.0
144,37.0,37.0,37.0,35.0,32.0
145,39.0,38.0,37.0,36.0,33.0
146,39.0,38.0,37.0,36.0,33.0
147,36.0,36.0,36.0,36.0,31.0
148,38.0,37.0,36.0,37.0,32.0
149,38.0,37.0,37.0,37.0,32.0
150,37.0,37.0,36.0,35.0,31.0
151,39.0,38.0,36.0,36.0,33.0
152,39.0,38.0,37.0,37.0,33.0
153,37.0,37.0,36.0,35.0,32.0
154,39.0,39.0,37.0,37.0,34.0
155,39.0,39.0,37.0,37.0,34.0
156,35.0,35.0,35.0,35.0,29.0
157,37.0,37.0,36.0,36.0,31.0
158,37.0,37.0,36.0,37.0,31.0
159,36.0,36.0,35.0,35.0,30.0
160,38.0,38.0,36.0,36.0,32.0
161,38.0,38.0,36.0,37.0,32.0
162,37.0,37.0,35.0,35.0,31.0
163,39.0,39.0,37.0,37.0,33.0
164,39.0,39.0,37.0,37.0,33.0
165,34.0,35.0,36.0,30.0,32.0
166,35.0,37.0,37.0,32.0,34.0
167,36.0,37.0,37.0,32.0,34.0
