,Mean,StdDev,Min,Median,Max,Seed-1,Seed-10,Seed-100,Seed-11,Seed-12,Seed-13,Seed-14,Seed-15,Seed-16,Seed-17,Seed-18,Seed-19,Seed-2,Seed-20,Seed-21,Seed-22,Seed-23,Seed-24,Seed-25,Seed-26,Seed-27,Seed-28,Seed-29,Seed-3,Seed-30,Seed-31,Seed-32,Seed-33,Seed-34,Seed-35,Seed-36,Seed-37,Seed-38,Seed-39,Seed-4,Seed-40,Seed-41,Seed-42,Seed-43,Seed-44,Seed-45,Seed-46,Seed-47,Seed-48,Seed-49,Seed-5,Seed-50,Seed-51,Seed-52,Seed-53,Seed-54,Seed-55,Seed-56,Seed-57,Seed-58,Seed-59,Seed-6,Seed-60,Seed-61,Seed-62,Seed-63,Seed-64,Seed-65,Seed-66,Seed-67,Seed-68,Seed-69,Seed-7,Seed-70,Seed-71,Seed-72,Seed-73,Seed-74,Seed-75,Seed-76,Seed-77,Seed-78,Seed-79,Seed-8,Seed-80,Seed-81,Seed-82,Seed-83,Seed-84,Seed-85,Seed-86,Seed-87,Seed-88,Seed-89,Seed-9,Seed-90,Seed-91,Seed-92,Seed-93,Seed-94,Seed-95,Seed-96,Seed-97,Seed-98,Seed-99
gurobi time,3329.32,7838.31,18.99,990.245,39600.13,201.78,1737.8,2752.71,853.01,537.83,145.72,301.74,789.02,104.78,269.77,76.48,1425.22,119.46,134.77,66.65,249.13,770.82,688.76,4926.76,3731.96,76.03,2072.23,1037.62,4947.34,3480.73,726.37,59.37,928.86,91.34,99.28,107.87,306.25,1062.09,167.24,52.14,827.56,122.86,931.48,186.35,815.38,123.05,1968.38,96.73,1011.56,34.53,36.06,977.76,1488.89,860.66,39600.07,6522.8,3932.89,39600.09,909.51,32528.12,26.19,134.9,2680.04,1863.52,1002.73,1085.72,1248.97,29706.16,4909.35,151.64,2501.3,812.87,1922.93,1564.13,2464.06,1835.46,2352.76,2804.77,649.53,1928.9,5659.95,99.19,1102.73,18.99,1597.39,2794.24,2827.05,238.39,2360.75,5108.25,2260.97,39600.13,9036.17,11222.0,114.47,3014.35,1608.78,396.95,3003.0,943.16,5897.7,1894.32,1853.17,173.78,786.43
total time,3333.52,7838.53,22.85,995.27,39605.8,205.29,1744.49,2756.93,859.69,544.46,152.15,308.33,795.64,108.44,273.06,79.66,1429.33,122.76,138.01,70.36,252.34,774.6,692.66,4930.12,3735.39,79.22,2075.74,1041.32,4950.57,3484.49,730.36,63.44,935.46,94.57,103.42,111.68,309.68,1066.05,170.4,55.67,831.6,126.62,935.64,192.88,819.17,126.48,1971.72,103.25,1014.82,38.32,39.34,984.44,1495.41,864.22,39605.52,6526.72,3936.83,39605.8,916.16,32533.21,29.47,138.26,2683.41,1867.18,1006.1,1090.01,1252.52,29711.37,4913.11,155.42,2505.1,816.74,1927.21,1570.8,2467.33,1842.07,2356.64,2808.55,652.93,1932.52,5663.29,102.47,1106.21,22.85,1600.64,2798.46,2830.51,242.42,2364.48,5111.55,2264.33,39605.5,9040.05,11225.81,118.06,3018.25,1612.86,401.03,3009.38,946.94,5900.81,1898.16,1857.05,180.4,789.75
result,48.34,7.08,31.0,48.5,63.0,57.5,62.0,37.0,50.5000014669494,55.0,62.0,52.5,60.50000010848339,45.0,51.5,59.5,48.5,59.5,51.50000092822009,56.5,51.5,55.0,56.5,47.0,43.0,56.000000672453695,49.0,46.5,61.5,40.0,36.0,54.5,47.5000009541704,47.0,50.0,50.5,43.0,42.00000000000006,52.5,58.5,50.0,43.0,49.5,45.5,45.0,36.0,37.0,50.00000114048448,49.5,47.0,51.5,46.5,52.5,48.5,43.0,35.5,42.5,42.999999999999986,40.5,50.0,52.0,53.0,43.5,37.5,48.0,39.500000166745956,51.5,46.0,31.0,52.5,47.0,52.5,56.0,48.0,54.5,44.0,62.0,37.50000000000001,46.5,39.0,51.0,44.5,57.5,63.0,35.5,47.999999999999325,50.000000259760284,46.0,48.5,50.5,48.0,36.0,47.5,40.0,55.00000054223657,45.0,49.5,48.5,36.5,44.0,43.5,45.000000000000014,41.0,58.5,57.499999999999986
