Scenario,Roll 0,Roll 1,Roll 2,Roll 3,Roll 4,Roll 5,Roll 6,Roll 7,Roll 8,Roll 9,Roll 10,Roll 11,Roll 12,Roll 13,Roll 14
50,39.0,40.0,42.0,42.0,38.0,38.0,42.0,40.0,38.0,43.0,39.0,39.0,42.0,38.0,39.0
51,39.0,39.0,32.0,37.0,38.0,38.0,32.0,38.0,38.0,39.0,39.0,39.0,32.0,40.0,39.0
52,36.0,39.0,38.0,42.0,35.0,35.0,37.0,35.0,35.0,38.0,35.0,35.0,38.0,39.0,38.0
53,39.0,40.0,39.0,42.0,39.0,39.0,37.0,40.0,38.0,40.0,39.0,39.0,39.0,38.0,40.0
54,37.0,38.0,36.0,36.0,37.0,37.0,36.0,37.0,36.0,39.0,37.0,37.0,36.0,38.0,37.0
55,34.0,37.0,41.0,41.0,33.0,35.0,41.0,35.0,35.0,40.0,34.0,33.0,41.0,37.0,37.0
56,38.0,39.0,41.0,41.0,38.0,38.0,41.0,39.0,37.0,42.0,39.0,39.0,41.0,37.0,39.0
57,38.0,38.0,32.0,36.0,37.0,37.0,32.0,38.0,37.0,38.0,38.0,38.0,32.0,39.0,38.0
58,35.0,38.0,37.0,41.0,34.0,34.0,37.0,35.0,34.0,37.0,34.0,34.0,37.0,38.0,37.0
59,38.0,40.0,38.0,41.0,39.0,39.0,37.0,39.0,37.0,39.0,39.0,39.0,38.0,38.0,39.0
60,39.0,39.0,31.0,32.0,38.0,38.0,31.0,38.0,38.0,37.0,37.0,37.0,31.0,39.0,37.0
61,36.0,38.0,37.0,37.0,35.0,35.0,36.0,35.0,35.0,38.0,34.0,34.0,37.0,39.0,38.0
62,38.0,38.0,37.0,38.0,37.0,35.0,36.0,35.0,38.0,39.0,40.0,39.0,37.0,38.0,39.0
63,37.0,37.0,30.0,31.0,36.0,36.0,29.0,36.0,36.0,36.0,36.0,36.0,30.0,37.0,36.0
64,38.0,41.0,35.0,35.0,37.0,37.0,33.0,37.0,37.0,39.0,36.0,36.0,35.0,41.0,39.0
65,42.0,43.0,34.0,36.0,42.0,42.0,34.0,42.0,41.0,41.0,37.0,40.0,34.0,39.0,37.0
66,38.0,38.0,31.0,32.0,37.0,37.0,30.0,37.0,37.0,37.0,37.0,37.0,31.0,38.0,37.0
67,39.0,42.0,36.0,36.0,38.0,38.0,34.0,38.0,38.0,40.0,37.0,37.0,36.0,42.0,40.0
68,43.0,40.0,35.0,37.0,42.0,39.0,34.0,39.0,42.0,42.0,38.0,41.0,35.0,40.0,38.0
69,38.0,38.0,31.0,36.0,37.0,37.0,31.0,37.0,37.0,37.0,36.0,36.0,31.0,38.0,37.0
70,39.0,39.0,37.0,37.0,38.0,38.0,36.0,38.0,38.0,37.0,37.0,37.0,37.0,39.0,37.0
71,43.0,44.0,37.0,37.0,43.0,43.0,36.0,43.0,42.0,43.0,38.0,41.0,37.0,40.0,39.0
72,37.0,37.0,31.0,35.0,36.0,36.0,31.0,37.0,36.0,36.0,36.0,36.0,31.0,37.0,36.0
73,38.0,38.0,36.0,36.0,37.0,37.0,36.0,38.0,37.0,36.0,36.0,36.0,36.0,38.0,36.0
74,42.0,43.0,36.0,36.0,42.0,42.0,36.0,42.0,41.0,42.0,42.0,42.0,36.0,42.0,42.0
75,37.0,37.0,30.0,31.0,36.0,36.0,30.0,37.0,36.0,37.0,37.0,37.0,30.0,38.0,37.0
76,39.0,39.0,36.0,36.0,38.0,38.0,35.0,38.0,38.0,37.0,37.0,37.0,36.0,39.0,37.0
77,42.0,42.0,35.0,36.0,41.0,38.0,35.0,39.0,41.0,43.0,43.0,43.0,35.0,42.0,43.0
78,37.0,37.0,32.0,33.0,36.0,36.0,31.0,37.0,36.0,36.0,36.0,36.0,32.0,37.0,36.0
79,38.0,38.0,37.0,37.0,37.0,38.0,35.0,38.0,38.0,37.0,37.0,37.0,37.0,39.0,37.0
80,43.0,39.0,33.0,37.0,42.0,38.0,35.0,38.0,42.0,38.0,38.0,41.0,33.0,39.0,38.0
81,39.0,39.0,32.0,36.0,37.0,37.0,32.0,38.0,38.0,37.0,37.0,37.0,32.0,39.0,37.0
82,39.0,39.0,37.0,37.0,38.0,38.0,36.0,38.0,38.0,38.0,38.0,38.0,37.0,39.0,38.0
83,44.0,41.0,38.0,37.0,42.0,39.0,36.0,40.0,43.0,39.0,39.0,42.0,38.0,41.0,39.0
84,38.0,38.0,32.0,35.0,36.0,36.0,32.0,38.0,37.0,36.0,36.0,36.0,32.0,38.0,36.0
85,38.0,38.0,36.0,36.0,37.0,37.0,36.0,38.0,37.0,37.0,37.0,37.0,36.0,38.0,37.0
86,43.0,43.0,37.0,37.0,41.0,38.0,36.0,40.0,42.0,41.0,38.0,41.0,37.0,43.0,41.0
87,38.0,38.0,31.0,32.0,37.0,37.0,31.0,38.0,37.0,37.0,37.0,37.0,31.0,38.0,37.0
88,38.0,38.0,36.0,36.0,37.0,38.0,35.0,38.0,38.0,38.0,38.0,38.0,36.0,39.0,38.0
89,43.0,43.0,36.0,36.0,42.0,39.0,35.0,40.0,42.0,41.0,39.0,42.0,36.0,43.0,41.0
90,38.0,39.0,36.0,36.0,38.0,38.0,36.0,38.0,37.0,39.0,37.0,37.0,36.0,38.0,38.0
91,35.0,38.0,42.0,37.0,34.0,36.0,41.0,36.0,36.0,40.0,35.0,34.0,42.0,37.0,37.0
92,38.0,40.0,39.0,38.0,38.0,38.0,41.0,39.0,37.0,42.0,38.0,37.0,39.0,37.0,35.0
93,37.0,38.0,36.0,36.0,37.0,37.0,36.0,37.0,36.0,39.0,37.0,37.0,36.0,38.0,37.0
94,34.0,37.0,41.0,41.0,33.0,35.0,41.0,35.0,35.0,40.0,34.0,33.0,41.0,37.0,36.0
95,38.0,39.0,41.0,41.0,37.0,37.0,41.0,39.0,37.0,42.0,38.0,38.0,41.0,37.0,38.0
96,38.0,38.0,31.0,36.0,37.0,37.0,31.0,37.0,37.0,38.0,38.0,38.0,31.0,39.0,38.0
97,35.0,38.0,37.0,41.0,34.0,34.0,36.0,34.0,34.0,37.0,34.0,34.0,37.0,38.0,37.0
98,38.0,39.0,38.0,41.0,38.0,38.0,36.0,39.0,37.0,39.0,38.0,38.0,38.0,37.0,39.0
99,36.0,37.0,35.0,35.0,36.0,36.0,35.0,36.0,35.0,38.0,36.0,36.0,35.0,37.0,36.0
100,33.0,36.0,40.0,40.0,32.0,34.0,40.0,34.0,34.0,39.0,33.0,32.0,40.0,36.0,36.0
101,37.0,38.0,40.0,40.0,37.0,37.0,40.0,38.0,36.0,41.0,38.0,38.0,40.0,36.0,38.0
102,37.0,37.0,31.0,35.0,36.0,36.0,31.0,37.0,36.0,37.0,37.0,37.0,31.0,38.0,37.0
103,34.0,37.0,36.0,40.0,33.0,33.0,36.0,34.0,33.0,36.0,33.0,33.0,36.0,37.0,36.0
