Scenario,Roll 0,Roll 1,Roll 2,Roll 3,Roll 4,Roll 5,Roll 6,Roll 7,Roll 8,Roll 9
74,56.0,57.0,57.0,57.0,57.0,54.0,55.0,55.0,55.0,55.0
75,55.0,56.0,56.0,56.0,56.0,54.0,55.0,55.0,55.0,55.0
76,56.0,57.0,57.0,57.0,57.0,54.0,56.0,55.0,56.0,55.0
77,57.0,58.0,58.0,58.0,58.0,55.0,56.0,55.0,56.0,55.0
78,57.0,57.0,55.0,55.0,57.0,55.0,55.0,55.0,55.0,55.0
79,57.0,55.0,54.0,54.0,56.0,54.0,54.0,52.0,54.0,52.0
80,58.0,58.0,57.0,57.0,57.0,57.0,57.0,53.0,57.0,53.0
81,54.0,56.0,55.0,55.0,56.0,55.0,55.0,56.0,55.0,56.0
82,57.0,58.0,57.0,57.0,56.0,57.0,57.0,56.0,57.0,56.0
83,57.0,57.0,56.0,56.0,57.0,56.0,56.0,56.0,56.0,56.0
84,53.0,56.0,54.0,54.0,56.0,54.0,54.0,55.0,54.0,55.0
85,56.0,57.0,56.0,56.0,55.0,56.0,56.0,55.0,56.0,55.0
86,56.0,56.0,56.0,55.0,56.0,55.0,55.0,55.0,55.0,55.0
87,54.0,57.0,55.0,55.0,57.0,54.0,55.0,56.0,55.0,56.0
88,57.0,56.0,55.0,55.0,56.0,55.0,55.0,56.0,55.0,56.0
89,57.0,57.0,57.0,56.0,57.0,55.0,56.0,55.0,56.0,55.0
90,54.0,55.0,54.0,54.0,55.0,54.0,54.0,56.0,54.0,56.0
91,56.0,57.0,56.0,56.0,57.0,56.0,56.0,56.0,56.0,56.0
92,56.0,56.0,55.0,54.0,54.0,56.0,54.0,56.0,55.0,56.0
93,53.0,55.0,54.0,54.0,55.0,55.0,54.0,58.0,54.0,58.0
94,56.0,57.0,56.0,56.0,56.0,56.0,56.0,58.0,56.0,58.0
95,56.0,57.0,56.0,56.0,57.0,57.0,56.0,57.0,56.0,57.0
96,54.0,56.0,55.0,55.0,56.0,55.0,55.0,59.0,55.0,59.0
97,57.0,58.0,57.0,57.0,56.0,57.0,57.0,59.0,57.0,59.0
98,57.0,58.0,57.0,57.0,58.0,57.0,57.0,58.0,57.0,58.0
99,53.0,54.0,53.0,53.0,54.0,54.0,53.0,57.0,53.0,57.0
100,55.0,56.0,55.0,55.0,55.0,55.0,55.0,57.0,55.0,57.0
101,55.0,56.0,55.0,55.0,56.0,56.0,55.0,57.0,55.0,57.0
102,53.0,55.0,54.0,54.0,55.0,54.0,54.0,58.0,54.0,58.0
103,56.0,57.0,56.0,56.0,55.0,56.0,56.0,58.0,56.0,58.0
104,56.0,57.0,56.0,56.0,57.0,56.0,56.0,58.0,56.0,58.0
105,53.0,55.0,55.0,55.0,54.0,53.0,53.0,59.0,53.0,59.0
106,57.0,56.0,55.0,55.0,54.0,55.0,55.0,58.0,55.0,58.0
107,57.0,57.0,57.0,57.0,56.0,55.0,56.0,58.0,56.0,58.0
108,56.0,58.0,53.0,52.0,58.0,51.0,53.0,55.0,52.0,55.0
109,55.0,55.0,49.0,50.0,55.0,49.0,50.0,52.0,49.0,52.0
110,57.0,59.0,52.0,52.0,56.0,52.0,52.0,53.0,52.0,53.0
111,53.0,57.0,53.0,53.0,56.0,53.0,53.0,56.0,53.0,56.0
112,55.0,59.0,53.0,53.0,55.0,53.0,53.0,57.0,53.0,57.0
113,55.0,58.0,52.0,52.0,58.0,52.0,52.0,57.0,52.0,57.0
114,52.0,56.0,52.0,52.0,55.0,52.0,52.0,55.0,52.0,55.0
115,55.0,58.0,52.0,52.0,56.0,52.0,52.0,56.0,52.0,56.0
116,55.0,57.0,55.0,55.0,57.0,55.0,55.0,56.0,55.0,56.0
117,53.0,56.0,53.0,53.0,56.0,53.0,53.0,56.0,53.0,56.0
118,54.0,57.0,53.0,53.0,57.0,53.0,53.0,56.0,53.0,56.0
119,55.0,57.0,56.0,56.0,57.0,56.0,56.0,55.0,56.0,55.0
120,53.0,56.0,53.0,53.0,56.0,53.0,53.0,57.0,53.0,57.0
121,54.0,58.0,53.0,53.0,58.0,53.0,53.0,57.0,53.0,57.0
122,55.0,56.0,52.0,52.0,55.0,52.0,52.0,57.0,52.0,57.0
123,52.0,56.0,52.0,52.0,56.0,54.0,52.0,59.0,52.0,59.0
124,54.0,58.0,55.0,55.0,57.0,55.0,55.0,59.0,55.0,59.0
125,56.0,58.0,54.0,54.0,58.0,54.0,54.0,58.0,54.0,58.0
126,53.0,57.0,53.0,53.0,57.0,55.0,53.0,60.0,53.0,60.0
127,55.0,59.0,56.0,56.0,57.0,56.0,56.0,60.0,56.0,60.0
128,56.0,59.0,55.0,55.0,59.0,55.0,55.0,59.0,55.0,59.0
129,51.0,55.0,51.0,51.0,55.0,53.0,51.0,58.0,51.0,58.0
130,53.0,57.0,54.0,54.0,56.0,54.0,54.0,58.0,54.0,58.0
131,55.0,57.0,53.0,53.0,57.0,53.0,53.0,58.0,53.0,58.0
