Scenario,Roll 0,Roll 1,Roll 2,Roll 3,Roll 4,Roll 5,Roll 6,Roll 7,Roll 8
82,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,46.0
83,46.0,46.0,50.0,50.0,46.0,46.0,50.0,50.0,48.0
84,44.0,44.0,45.0,44.0,44.0,44.0,44.0,45.0,44.0
85,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0
86,45.0,45.0,49.0,49.0,45.0,45.0,49.0,49.0,47.0
87,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,44.0
88,45.0,45.0,45.0,44.0,45.0,45.0,44.0,45.0,49.0
89,45.0,45.0,46.0,46.0,45.0,45.0,46.0,46.0,47.0
90,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,47.0
91,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,48.0
92,46.0,46.0,49.0,49.0,46.0,46.0,49.0,49.0,47.0
93,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,46.0
94,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,47.0
95,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0
96,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0
97,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,47.0
98,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,48.0
99,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,45.0
100,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,47.0
101,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0
102,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0
103,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,48.0
104,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,47.0
105,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,43.0
106,42.0,42.0,42.0,41.0,42.0,42.0,41.0,42.0,46.0
107,45.0,45.0,45.0,44.0,45.0,45.0,44.0,45.0,45.0
108,42.0,42.0,42.0,42.0,44.0,44.0,44.0,44.0,44.0
109,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,44.0
110,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,46.0
111,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,42.0
112,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,46.0
113,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,46.0
114,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,41.0
115,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,45.0
116,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0
117,41.0,42.0,42.0,41.0,41.0,42.0,41.0,42.0,41.0
118,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,44.0
119,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,47.0
120,45.0,46.0,46.0,46.0,45.0,46.0,46.0,46.0,44.0
121,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,46.0
122,47.0,47.0,50.0,50.0,47.0,47.0,50.0,50.0,47.0
123,45.0,46.0,46.0,45.0,45.0,46.0,45.0,46.0,44.0
124,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,46.0
125,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,46.0
126,45.0,46.0,46.0,45.0,45.0,46.0,45.0,46.0,44.0
127,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0
128,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,47.0
129,44.0,45.0,45.0,44.0,44.0,45.0,44.0,45.0,43.0
130,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,45.0
131,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,46.0
132,44.0,45.0,45.0,44.0,44.0,45.0,44.0,45.0,43.0
133,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0
134,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,47.0
135,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0
136,43.0,43.0,43.0,42.0,43.0,43.0,42.0,43.0,44.0
137,46.0,46.0,46.0,45.0,46.0,46.0,45.0,46.0,45.0
138,48.0,48.0,45.0,45.0,48.0,48.0,45.0,45.0,44.0
139,46.0,40.0,39.0,43.0,46.0,40.0,43.0,39.0,47.0
140,46.0,40.0,42.0,44.0,46.0,40.0,44.0,42.0,46.0
141,48.0,48.0,47.0,47.0,48.0,48.0,47.0,47.0,45.0
142,46.0,44.0,44.0,45.0,46.0,44.0,45.0,44.0,46.0
143,46.0,44.0,47.0,47.0,46.0,44.0,47.0,47.0,47.0
144,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0
145,43.0,39.0,39.0,43.0,43.0,39.0,43.0,39.0,47.0
146,46.0,42.0,42.0,44.0,46.0,42.0,44.0,42.0,46.0
147,47.0,47.0,46.0,46.0,47.0,47.0,46.0,46.0,45.0
148,45.0,44.0,44.0,44.0,45.0,44.0,44.0,44.0,46.0
149,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,47.0
150,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0
151,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,47.0
152,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0
153,45.0,45.0,44.0,44.0,45.0,45.0,44.0,44.0,45.0
154,43.0,37.0,37.0,42.0,43.0,37.0,42.0,37.0,47.0
155,46.0,40.0,40.0,44.0,46.0,40.0,44.0,40.0,46.0
156,46.0,46.0,45.0,45.0,46.0,46.0,45.0,45.0,44.0
157,44.0,43.0,43.0,43.0,44.0,43.0,43.0,43.0,47.0
158,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,46.0
159,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0
160,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,48.0
161,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0
162,44.0,44.0,43.0,43.0,44.0,44.0,43.0,43.0,44.0
163,42.0,40.0,40.0,41.0,43.0,40.0,43.0,40.0,49.0
164,45.0,43.0,43.0,44.0,45.0,43.0,44.0,43.0,45.0
165,40.0,40.0,39.0,39.0,40.0,40.0,39.0,39.0,41.0
166,38.0,33.0,33.0,37.0,38.0,33.0,37.0,33.0,44.0
167,41.0,36.0,36.0,40.0,41.0,36.0,40.0,36.0,43.0
