Scenario,Roll 0,Roll 1,Roll 2,Roll 3,Roll 4,Roll 5,Roll 6,Roll 7,Roll 8,Roll 9,Roll 10,Roll 11,Roll 12,Roll 13,Roll 14
50,53.0,53.0,53.0,53.0,52.0,53.0,56.0,54.0,56.0,53.0,53.0,52.0,52.0,52.0,46.0
51,55.0,55.0,51.0,50.0,55.0,52.0,51.0,51.0,51.0,50.0,50.0,51.0,51.0,51.0,51.0
52,57.0,57.0,56.0,56.0,57.0,57.0,56.0,56.0,56.0,56.0,56.0,50.0,50.0,50.0,48.0
53,53.0,53.0,53.0,53.0,53.0,54.0,56.0,52.0,56.0,53.0,53.0,49.0,49.0,49.0,45.0
54,54.0,54.0,54.0,54.0,53.0,50.0,51.0,55.0,50.0,53.0,53.0,50.0,50.0,50.0,50.0
55,57.0,57.0,56.0,56.0,55.0,55.0,56.0,58.0,55.0,55.0,55.0,51.0,51.0,51.0,47.0
56,53.0,53.0,53.0,53.0,52.0,55.0,56.0,54.0,55.0,52.0,52.0,51.0,51.0,51.0,45.0
57,55.0,55.0,50.0,50.0,54.0,51.0,51.0,51.0,50.0,49.0,49.0,51.0,51.0,51.0,51.0
58,58.0,58.0,56.0,56.0,56.0,56.0,56.0,56.0,55.0,55.0,55.0,50.0,50.0,50.0,48.0
59,54.0,54.0,53.0,53.0,53.0,56.0,56.0,52.0,55.0,52.0,52.0,49.0,49.0,49.0,45.0
60,50.0,51.0,46.0,44.0,50.0,51.0,43.0,44.0,45.0,45.0,44.0,43.0,43.0,43.0,43.0
61,56.0,56.0,48.0,48.0,56.0,56.0,48.0,48.0,47.0,47.0,47.0,47.0,47.0,47.0,41.0
62,53.0,53.0,47.0,46.0,53.0,56.0,48.0,46.0,46.0,46.0,46.0,45.0,45.0,45.0,39.0
63,59.0,59.0,54.0,56.0,58.0,58.0,48.0,52.0,53.0,53.0,55.0,51.0,51.0,51.0,51.0
64,57.0,61.0,55.0,61.0,60.0,55.0,51.0,57.0,55.0,55.0,60.0,56.0,56.0,56.0,56.0
65,54.0,57.0,51.0,57.0,56.0,52.0,52.0,53.0,52.0,51.0,56.0,52.0,52.0,52.0,52.0
66,59.0,59.0,54.0,56.0,58.0,58.0,46.0,52.0,53.0,53.0,55.0,51.0,51.0,51.0,51.0
67,57.0,61.0,55.0,61.0,60.0,55.0,51.0,57.0,55.0,55.0,60.0,56.0,56.0,56.0,56.0
68,54.0,57.0,51.0,57.0,56.0,52.0,52.0,53.0,52.0,51.0,56.0,52.0,52.0,52.0,52.0
69,53.0,55.0,59.0,59.0,54.0,51.0,54.0,58.0,59.0,59.0,59.0,56.0,56.0,56.0,56.0
70,52.0,55.0,56.0,61.0,51.0,51.0,57.0,57.0,57.0,56.0,61.0,61.0,61.0,61.0,61.0
