Scenario,Roll 0,Roll 1,Roll 2,Roll 3,Roll 4,Roll 5,Roll 6,Roll 7,Roll 8,Roll 9,Roll 10,Roll 11,Roll 12,Roll 13
53,43.0,47.0,47.0,51.0,47.0,51.0,47.0,45.0,47.0,45.0,45.0,45.0,47.0,47.0
54,43.0,46.0,46.0,47.0,45.0,47.0,46.0,42.0,46.0,45.0,43.0,45.0,45.0,45.0
55,44.0,47.0,47.0,45.0,46.0,45.0,47.0,43.0,47.0,46.0,44.0,46.0,46.0,46.0
56,43.0,48.0,48.0,49.0,46.0,49.0,48.0,44.0,47.0,46.0,44.0,46.0,46.0,47.0
57,43.0,46.0,46.0,48.0,44.0,48.0,46.0,42.0,46.0,44.0,42.0,44.0,44.0,45.0
58,44.0,47.0,47.0,46.0,46.0,46.0,47.0,44.0,47.0,47.0,45.0,47.0,46.0,46.0
59,42.0,48.0,48.0,50.0,46.0,50.0,48.0,44.0,47.0,46.0,44.0,46.0,46.0,47.0
60,40.0,46.0,46.0,44.0,42.0,44.0,46.0,41.0,42.0,40.0,41.0,40.0,42.0,44.0
61,42.0,43.0,43.0,45.0,44.0,45.0,45.0,41.0,43.0,43.0,41.0,43.0,44.0,46.0
62,43.0,45.0,45.0,47.0,43.0,47.0,48.0,42.0,46.0,42.0,44.0,42.0,43.0,47.0
63,39.0,46.0,46.0,44.0,43.0,44.0,45.0,44.0,39.0,39.0,46.0,39.0,43.0,43.0
64,43.0,46.0,46.0,46.0,45.0,46.0,46.0,45.0,44.0,41.0,48.0,41.0,45.0,44.0
65,44.0,47.0,47.0,46.0,45.0,46.0,47.0,46.0,43.0,41.0,48.0,43.0,45.0,42.0
66,40.0,46.0,46.0,44.0,43.0,44.0,45.0,44.0,40.0,39.0,47.0,39.0,43.0,43.0
67,43.0,46.0,46.0,45.0,45.0,45.0,46.0,45.0,43.0,42.0,47.0,42.0,45.0,44.0
68,44.0,47.0,47.0,45.0,45.0,45.0,47.0,46.0,44.0,42.0,48.0,43.0,45.0,42.0
69,41.0,48.0,48.0,47.0,44.0,47.0,46.0,45.0,43.0,42.0,45.0,42.0,44.0,44.0
70,44.0,48.0,48.0,45.0,45.0,45.0,47.0,47.0,47.0,44.0,45.0,44.0,45.0,45.0
71,46.0,48.0,48.0,45.0,45.0,45.0,48.0,47.0,45.0,44.0,46.0,44.0,45.0,44.0
72,40.0,47.0,47.0,46.0,43.0,46.0,45.0,45.0,43.0,42.0,44.0,42.0,43.0,44.0
73,43.0,48.0,48.0,44.0,44.0,44.0,46.0,46.0,46.0,45.0,45.0,45.0,44.0,45.0
74,45.0,49.0,49.0,44.0,45.0,44.0,47.0,47.0,45.0,44.0,45.0,44.0,45.0,45.0
75,41.0,47.0,47.0,45.0,43.0,45.0,45.0,44.0,41.0,39.0,43.0,39.0,43.0,43.0
76,41.0,46.0,46.0,44.0,43.0,44.0,46.0,44.0,44.0,41.0,45.0,41.0,43.0,45.0
77,44.0,48.0,48.0,45.0,45.0,45.0,47.0,46.0,45.0,42.0,46.0,43.0,45.0,45.0
78,39.0,46.0,46.0,44.0,44.0,44.0,45.0,42.0,40.0,39.0,45.0,39.0,44.0,43.0
79,42.0,46.0,46.0,46.0,46.0,46.0,46.0,45.0,41.0,43.0,47.0,43.0,46.0,44.0
80,42.0,46.0,46.0,46.0,46.0,46.0,47.0,45.0,41.0,43.0,46.0,43.0,46.0,40.0
81,41.0,48.0,48.0,44.0,44.0,44.0,46.0,45.0,43.0,42.0,45.0,42.0,44.0,44.0
82,42.0,48.0,48.0,45.0,45.0,45.0,47.0,47.0,47.0,44.0,46.0,44.0,45.0,45.0
83,46.0,48.0,48.0,45.0,45.0,45.0,48.0,47.0,45.0,44.0,46.0,44.0,45.0,44.0
84,41.0,47.0,47.0,43.0,43.0,43.0,45.0,45.0,43.0,42.0,45.0,42.0,43.0,44.0
85,41.0,48.0,48.0,44.0,44.0,44.0,46.0,46.0,46.0,45.0,46.0,45.0,44.0,45.0
86,45.0,49.0,49.0,44.0,44.0,44.0,47.0,47.0,45.0,44.0,45.0,44.0,44.0,45.0
87,40.0,47.0,47.0,44.0,44.0,44.0,45.0,43.0,41.0,39.0,44.0,39.0,44.0,43.0
88,42.0,46.0,46.0,45.0,43.0,45.0,46.0,44.0,43.0,41.0,46.0,41.0,43.0,45.0
89,44.0,48.0,48.0,44.0,44.0,44.0,47.0,46.0,44.0,43.0,42.0,43.0,44.0,45.0
90,43.0,47.0,47.0,44.0,44.0,44.0,45.0,46.0,46.0,43.0,43.0,43.0,44.0,45.0
91,46.0,44.0,44.0,46.0,46.0,46.0,44.0,43.0,46.0,45.0,41.0,45.0,46.0,45.0
92,45.0,46.0,46.0,45.0,43.0,45.0,45.0,45.0,46.0,44.0,44.0,44.0,43.0,44.0
93,43.0,48.0,48.0,47.0,45.0,47.0,46.0,46.0,46.0,44.0,43.0,44.0,45.0,45.0
94,45.0,46.0,46.0,45.0,46.0,45.0,47.0,43.0,47.0,46.0,44.0,46.0,46.0,46.0
95,44.0,46.0,46.0,49.0,46.0,49.0,48.0,45.0,46.0,45.0,44.0,45.0,46.0,46.0
96,43.0,47.0,47.0,48.0,44.0,48.0,46.0,46.0,46.0,43.0,42.0,43.0,44.0,45.0
97,44.0,46.0,46.0,46.0,46.0,46.0,47.0,44.0,46.0,45.0,44.0,45.0,46.0,46.0
98,45.0,47.0,47.0,50.0,46.0,50.0,48.0,46.0,46.0,44.0,44.0,44.0,46.0,46.0
99,42.0,47.0,47.0,46.0,44.0,46.0,45.0,45.0,45.0,44.0,42.0,44.0,44.0,45.0
100,44.0,46.0,46.0,44.0,45.0,44.0,46.0,42.0,46.0,45.0,44.0,45.0,45.0,45.0
101,43.0,48.0,48.0,48.0,45.0,48.0,47.0,46.0,46.0,45.0,43.0,45.0,45.0,46.0
102,42.0,47.0,47.0,47.0,43.0,47.0,45.0,45.0,45.0,43.0,41.0,43.0,43.0,45.0
103,43.0,46.0,46.0,45.0,45.0,45.0,46.0,43.0,46.0,46.0,44.0,46.0,45.0,45.0
104,44.0,48.0,48.0,49.0,45.0,49.0,47.0,46.0,46.0,45.0,43.0,45.0,45.0,46.0
105,40.0,45.0,45.0,43.0,43.0,43.0,45.0,43.0,42.0,40.0,40.0,40.0,43.0,43.0
106,41.0,42.0,42.0,44.0,44.0,44.0,44.0,41.0,44.0,42.0,44.0,42.0,44.0,45.0
107,42.0,46.0,46.0,46.0,44.0,46.0,47.0,45.0,46.0,41.0,43.0,41.0,44.0,46.0
108,39.0,42.0,42.0,41.0,42.0,41.0,41.0,41.0,38.0,37.0,42.0,37.0,42.0,39.0
109,40.0,42.0,42.0,42.0,43.0,42.0,42.0,41.0,40.0,38.0,46.0,38.0,43.0,40.0
110,41.0,43.0,43.0,43.0,43.0,43.0,43.0,42.0,40.0,40.0,44.0,40.0,43.0,39.0
111,41.0,47.0,47.0,45.0,45.0,45.0,46.0,42.0,41.0,40.0,42.0,40.0,45.0,40.0
112,42.0,44.0,44.0,43.0,43.0,43.0,43.0,42.0,43.0,41.0,46.0,41.0,43.0,41.0
113,42.0,46.0,46.0,43.0,43.0,43.0,44.0,45.0,42.0,42.0,46.0,42.0,43.0,41.0
114,40.0,46.0,46.0,44.0,44.0,44.0,45.0,41.0,41.0,39.0,41.0,39.0,44.0,40.0
115,41.0,44.0,44.0,43.0,43.0,43.0,42.0,41.0,42.0,41.0,45.0,41.0,43.0,41.0
116,42.0,46.0,46.0,44.0,43.0,44.0,44.0,45.0,42.0,43.0,46.0,43.0,43.0,41.0
117,41.0,42.0,42.0,43.0,42.0,43.0,41.0,41.0,41.0,38.0,41.0,38.0,42.0,39.0
118,41.0,42.0,42.0,44.0,44.0,44.0,42.0,41.0,41.0,40.0,46.0,40.0,44.0,41.0
119,43.0,47.0,47.0,44.0,43.0,44.0,45.0,46.0,42.0,44.0,43.0,44.0,43.0,41.0
120,43.0,47.0,47.0,43.0,43.0,43.0,45.0,42.0,46.0,42.0,41.0,42.0,43.0,42.0
121,43.0,44.0,44.0,43.0,44.0,43.0,44.0,43.0,46.0,43.0,42.0,43.0,44.0,41.0
122,44.0,46.0,46.0,44.0,44.0,44.0,45.0,45.0,47.0,44.0,45.0,44.0,44.0,43.0
123,42.0,48.0,48.0,45.0,45.0,45.0,46.0,42.0,46.0,44.0,42.0,44.0,45.0,45.0
124,43.0,46.0,46.0,45.0,45.0,45.0,47.0,43.0,46.0,44.0,45.0,44.0,45.0,45.0
125,44.0,46.0,46.0,47.0,47.0,47.0,48.0,45.0,47.0,46.0,45.0,46.0,47.0,47.0
126,43.0,47.0,47.0,46.0,45.0,46.0,46.0,42.0,46.0,44.0,43.0,44.0,45.0,45.0
127,44.0,46.0,46.0,46.0,46.0,46.0,47.0,44.0,44.0,45.0,45.0,45.0,46.0,45.0
128,43.0,47.0,47.0,48.0,47.0,48.0,48.0,46.0,47.0,45.0,42.0,45.0,47.0,47.0
129,41.0,47.0,47.0,44.0,44.0,44.0,45.0,41.0,45.0,44.0,41.0,44.0,44.0,45.0
130,42.0,46.0,46.0,44.0,44.0,44.0,46.0,42.0,45.0,44.0,45.0,44.0,44.0,45.0
131,43.0,48.0,48.0,46.0,46.0,46.0,47.0,46.0,46.0,46.0,44.0,46.0,46.0,46.0
132,42.0,47.0,47.0,45.0,44.0,45.0,45.0,41.0,45.0,43.0,42.0,43.0,44.0,45.0
133,43.0,46.0,46.0,45.0,45.0,45.0,46.0,43.0,43.0,44.0,45.0,44.0,45.0,45.0
134,43.0,48.0,48.0,47.0,46.0,47.0,47.0,46.0,46.0,46.0,41.0,46.0,46.0,46.0
135,40.0,43.0,43.0,44.0,44.0,44.0,41.0,41.0,42.0,40.0,41.0,40.0,44.0,41.0
136,42.0,42.0,42.0,45.0,45.0,45.0,42.0,40.0,43.0,40.0,45.0,40.0,45.0,42.0
137,43.0,46.0,46.0,47.0,45.0,47.0,47.0,45.0,43.0,42.0,41.0,42.0,45.0,46.0
138,44.0,42.0,42.0,44.0,43.0,44.0,43.0,41.0,47.0,43.0,39.0,43.0,43.0,43.0
139,44.0,40.0,40.0,45.0,44.0,45.0,43.0,37.0,46.0,45.0,44.0,45.0,44.0,44.0
140,44.0,39.0,39.0,46.0,44.0,46.0,44.0,38.0,47.0,45.0,44.0,45.0,44.0,44.0
141,44.0,45.0,45.0,46.0,46.0,46.0,45.0,41.0,47.0,46.0,39.0,46.0,46.0,47.0
142,44.0,43.0,43.0,46.0,46.0,46.0,46.0,38.0,48.0,45.0,44.0,45.0,46.0,46.0
143,45.0,41.0,41.0,48.0,48.0,48.0,46.0,38.0,48.0,47.0,44.0,47.0,48.0,47.0
144,44.0,45.0,45.0,47.0,43.0,47.0,45.0,42.0,47.0,42.0,40.0,42.0,43.0,47.0
145,44.0,40.0,40.0,46.0,45.0,46.0,46.0,38.0,48.0,45.0,41.0,45.0,45.0,46.0
