Turn 6,Turn 7,Score,Connecting Exits,Longest Railway,Longest Highway,Centre Points,Errors,Bonus Point
0,0,53,30,9,7,6,0,1
0,1,52,30,9,7,6,-1,1
0,2,52,30,8,8,6,-1,1
0,3,53,31,8,8,6,-1,1
0,4,53,31,9,7,6,-1,1
0,5,51,31,7,8,6,-2,1
0,6,50,28,9,8,6,-2,1
0,7,50,28,9,8,6,-1,1
