Scenario,Roll 0,Roll 1,Roll 2,Roll 3,Roll 4,Roll 5,Roll 6
0,48.0,46.0,50.0,46.0,45.0,45.0,45.0
1,48.0,47.0,48.0,47.0,47.0,45.0,45.0
2,50.0,49.0,50.0,47.0,49.0,46.0,48.0
3,49.0,47.0,49.0,47.0,45.0,44.0,44.0
4,50.0,48.0,50.0,47.0,48.0,44.0,48.0
5,51.0,49.0,50.0,49.0,49.0,45.0,48.0
6,48.0,46.0,48.0,46.0,46.0,45.0,45.0
7,49.0,47.0,49.0,47.0,46.0,45.0,45.0
8,50.0,49.0,50.0,48.0,49.0,46.0,49.0
9,49.0,47.0,49.0,47.0,46.0,44.0,46.0
10,50.0,47.0,50.0,47.0,46.0,46.0,46.0
11,50.0,48.0,50.0,47.0,49.0,46.0,49.0
12,48.0,46.0,48.0,46.0,49.0,43.0,49.0
13,49.0,47.0,49.0,46.0,48.0,45.0,48.0
14,49.0,47.0,49.0,46.0,48.0,45.0,48.0
15,48.0,47.0,48.0,45.0,50.0,43.0,50.0
16,49.0,48.0,49.0,46.0,49.0,44.0,49.0
17,50.0,47.0,50.0,47.0,49.0,44.0,49.0
18,48.0,46.0,48.0,46.0,44.0,43.0,44.0
19,49.0,47.0,49.0,47.0,47.0,44.0,47.0
20,50.0,48.0,49.0,48.0,48.0,45.0,48.0
21,48.0,45.0,47.0,45.0,45.0,44.0,44.0
22,50.0,48.0,48.0,48.0,48.0,44.0,47.0
23,50.0,49.0,49.0,48.0,49.0,45.0,49.0
24,49.0,46.0,48.0,46.0,46.0,45.0,46.0
25,49.0,47.0,49.0,46.0,48.0,45.0,48.0
26,51.0,48.0,49.0,47.0,49.0,47.0,49.0
27,48.0,45.0,47.0,45.0,49.0,44.0,49.0
28,48.0,47.0,48.0,47.0,47.0,44.0,47.0
29,50.0,47.0,48.0,47.0,48.0,46.0,48.0
30,48.0,46.0,47.0,44.0,50.0,43.0,50.0
31,48.0,48.0,48.0,48.0,48.0,43.0,48.0
32,49.0,48.0,49.0,48.0,49.0,45.0,49.0
33,48.0,46.0,46.0,46.0,46.0,45.0,45.0
34,49.0,46.0,48.0,46.0,47.0,45.0,45.0
35,50.0,48.0,48.0,48.0,49.0,45.0,48.0
36,48.0,46.0,48.0,45.0,46.0,45.0,46.0
37,50.0,47.0,48.0,47.0,46.0,45.0,45.0
38,50.0,49.0,49.0,46.0,49.0,47.0,49.0
39,48.0,46.0,47.0,44.0,47.0,44.0,47.0
40,49.0,47.0,48.0,46.0,48.0,45.0,48.0
41,49.0,48.0,48.0,45.0,48.0,46.0,48.0
42,48.0,47.0,47.0,44.0,48.0,43.0,48.0
43,49.0,48.0,49.0,46.0,49.0,44.0,49.0
44,50.0,46.0,49.0,46.0,49.0,45.0,49.0
