Scenario,Roll 0,Roll 1,Roll 2,Roll 3,Roll 4,Roll 5,Roll 6,Roll 7,Roll 8
82,45.0,45.0,45.0,44.0,45.0,45.0,46.0,43.0,45.0
83,45.0,44.0,45.0,44.0,45.0,43.0,46.0,44.0,44.0
84,45.0,43.0,44.0,44.0,45.0,45.0,45.0,42.0,43.0
85,45.0,44.0,45.0,45.0,46.0,45.0,45.0,42.0,44.0
86,46.0,44.0,46.0,46.0,46.0,43.0,46.0,44.0,44.0
87,44.0,44.0,44.0,44.0,44.0,45.0,44.0,41.0,44.0
88,45.0,45.0,45.0,43.0,45.0,45.0,45.0,43.0,45.0
89,45.0,45.0,45.0,44.0,44.0,43.0,45.0,43.0,45.0
90,45.0,43.0,45.0,43.0,42.0,41.0,45.0,42.0,43.0
91,44.0,45.0,44.0,42.0,44.0,41.0,44.0,42.0,45.0
92,45.0,45.0,45.0,43.0,43.0,42.0,45.0,43.0,45.0
93,44.0,44.0,44.0,43.0,43.0,41.0,45.0,42.0,44.0
94,45.0,44.0,45.0,45.0,44.0,44.0,45.0,42.0,44.0
95,45.0,46.0,45.0,45.0,44.0,43.0,45.0,43.0,46.0
96,44.0,43.0,44.0,42.0,41.0,41.0,45.0,41.0,43.0
97,44.0,45.0,44.0,42.0,44.0,42.0,44.0,42.0,45.0
98,45.0,45.0,45.0,43.0,43.0,42.0,45.0,43.0,45.0
99,44.0,43.0,44.0,44.0,42.0,40.0,44.0,41.0,43.0
100,44.0,43.0,44.0,44.0,44.0,44.0,45.0,42.0,43.0
101,46.0,45.0,46.0,44.0,44.0,43.0,45.0,43.0,45.0
102,44.0,42.0,43.0,43.0,41.0,40.0,45.0,41.0,42.0
103,45.0,44.0,45.0,44.0,43.0,44.0,44.0,41.0,44.0
104,45.0,44.0,45.0,44.0,44.0,43.0,44.0,42.0,44.0
105,44.0,43.0,44.0,42.0,40.0,40.0,44.0,40.0,43.0
106,43.0,44.0,43.0,41.0,41.0,40.0,43.0,41.0,44.0
107,42.0,45.0,42.0,42.0,42.0,42.0,42.0,42.0,45.0
108,41.0,40.0,40.0,38.0,43.0,42.0,41.0,41.0,40.0
109,42.0,42.0,42.0,41.0,43.0,43.0,42.0,43.0,42.0
110,43.0,39.0,42.0,41.0,44.0,44.0,43.0,40.0,38.0
111,41.0,40.0,41.0,40.0,45.0,42.0,42.0,40.0,39.0
112,42.0,42.0,42.0,41.0,44.0,42.0,43.0,43.0,42.0
113,43.0,43.0,42.0,40.0,44.0,42.0,43.0,42.0,39.0
114,43.0,40.0,43.0,43.0,46.0,42.0,42.0,40.0,40.0
115,44.0,41.0,43.0,45.0,43.0,42.0,45.0,42.0,41.0
116,45.0,42.0,45.0,45.0,45.0,41.0,45.0,42.0,42.0
117,41.0,41.0,41.0,44.0,41.0,42.0,41.0,41.0,41.0
118,42.0,42.0,42.0,41.0,42.0,42.0,42.0,43.0,42.0
119,42.0,42.0,42.0,42.0,43.0,42.0,42.0,43.0,43.0
120,42.0,41.0,42.0,39.0,40.0,39.0,42.0,42.0,41.0
121,41.0,43.0,41.0,41.0,43.0,41.0,43.0,43.0,42.0
122,44.0,44.0,44.0,44.0,42.0,43.0,44.0,43.0,44.0
123,42.0,42.0,42.0,43.0,42.0,41.0,42.0,42.0,41.0
124,45.0,43.0,45.0,44.0,45.0,42.0,45.0,42.0,41.0
125,44.0,43.0,44.0,44.0,45.0,42.0,44.0,44.0,43.0
126,41.0,41.0,41.0,43.0,40.0,40.0,42.0,41.0,40.0
127,41.0,42.0,41.0,41.0,43.0,41.0,42.0,43.0,42.0
128,44.0,44.0,44.0,44.0,42.0,43.0,44.0,43.0,44.0
129,44.0,41.0,43.0,43.0,41.0,40.0,41.0,41.0,40.0
130,44.0,42.0,44.0,44.0,44.0,44.0,44.0,41.0,40.0
131,45.0,43.0,44.0,43.0,45.0,41.0,43.0,43.0,42.0
132,44.0,40.0,44.0,44.0,40.0,39.0,42.0,40.0,40.0
133,45.0,41.0,45.0,44.0,43.0,45.0,44.0,42.0,41.0
134,45.0,43.0,45.0,44.0,44.0,42.0,43.0,42.0,43.0
135,41.0,40.0,41.0,43.0,39.0,37.0,41.0,41.0,40.0
136,41.0,41.0,41.0,41.0,41.0,41.0,41.0,42.0,41.0
137,42.0,42.0,42.0,42.0,42.0,42.0,42.0,43.0,42.0
138,40.0,44.0,40.0,44.0,40.0,39.0,43.0,42.0,42.0
139,44.0,44.0,44.0,44.0,42.0,42.0,44.0,44.0,44.0
140,43.0,43.0,43.0,43.0,42.0,42.0,43.0,42.0,44.0
