Scenario,Roll 0,Roll 1,Roll 2,Roll 3
0,54.0,54.0,55.0,54.0
1,53.0,55.0,53.0,54.0
2,54.0,57.0,55.0,51.0
3,55.0,55.0,56.0,56.0
4,55.0,55.0,55.0,55.0
5,58.0,57.0,57.0,54.0
6,54.0,54.0,55.0,55.0
7,55.0,56.0,56.0,53.0
8,57.0,56.0,57.0,53.0
9,56.0,57.0,57.0,57.0
10,55.0,49.0,55.0,55.0
11,57.0,55.0,57.0,57.0
12,55.0,56.0,56.0,56.0
13,55.0,48.0,54.0,54.0
14,56.0,54.0,56.0,56.0
15,54.0,54.0,54.0,53.0
16,53.0,49.0,52.0,50.0
17,54.0,55.0,54.0,53.0
18,56.0,54.0,56.0,56.0
19,56.0,54.0,56.0,54.0
20,58.0,56.0,58.0,53.0
21,56.0,55.0,56.0,56.0
22,57.0,55.0,57.0,53.0
23,58.0,57.0,58.0,56.0
24,58.0,58.0,58.0,58.0
25,58.0,56.0,58.0,58.0
26,60.0,57.0,60.0,60.0
27,57.0,57.0,57.0,57.0
28,57.0,55.0,57.0,57.0
29,59.0,56.0,59.0,59.0
30,55.0,55.0,55.0,56.0
31,53.0,55.0,55.0,53.0
32,58.0,57.0,57.0,55.0
33,53.0,54.0,55.0,55.0
34,54.0,56.0,56.0,52.0
35,57.0,57.0,57.0,55.0
36,57.0,57.0,57.0,57.0
37,59.0,56.0,57.0,57.0
38,59.0,58.0,59.0,59.0
39,57.0,56.0,56.0,56.0
40,58.0,55.0,56.0,56.0
41,58.0,57.0,58.0,58.0
42,53.0,56.0,56.0,55.0
43,54.0,56.0,56.0,52.0
44,59.0,58.0,58.0,54.0
45,60.0,57.0,57.0,56.0
46,57.0,48.0,49.0,51.0
47,57.0,48.0,49.0,52.0
48,59.0,58.0,58.0,56.0
49,56.0,49.0,50.0,52.0
50,56.0,50.0,50.0,53.0
51,57.0,56.0,56.0,56.0
52,54.0,49.0,47.0,51.0
53,54.0,51.0,49.0,52.0
54,58.0,57.0,57.0,56.0
55,55.0,48.0,49.0,51.0
56,55.0,49.0,49.0,53.0
57,56.0,55.0,55.0,56.0
58,53.0,49.0,47.0,51.0
59,53.0,50.0,49.0,53.0
60,52.0,53.0,53.0,52.0
61,50.0,44.0,45.0,47.0
62,50.0,48.0,48.0,49.0
63,55.0,53.0,55.0,55.0
64,55.0,53.0,55.0,53.0
65,57.0,55.0,57.0,52.0
66,55.0,54.0,55.0,55.0
67,56.0,54.0,56.0,52.0
68,57.0,56.0,57.0,55.0
69,57.0,57.0,57.0,57.0
70,57.0,55.0,57.0,57.0
71,59.0,56.0,59.0,59.0
72,56.0,56.0,56.0,56.0
73,56.0,54.0,56.0,56.0
74,58.0,55.0,58.0,58.0
75,54.0,54.0,54.0,55.0
76,52.0,54.0,54.0,52.0
77,57.0,56.0,56.0,54.0
78,52.0,53.0,54.0,54.0
79,53.0,55.0,55.0,51.0
80,56.0,56.0,56.0,54.0
81,56.0,56.0,56.0,56.0
82,58.0,55.0,56.0,56.0
83,58.0,57.0,58.0,58.0
84,56.0,55.0,55.0,55.0
85,57.0,54.0,55.0,55.0
86,57.0,56.0,57.0,57.0
87,52.0,55.0,55.0,54.0
88,53.0,55.0,55.0,51.0
89,58.0,57.0,57.0,53.0
90,59.0,56.0,56.0,55.0
91,56.0,47.0,48.0,50.0
92,56.0,51.0,50.0,51.0
93,58.0,57.0,57.0,55.0
94,55.0,48.0,49.0,51.0
95,55.0,50.0,49.0,52.0
96,56.0,55.0,55.0,55.0
97,53.0,49.0,48.0,50.0
98,53.0,50.0,50.0,51.0
99,57.0,56.0,56.0,55.0
100,54.0,47.0,48.0,50.0
101,54.0,49.0,48.0,52.0
102,55.0,54.0,54.0,55.0
103,52.0,48.0,47.0,50.0
104,52.0,49.0,49.0,52.0
105,51.0,52.0,52.0,51.0
106,49.0,43.0,46.0,46.0
107,49.0,47.0,48.0,48.0
108,48.0,48.0,52.0,49.0
109,49.0,49.0,54.0,44.0
110,52.0,54.0,54.0,49.0
111,50.0,50.0,55.0,55.0
112,52.0,49.0,54.0,49.0
113,54.0,55.0,56.0,55.0
114,49.0,49.0,54.0,54.0
115,51.0,48.0,53.0,48.0
116,53.0,54.0,55.0,54.0
117,48.0,50.0,54.0,50.0
118,49.0,49.0,54.0,44.0
119,54.0,55.0,56.0,50.0
120,50.0,57.0,54.0,54.0
121,54.0,48.0,49.0,47.0
122,54.0,52.0,49.0,49.0
123,50.0,56.0,53.0,54.0
124,53.0,47.0,48.0,47.0
125,53.0,51.0,50.0,49.0
126,50.0,50.0,54.0,54.0
127,54.0,48.0,47.0,47.0
128,54.0,49.0,49.0,49.0
129,49.0,55.0,52.0,54.0
130,53.0,46.0,47.0,47.0
131,53.0,50.0,49.0,49.0
132,50.0,49.0,53.0,54.0
133,53.0,47.0,46.0,47.0
134,53.0,48.0,48.0,49.0
135,48.0,49.0,51.0,50.0
136,49.0,44.0,45.0,43.0
137,49.0,48.0,47.0,47.0
138,50.0,49.0,46.0,49.0
139,49.0,51.0,45.0,45.0
140,49.0,49.0,47.0,48.0
