Scenario,Roll 0,Roll 1,Roll 2,Roll 3,Roll 4,Roll 5,Roll 6,Roll 7,Roll 8,Roll 9,Roll 10,Roll 11,Roll 12
57,57.0,54.0,58.0,56.0,57.0,57.0,57.0,57.0,54.0,57.0,55.0,56.0,58.0
58,54.0,53.0,59.0,56.0,58.0,58.0,59.0,59.0,54.0,58.0,56.0,52.0,58.0
59,58.0,52.0,61.0,53.0,57.0,57.0,54.0,58.0,54.0,57.0,56.0,54.0,58.0
60,53.0,53.0,58.0,57.0,56.0,56.0,52.0,55.0,53.0,56.0,54.0,54.0,57.0
61,48.0,53.0,59.0,57.0,56.0,57.0,54.0,56.0,54.0,56.0,52.0,51.0,56.0
62,52.0,48.0,61.0,54.0,55.0,56.0,52.0,55.0,51.0,55.0,55.0,53.0,57.0
63,59.0,55.0,59.0,58.0,52.0,56.0,55.0,60.0,59.0,52.0,57.0,57.0,55.0
64,56.0,60.0,58.0,57.0,50.0,55.0,54.0,56.0,58.0,50.0,59.0,54.0,54.0
65,57.0,57.0,56.0,58.0,48.0,56.0,54.0,58.0,59.0,49.0,57.0,55.0,55.0
66,59.0,53.0,57.0,58.0,53.0,57.0,55.0,58.0,59.0,53.0,58.0,58.0,56.0
67,56.0,60.0,58.0,58.0,51.0,55.0,54.0,56.0,58.0,51.0,60.0,55.0,55.0
68,56.0,56.0,55.0,59.0,49.0,57.0,54.0,56.0,58.0,50.0,58.0,56.0,56.0
69,58.0,57.0,57.0,59.0,57.0,58.0,57.0,57.0,58.0,56.0,55.0,59.0,57.0
70,57.0,59.0,56.0,55.0,53.0,55.0,59.0,57.0,57.0,52.0,57.0,54.0,54.0
71,58.0,59.0,56.0,54.0,53.0,56.0,59.0,57.0,58.0,52.0,57.0,55.0,55.0
72,60.0,56.0,60.0,58.0,58.0,58.0,58.0,59.0,58.0,57.0,57.0,59.0,57.0
73,60.0,59.0,59.0,54.0,56.0,58.0,60.0,59.0,57.0,55.0,56.0,57.0,57.0
74,61.0,59.0,60.0,57.0,56.0,58.0,58.0,58.0,58.0,55.0,57.0,57.0,56.0
75,58.0,54.0,60.0,59.0,57.0,57.0,53.0,58.0,58.0,56.0,58.0,57.0,57.0
76,58.0,60.0,59.0,55.0,55.0,59.0,58.0,58.0,57.0,54.0,57.0,58.0,58.0
77,59.0,56.0,61.0,57.0,55.0,58.0,55.0,58.0,57.0,54.0,57.0,57.0,57.0
78,58.0,53.0,57.0,58.0,54.0,56.0,55.0,59.0,58.0,54.0,56.0,57.0,57.0
79,54.0,59.0,57.0,58.0,52.0,53.0,54.0,56.0,57.0,52.0,58.0,55.0,55.0
80,53.0,54.0,56.0,59.0,48.0,54.0,54.0,57.0,53.0,48.0,57.0,57.0,57.0
81,59.0,56.0,57.0,59.0,58.0,59.0,57.0,58.0,59.0,57.0,56.0,58.0,58.0
82,57.0,58.0,57.0,56.0,54.0,55.0,59.0,58.0,58.0,53.0,58.0,55.0,55.0
83,57.0,58.0,56.0,54.0,54.0,57.0,59.0,57.0,54.0,53.0,58.0,56.0,56.0
84,59.0,55.0,58.0,58.0,59.0,59.0,58.0,58.0,59.0,58.0,58.0,58.0,58.0
85,60.0,58.0,58.0,55.0,57.0,57.0,60.0,60.0,58.0,56.0,57.0,58.0,58.0
86,59.0,58.0,60.0,58.0,57.0,59.0,58.0,59.0,57.0,56.0,58.0,58.0,57.0
87,59.0,53.0,59.0,59.0,58.0,58.0,53.0,58.0,59.0,57.0,59.0,57.0,57.0
88,58.0,59.0,59.0,56.0,56.0,56.0,58.0,59.0,58.0,55.0,55.0,59.0,59.0
89,58.0,54.0,61.0,58.0,56.0,58.0,55.0,59.0,58.0,55.0,57.0,58.0,58.0
90,57.0,55.0,57.0,56.0,56.0,57.0,53.0,54.0,55.0,55.0,56.0,56.0,58.0
91,58.0,57.0,56.0,55.0,58.0,58.0,59.0,57.0,53.0,57.0,57.0,53.0,54.0
92,57.0,57.0,56.0,53.0,57.0,57.0,55.0,58.0,52.0,56.0,57.0,54.0,56.0
93,59.0,55.0,57.0,56.0,57.0,57.0,56.0,58.0,55.0,56.0,57.0,57.0,58.0
94,58.0,57.0,58.0,55.0,59.0,59.0,60.0,59.0,58.0,58.0,58.0,56.0,57.0
95,59.0,57.0,58.0,55.0,58.0,58.0,57.0,57.0,58.0,57.0,59.0,57.0,57.0
96,57.0,54.0,58.0,57.0,56.0,57.0,55.0,57.0,55.0,55.0,56.0,57.0,58.0
97,58.0,58.0,58.0,56.0,58.0,58.0,61.0,58.0,55.0,57.0,59.0,57.0,58.0
98,59.0,54.0,59.0,55.0,57.0,57.0,57.0,58.0,59.0,56.0,57.0,57.0,57.0
99,59.0,54.0,59.0,55.0,57.0,57.0,56.0,58.0,55.0,56.0,57.0,57.0,58.0
100,58.0,57.0,59.0,54.0,59.0,59.0,60.0,59.0,58.0,58.0,57.0,56.0,57.0
