Scenario,Roll 0,Roll 1,Roll 2,Roll 3,Roll 4,Roll 5,Roll 6,Roll 7,Roll 8,Roll 9,Roll 10,Roll 11,Roll 12
57,46.0,46.0,45.0,45.0,45.0,45.0,45.0,44.0,44.0,45.0,45.0,45.0,45.0
58,45.0,43.0,44.0,43.0,44.0,42.0,47.0,43.0,42.0,45.0,46.0,47.0,46.0
59,43.0,42.0,41.0,41.0,41.0,41.0,47.0,40.0,40.0,47.0,47.0,46.0,47.0
60,46.0,46.0,45.0,45.0,40.0,40.0,45.0,39.0,39.0,45.0,45.0,44.0,45.0
61,45.0,43.0,44.0,43.0,39.0,38.0,48.0,38.0,38.0,45.0,46.0,42.0,46.0
62,42.0,42.0,39.0,39.0,39.0,39.0,47.0,39.0,39.0,47.0,47.0,41.0,47.0
63,46.0,46.0,45.0,45.0,43.0,43.0,45.0,42.0,42.0,45.0,45.0,43.0,45.0
64,45.0,45.0,45.0,45.0,45.0,45.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0
65,46.0,46.0,45.0,45.0,45.0,45.0,45.0,44.0,44.0,45.0,45.0,44.0,45.0
66,47.0,47.0,46.0,46.0,44.0,44.0,45.0,43.0,43.0,45.0,45.0,44.0,45.0
67,46.0,46.0,46.0,46.0,46.0,46.0,45.0,45.0,45.0,45.0,44.0,44.0,44.0
68,47.0,47.0,46.0,46.0,46.0,46.0,45.0,45.0,45.0,45.0,45.0,44.0,45.0
69,46.0,46.0,46.0,46.0,45.0,45.0,45.0,44.0,44.0,45.0,45.0,43.0,45.0
70,46.0,46.0,46.0,46.0,46.0,46.0,45.0,46.0,46.0,45.0,45.0,45.0,45.0
71,46.0,46.0,46.0,46.0,46.0,46.0,45.0,46.0,46.0,45.0,45.0,45.0,45.0
72,46.0,46.0,45.0,45.0,46.0,46.0,44.0,45.0,45.0,44.0,44.0,44.0,44.0
73,47.0,47.0,47.0,47.0,47.0,47.0,46.0,47.0,47.0,46.0,46.0,46.0,46.0
74,47.0,47.0,47.0,47.0,47.0,47.0,46.0,47.0,47.0,46.0,46.0,46.0,46.0
75,45.0,45.0,45.0,45.0,45.0,45.0,44.0,44.0,44.0,44.0,44.0,43.0,44.0
