Scenario,Roll 0,Roll 1,Roll 2,Roll 3
0,38.0,38.0,36.0,38.0
1,39.0,40.0,35.0,41.0
2,39.0,37.0,36.0,37.0
3,37.0,38.0,38.0,38.0
4,40.0,43.0,40.0,43.0
5,40.0,40.0,40.0,39.0
6,38.0,38.0,38.0,38.0
7,41.0,43.0,40.0,43.0
8,39.0,40.0,40.0,39.0
9,39.0,39.0,36.0,38.0
10,41.0,41.0,35.0,41.0
11,40.0,37.0,37.0,39.0
12,38.0,38.0,35.0,37.0
13,40.0,40.0,35.0,40.0
14,40.0,39.0,36.0,39.0
15,39.0,39.0,36.0,38.0
16,41.0,41.0,35.0,41.0
17,40.0,39.0,37.0,40.0
18,37.0,37.0,37.0,37.0
19,39.0,42.0,39.0,42.0
20,40.0,40.0,40.0,39.0
21,37.0,37.0,37.0,38.0
22,40.0,42.0,40.0,42.0
23,39.0,40.0,40.0,39.0
24,38.0,38.0,38.0,38.0
25,41.0,40.0,39.0,41.0
26,40.0,39.0,40.0,39.0
27,37.0,37.0,38.0,37.0
28,40.0,42.0,39.0,40.0
29,40.0,42.0,39.0,41.0
30,38.0,38.0,37.0,38.0
31,40.0,42.0,39.0,41.0
32,40.0,42.0,40.0,42.0
33,36.0,37.0,37.0,37.0
34,38.0,39.0,40.0,39.0
35,38.0,39.0,40.0,38.0
36,37.0,37.0,38.0,37.0
37,39.0,40.0,39.0,40.0
38,38.0,39.0,40.0,38.0
39,37.0,37.0,38.0,36.0
40,40.0,42.0,39.0,39.0
41,40.0,42.0,39.0,41.0
42,37.0,37.0,37.0,37.0
43,40.0,42.0,39.0,40.0
44,40.0,42.0,40.0,42.0
45,39.0,38.0,39.0,37.0
46,40.0,40.0,35.0,41.0
47,39.0,37.0,38.0,39.0
48,39.0,37.0,39.0,36.0
49,42.0,39.0,35.0,40.0
50,40.0,39.0,38.0,39.0
51,39.0,38.0,39.0,36.0
52,43.0,40.0,36.0,41.0
53,41.0,40.0,39.0,40.0
54,38.0,37.0,38.0,35.0
55,41.0,38.0,34.0,39.0
56,39.0,38.0,37.0,38.0
57,38.0,37.0,38.0,35.0
58,42.0,39.0,35.0,40.0
59,40.0,39.0,38.0,39.0
60,38.0,38.0,36.0,36.0
61,39.0,39.0,34.0,39.0
62,40.0,40.0,38.0,40.0
63,36.0,36.0,36.0,36.0
64,38.0,41.0,38.0,41.0
65,39.0,40.0,39.0,40.0
66,36.0,36.0,36.0,37.0
67,39.0,41.0,39.0,41.0
68,38.0,40.0,39.0,40.0
69,37.0,37.0,38.0,37.0
70,40.0,41.0,38.0,40.0
71,39.0,40.0,39.0,38.0
72,36.0,36.0,37.0,36.0
73,39.0,41.0,38.0,39.0
74,39.0,41.0,38.0,40.0
75,37.0,37.0,36.0,37.0
76,39.0,41.0,38.0,40.0
77,39.0,41.0,39.0,41.0
78,36.0,36.0,36.0,36.0
79,37.0,38.0,39.0,38.0
80,37.0,38.0,39.0,40.0
81,37.0,36.0,38.0,36.0
82,39.0,41.0,38.0,40.0
83,38.0,40.0,39.0,37.0
84,36.0,36.0,37.0,35.0
85,39.0,41.0,38.0,39.0
86,39.0,41.0,38.0,40.0
87,36.0,36.0,36.0,36.0
88,39.0,41.0,38.0,39.0
89,39.0,41.0,39.0,41.0
90,38.0,39.0,39.0,36.0
91,40.0,40.0,39.0,40.0
92,39.0,38.0,41.0,38.0
93,38.0,39.0,40.0,35.0
94,41.0,40.0,39.0,39.0
95,40.0,40.0,42.0,39.0
96,39.0,39.0,39.0,36.0
97,42.0,40.0,39.0,40.0
98,41.0,40.0,43.0,40.0
99,37.0,38.0,39.0,34.0
100,40.0,39.0,38.0,38.0
101,39.0,40.0,41.0,38.0
102,38.0,38.0,38.0,35.0
103,41.0,39.0,38.0,39.0
104,40.0,41.0,42.0,39.0
105,37.0,37.0,36.0,35.0
106,38.0,38.0,36.0,39.0
107,39.0,41.0,39.0,40.0
108,34.0,36.0,36.0,32.0
109,35.0,37.0,35.0,34.0
110,36.0,37.0,37.0,36.0
111,36.0,36.0,37.0,33.0
112,36.0,38.0,36.0,36.0
113,36.0,38.0,38.0,35.0
114,36.0,36.0,36.0,32.0
115,35.0,37.0,35.0,36.0
116,37.0,38.0,38.0,37.0
117,36.0,36.0,36.0,33.0
118,36.0,38.0,36.0,37.0
119,38.0,38.0,39.0,38.0
120,37.0,39.0,39.0,33.0
121,38.0,40.0,39.0,36.0
122,36.0,38.0,41.0,36.0
123,37.0,39.0,40.0,34.0
124,38.0,40.0,39.0,38.0
125,39.0,40.0,42.0,38.0
126,38.0,39.0,39.0,35.0
127,39.0,40.0,39.0,39.0
128,40.0,40.0,43.0,39.0
129,36.0,38.0,39.0,33.0
130,37.0,39.0,38.0,37.0
131,38.0,40.0,41.0,38.0
132,37.0,38.0,38.0,34.0
133,38.0,39.0,38.0,38.0
134,39.0,41.0,42.0,38.0
135,36.0,36.0,36.0,33.0
136,36.0,38.0,36.0,39.0
137,39.0,41.0,39.0,39.0
138,38.0,35.0,38.0,34.0
139,39.0,36.0,34.0,36.0
140,37.0,36.0,37.0,36.0
141,39.0,39.0,38.0,35.0
142,39.0,36.0,35.0,38.0
143,41.0,38.0,37.0,39.0
144,39.0,39.0,38.0,36.0
145,40.0,36.0,35.0,39.0
146,41.0,39.0,38.0,40.0
147,40.0,39.0,38.0,34.0
148,39.0,35.0,34.0,37.0
149,42.0,37.0,36.0,38.0
150,40.0,39.0,38.0,35.0
151,39.0,35.0,35.0,38.0
152,43.0,38.0,37.0,39.0
153,39.0,39.0,38.0,35.0
154,39.0,36.0,35.0,38.0
155,43.0,39.0,38.0,40.0
156,39.0,38.0,37.0,33.0
157,38.0,34.0,33.0,36.0
158,41.0,36.0,35.0,37.0
159,39.0,38.0,37.0,34.0
160,38.0,34.0,34.0,37.0
161,42.0,37.0,36.0,38.0
162,38.0,38.0,37.0,34.0
163,38.0,35.0,34.0,37.0
164,42.0,38.0,37.0,39.0
165,36.0,36.0,35.0,33.0
166,36.0,34.0,32.0,38.0
167,39.0,38.0,36.0,38.0
