Scenario,Roll 0,Roll 1,Roll 2,Roll 3,Roll 4,Roll 5,Roll 6,Roll 7,Roll 8,Roll 9,Roll 10,Roll 11,Roll 12
57,63.0,63.0,64.0,64.0,64.0,64.0,60.0,63.0,63.0,61.0,60.0,61.0,64.0
58,57.0,57.0,59.0,59.0,59.0,59.0,59.0,54.0,54.0,54.0,59.0,54.0,57.0
59,58.0,58.0,60.0,60.0,60.0,60.0,60.0,53.0,53.0,55.0,60.0,55.0,58.0
60,59.0,59.0,64.0,64.0,64.0,64.0,61.0,64.0,64.0,52.0,61.0,52.0,64.0
61,55.0,55.0,59.0,59.0,59.0,59.0,59.0,55.0,55.0,55.0,59.0,55.0,57.0
62,55.0,55.0,60.0,60.0,60.0,60.0,59.0,54.0,54.0,56.0,59.0,56.0,59.0
63,51.0,51.0,52.0,52.0,52.0,52.0,58.0,60.0,60.0,60.0,58.0,60.0,52.0
64,58.0,58.0,53.0,53.0,53.0,53.0,56.0,53.0,53.0,53.0,56.0,53.0,53.0
65,53.0,53.0,56.0,56.0,56.0,56.0,55.0,54.0,54.0,54.0,55.0,54.0,56.0
66,48.0,48.0,52.0,52.0,52.0,52.0,59.0,54.0,54.0,54.0,59.0,54.0,52.0
67,55.0,55.0,54.0,54.0,54.0,54.0,53.0,52.0,52.0,51.0,53.0,51.0,54.0
68,53.0,53.0,56.0,56.0,56.0,56.0,56.0,53.0,53.0,53.0,56.0,53.0,56.0
69,53.0,53.0,57.0,57.0,57.0,57.0,56.0,57.0,57.0,56.0,56.0,56.0,55.0
70,60.0,60.0,55.0,55.0,55.0,55.0,53.0,52.0,52.0,52.0,53.0,52.0,55.0
71,58.0,58.0,57.0,57.0,57.0,57.0,56.0,54.0,54.0,54.0,56.0,54.0,57.0
72,58.0,58.0,58.0,58.0,58.0,58.0,63.0,62.0,62.0,62.0,63.0,62.0,58.0
73,66.0,66.0,59.0,59.0,59.0,59.0,56.0,59.0,59.0,59.0,56.0,59.0,59.0
74,61.0,61.0,61.0,61.0,61.0,61.0,60.0,60.0,60.0,60.0,60.0,60.0,61.0
75,57.0,57.0,59.0,59.0,59.0,59.0,64.0,63.0,63.0,63.0,64.0,63.0,59.0
76,61.0,61.0,60.0,60.0,60.0,60.0,57.0,60.0,60.0,60.0,57.0,60.0,60.0
77,57.0,57.0,62.0,62.0,62.0,62.0,61.0,61.0,61.0,61.0,61.0,61.0,62.0
78,49.0,49.0,53.0,53.0,53.0,53.0,54.0,52.0,52.0,52.0,54.0,52.0,53.0
79,51.0,51.0,51.0,51.0,51.0,51.0,50.0,52.0,52.0,52.0,50.0,52.0,51.0
80,54.0,54.0,56.0,56.0,56.0,56.0,55.0,46.0,46.0,46.0,55.0,46.0,56.0
81,54.0,54.0,57.0,57.0,57.0,57.0,55.0,57.0,57.0,57.0,55.0,57.0,55.0
82,56.0,56.0,55.0,55.0,55.0,55.0,53.0,53.0,53.0,53.0,53.0,53.0,52.0
83,59.0,59.0,57.0,57.0,57.0,57.0,57.0,47.0,47.0,50.0,57.0,50.0,57.0
84,57.0,57.0,59.0,59.0,59.0,59.0,61.0,58.0,58.0,56.0,61.0,56.0,59.0
85,61.0,61.0,56.0,56.0,56.0,56.0,55.0,60.0,60.0,60.0,55.0,60.0,56.0
86,61.0,61.0,61.0,61.0,61.0,61.0,61.0,54.0,54.0,54.0,61.0,54.0,61.0
87,57.0,57.0,59.0,59.0,59.0,59.0,62.0,59.0,59.0,55.0,62.0,55.0,59.0
88,57.0,57.0,57.0,57.0,57.0,57.0,56.0,61.0,61.0,61.0,56.0,61.0,57.0
89,57.0,57.0,62.0,62.0,62.0,62.0,62.0,55.0,55.0,55.0,62.0,55.0,62.0
90,56.0,56.0,58.0,58.0,58.0,58.0,55.0,58.0,58.0,58.0,55.0,58.0,56.0
91,55.0,55.0,56.0,56.0,56.0,56.0,57.0,47.0,47.0,47.0,57.0,47.0,54.0
92,61.0,61.0,58.0,58.0,58.0,58.0,55.0,47.0,47.0,51.0,55.0,51.0,58.0
93,62.0,62.0,65.0,65.0,65.0,65.0,61.0,65.0,65.0,65.0,61.0,65.0,60.0
94,59.0,59.0,60.0,60.0,60.0,60.0,61.0,54.0,54.0,54.0,61.0,54.0,57.0
95,64.0,64.0,62.0,62.0,62.0,62.0,61.0,54.0,54.0,55.0,61.0,55.0,62.0
96,62.0,62.0,66.0,66.0,66.0,66.0,62.0,66.0,66.0,66.0,62.0,66.0,60.0
97,56.0,56.0,61.0,61.0,61.0,61.0,62.0,55.0,55.0,55.0,62.0,55.0,58.0
98,60.0,60.0,63.0,63.0,63.0,63.0,62.0,55.0,55.0,56.0,62.0,56.0,63.0
99,67.0,67.0,67.0,67.0,67.0,67.0,61.0,66.0,66.0,64.0,61.0,64.0,67.0
100,61.0,61.0,62.0,62.0,62.0,62.0,62.0,57.0,57.0,57.0,62.0,57.0,60.0
101,63.0,63.0,63.0,63.0,63.0,63.0,63.0,56.0,56.0,58.0,63.0,58.0,61.0
102,67.0,67.0,68.0,68.0,68.0,68.0,62.0,67.0,67.0,65.0,62.0,65.0,68.0
103,61.0,61.0,63.0,63.0,63.0,63.0,63.0,58.0,58.0,58.0,63.0,58.0,61.0
104,62.0,62.0,64.0,64.0,64.0,64.0,64.0,57.0,57.0,59.0,64.0,59.0,62.0
105,63.0,63.0,68.0,68.0,68.0,68.0,62.0,68.0,68.0,56.0,62.0,56.0,68.0
106,59.0,59.0,63.0,63.0,63.0,63.0,63.0,59.0,59.0,59.0,63.0,59.0,61.0
107,59.0,59.0,64.0,64.0,64.0,64.0,63.0,58.0,58.0,60.0,63.0,60.0,63.0
108,40.0,40.0,45.0,42.0,42.0,45.0,49.0,43.0,44.0,43.0,49.0,44.0,45.0
109,41.0,41.0,43.0,42.0,42.0,43.0,44.0,41.0,44.0,41.0,44.0,44.0,40.0
110,45.0,45.0,48.0,45.0,45.0,48.0,48.0,39.0,39.0,39.0,48.0,39.0,45.0
111,45.0,45.0,49.0,48.0,48.0,49.0,49.0,48.0,49.0,48.0,49.0,49.0,47.0
112,46.0,46.0,47.0,46.0,46.0,47.0,45.0,43.0,45.0,43.0,44.0,45.0,41.0
113,50.0,50.0,51.0,51.0,51.0,51.0,50.0,40.0,40.0,41.0,50.0,42.0,46.0
114,50.0,50.0,51.0,48.0,48.0,51.0,53.0,49.0,50.0,49.0,50.0,49.0,50.0
115,51.0,51.0,48.0,47.0,47.0,48.0,50.0,49.0,52.0,49.0,50.0,52.0,45.0
116,55.0,55.0,53.0,50.0,50.0,53.0,55.0,47.0,47.0,47.0,55.0,47.0,50.0
117,46.0,46.0,51.0,48.0,48.0,51.0,54.0,50.0,51.0,50.0,51.0,50.0,51.0
118,47.0,47.0,49.0,48.0,48.0,49.0,51.0,50.0,53.0,50.0,51.0,53.0,46.0
119,51.0,51.0,54.0,51.0,51.0,54.0,56.0,48.0,48.0,48.0,56.0,48.0,51.0
120,50.0,50.0,50.0,50.0,50.0,50.0,50.0,47.0,50.0,47.0,50.0,50.0,48.0
121,49.0,49.0,48.0,47.0,47.0,48.0,50.0,43.0,43.0,43.0,50.0,43.0,43.0
122,55.0,55.0,52.0,52.0,52.0,52.0,50.0,40.0,40.0,40.0,50.0,43.0,47.0
123,54.0,54.0,57.0,54.0,54.0,57.0,53.0,54.0,57.0,54.0,51.0,57.0,52.0
124,53.0,53.0,52.0,51.0,51.0,52.0,53.0,48.0,48.0,48.0,51.0,48.0,46.0
125,59.0,59.0,56.0,56.0,56.0,56.0,57.0,47.0,47.0,47.0,57.0,47.0,51.0
126,51.0,51.0,58.0,55.0,55.0,58.0,54.0,55.0,58.0,55.0,52.0,58.0,53.0
127,48.0,48.0,53.0,52.0,52.0,53.0,54.0,49.0,49.0,49.0,52.0,49.0,47.0
128,53.0,53.0,57.0,57.0,57.0,57.0,58.0,48.0,48.0,48.0,58.0,48.0,52.0
129,56.0,56.0,59.0,56.0,56.0,59.0,58.0,55.0,58.0,53.0,58.0,56.0,56.0
130,52.0,52.0,54.0,51.0,51.0,54.0,54.0,55.0,55.0,55.0,51.0,55.0,49.0
131,58.0,58.0,55.0,55.0,55.0,55.0,56.0,50.0,50.0,50.0,56.0,50.0,50.0
132,56.0,56.0,60.0,57.0,57.0,60.0,59.0,56.0,59.0,54.0,59.0,57.0,57.0
133,51.0,51.0,55.0,52.0,52.0,55.0,55.0,56.0,56.0,56.0,52.0,56.0,50.0
134,57.0,57.0,56.0,56.0,56.0,56.0,57.0,51.0,51.0,51.0,57.0,51.0,55.0
135,54.0,54.0,60.0,57.0,57.0,60.0,59.0,57.0,60.0,52.0,59.0,52.0,57.0
136,48.0,48.0,55.0,52.0,52.0,55.0,55.0,57.0,57.0,57.0,52.0,57.0,51.0
137,53.0,53.0,56.0,53.0,53.0,56.0,56.0,52.0,52.0,52.0,56.0,52.0,56.0
138,50.0,50.0,50.0,50.0,50.0,50.0,50.0,47.0,46.0,47.0,50.0,46.0,49.0
139,50.0,50.0,48.0,48.0,48.0,48.0,50.0,39.0,39.0,39.0,50.0,39.0,41.0
140,55.0,55.0,52.0,52.0,52.0,52.0,50.0,37.0,37.0,40.0,50.0,39.0,45.0
141,54.0,54.0,54.0,54.0,54.0,54.0,51.0,54.0,53.0,54.0,50.0,53.0,52.0
142,54.0,54.0,51.0,51.0,51.0,51.0,57.0,43.0,43.0,43.0,57.0,43.0,44.0
143,59.0,59.0,56.0,56.0,56.0,56.0,55.0,43.0,43.0,44.0,55.0,43.0,48.0
144,50.0,50.0,54.0,55.0,55.0,54.0,51.0,55.0,54.0,55.0,51.0,54.0,53.0
145,49.0,49.0,52.0,52.0,52.0,52.0,58.0,44.0,44.0,44.0,58.0,44.0,47.0
146,55.0,55.0,57.0,57.0,57.0,57.0,56.0,44.0,44.0,45.0,56.0,44.0,51.0
147,57.0,57.0,61.0,61.0,61.0,61.0,57.0,60.0,60.0,60.0,57.0,60.0,55.0
148,53.0,53.0,54.0,55.0,55.0,54.0,56.0,50.0,50.0,50.0,56.0,50.0,44.0
149,59.0,59.0,56.0,56.0,56.0,56.0,56.0,50.0,50.0,50.0,56.0,50.0,48.0
150,58.0,58.0,62.0,62.0,62.0,62.0,58.0,61.0,61.0,61.0,58.0,61.0,56.0
151,53.0,53.0,55.0,56.0,56.0,55.0,57.0,51.0,51.0,51.0,57.0,51.0,50.0
152,59.0,59.0,57.0,57.0,57.0,57.0,57.0,51.0,51.0,51.0,57.0,51.0,55.0
153,58.0,58.0,62.0,62.0,62.0,62.0,58.0,62.0,62.0,62.0,58.0,62.0,56.0
154,48.0,48.0,55.0,56.0,56.0,55.0,53.0,52.0,52.0,52.0,53.0,52.0,51.0
155,53.0,53.0,57.0,57.0,57.0,57.0,58.0,52.0,52.0,52.0,58.0,52.0,56.0
156,62.0,62.0,60.0,60.0,60.0,60.0,57.0,59.0,59.0,59.0,57.0,59.0,62.0
157,52.0,52.0,57.0,57.0,57.0,57.0,58.0,50.0,50.0,50.0,58.0,50.0,51.0
158,58.0,58.0,58.0,58.0,58.0,58.0,58.0,50.0,50.0,50.0,58.0,50.0,55.0
159,63.0,63.0,61.0,61.0,61.0,61.0,58.0,60.0,60.0,60.0,58.0,60.0,63.0
160,53.0,53.0,58.0,58.0,58.0,58.0,59.0,51.0,51.0,51.0,59.0,51.0,53.0
161,58.0,58.0,59.0,59.0,59.0,59.0,59.0,51.0,51.0,51.0,59.0,51.0,56.0
162,63.0,63.0,61.0,61.0,61.0,61.0,59.0,61.0,61.0,61.0,59.0,61.0,64.0
163,53.0,53.0,59.0,59.0,59.0,59.0,60.0,52.0,52.0,52.0,60.0,52.0,54.0
164,57.0,57.0,60.0,60.0,60.0,60.0,60.0,52.0,52.0,52.0,60.0,52.0,57.0
165,59.0,59.0,56.0,52.0,52.0,56.0,59.0,52.0,56.0,52.0,59.0,52.0,64.0
166,53.0,53.0,59.0,59.0,59.0,59.0,60.0,52.0,52.0,52.0,60.0,52.0,54.0
167,53.0,53.0,60.0,60.0,60.0,60.0,60.0,53.0,53.0,53.0,60.0,53.0,57.0
