Scenario,Roll 0,Roll 1,Roll 2,Roll 3,Roll 4,Roll 5,Roll 6,Roll 7,Roll 8,Roll 9,Roll 10,Roll 11,Roll 12,Roll 13,Roll 14
50,41.0,44.0,42.0,42.0,42.0,42.0,41.0,42.0,37.0,38.0,37.0,42.0,42.0,44.0,41.0
51,42.0,40.0,40.0,42.0,39.0,40.0,37.0,39.0,37.0,38.0,37.0,40.0,40.0,40.0,36.0
52,41.0,42.0,37.0,41.0,43.0,43.0,43.0,37.0,37.0,39.0,37.0,37.0,37.0,42.0,43.0
53,41.0,44.0,41.0,41.0,41.0,41.0,41.0,41.0,38.0,39.0,38.0,41.0,41.0,44.0,40.0
54,41.0,41.0,40.0,41.0,41.0,41.0,36.0,40.0,35.0,37.0,35.0,40.0,40.0,41.0,37.0
55,41.0,42.0,37.0,40.0,43.0,43.0,43.0,38.0,37.0,39.0,37.0,37.0,37.0,42.0,43.0
56,41.0,44.0,42.0,41.0,42.0,42.0,41.0,42.0,37.0,37.0,37.0,42.0,41.0,44.0,40.0
57,41.0,41.0,40.0,41.0,40.0,41.0,36.0,40.0,36.0,38.0,36.0,40.0,40.0,41.0,37.0
58,41.0,42.0,37.0,40.0,43.0,43.0,43.0,38.0,37.0,39.0,37.0,37.0,38.0,42.0,42.0
59,41.0,44.0,42.0,40.0,42.0,42.0,41.0,42.0,38.0,38.0,38.0,42.0,42.0,44.0,39.0
60,37.0,37.0,39.0,37.0,39.0,40.0,36.0,39.0,37.0,38.0,37.0,39.0,39.0,37.0,36.0
61,37.0,38.0,36.0,36.0,41.0,41.0,39.0,37.0,37.0,37.0,37.0,36.0,37.0,38.0,38.0
62,38.0,43.0,41.0,36.0,41.0,41.0,38.0,41.0,38.0,37.0,38.0,41.0,41.0,43.0,38.0
63,36.0,37.0,37.0,37.0,38.0,38.0,38.0,36.0,36.0,38.0,36.0,37.0,37.0,36.0,32.0
64,41.0,38.0,38.0,39.0,38.0,38.0,41.0,37.0,40.0,41.0,40.0,38.0,38.0,38.0,38.0
