Scenario,Roll 0,Roll 1,Roll 2,Roll 3,Roll 4,Roll 5
121,38.0,42.0,41.0,37.0,39.0,40.0
122,39.0,40.0,40.0,38.0,39.0,37.0
123,42.0,39.0,39.0,35.0,36.0,38.0
124,37.0,41.0,40.0,37.0,41.0,40.0
125,42.0,42.0,41.0,37.0,40.0,38.0
126,43.0,38.0,40.0,36.0,37.0,39.0
127,38.0,40.0,40.0,37.0,42.0,41.0
128,43.0,43.0,42.0,38.0,41.0,39.0
129,41.0,38.0,38.0,35.0,35.0,37.0
130,36.0,40.0,39.0,36.0,40.0,39.0
131,41.0,41.0,40.0,41.0,39.0,37.0
132,42.0,37.0,39.0,36.0,36.0,38.0
133,37.0,39.0,39.0,36.0,41.0,40.0
134,42.0,42.0,41.0,42.0,40.0,38.0
135,37.0,36.0,35.0,37.0,37.0,35.0
136,38.0,37.0,36.0,37.0,40.0,39.0
137,43.0,40.0,41.0,43.0,41.0,39.0
138,35.0,37.0,37.0,33.0,34.0,36.0
139,38.0,39.0,39.0,34.0,36.0,41.0
140,37.0,38.0,37.0,36.0,37.0,37.0
141,37.0,38.0,38.0,33.0,36.0,37.0
142,37.0,41.0,40.0,35.0,38.0,42.0
143,38.0,39.0,39.0,36.0,38.0,38.0
144,38.0,38.0,39.0,34.0,37.0,38.0
145,37.0,42.0,41.0,36.0,39.0,42.0
146,39.0,40.0,40.0,36.0,39.0,38.0
147,38.0,38.0,38.0,33.0,35.0,38.0
148,40.0,40.0,39.0,35.0,39.0,42.0
149,37.0,40.0,40.0,38.0,38.0,38.0
150,39.0,39.0,39.0,34.0,36.0,37.0
151,41.0,41.0,40.0,36.0,40.0,43.0
152,38.0,41.0,41.0,39.0,39.0,39.0
153,40.0,38.0,39.0,34.0,37.0,37.0
154,42.0,40.0,40.0,36.0,41.0,42.0
155,39.0,42.0,41.0,40.0,40.0,38.0
156,37.0,37.0,37.0,32.0,34.0,37.0
157,39.0,39.0,38.0,34.0,38.0,41.0
158,36.0,39.0,39.0,37.0,37.0,37.0
159,38.0,38.0,38.0,33.0,35.0,36.0
160,40.0,40.0,39.0,35.0,39.0,42.0
161,37.0,40.0,40.0,38.0,38.0,38.0
162,39.0,37.0,38.0,34.0,36.0,37.0
163,41.0,39.0,39.0,36.0,40.0,41.0
164,38.0,41.0,40.0,39.0,39.0,39.0
165,35.0,34.0,34.0,34.0,35.0,32.0
166,36.0,36.0,35.0,36.0,39.0,38.0
167,38.0,40.0,40.0,39.0,40.0,38.0
