Scenario,Roll 0,Roll 1,Roll 2,Roll 3,Roll 4,Roll 5,Roll 6,Roll 7,Roll 8,Roll 9,Roll 10,Roll 11,Roll 12,Roll 13
53,48.0,48.0,49.0,50.0,50.0,47.0,48.0,48.0,48.0,44.0,44.0,47.0,47.0,45.0
54,47.0,47.0,48.0,48.0,50.0,48.0,47.0,47.0,48.0,46.0,46.0,50.0,48.0,47.0
55,49.0,49.0,50.0,50.0,50.0,49.0,46.0,46.0,49.0,47.0,47.0,51.0,49.0,49.0
56,48.0,48.0,49.0,49.0,49.0,47.0,48.0,48.0,50.0,47.0,47.0,48.0,48.0,49.0
57,47.0,47.0,47.0,48.0,50.0,48.0,48.0,48.0,49.0,47.0,47.0,48.0,49.0,47.0
58,48.0,48.0,48.0,50.0,50.0,50.0,47.0,47.0,49.0,48.0,48.0,50.0,50.0,49.0
59,49.0,49.0,50.0,50.0,50.0,48.0,48.0,48.0,51.0,48.0,48.0,49.0,49.0,49.0
60,45.0,46.0,46.0,45.0,50.0,47.0,45.0,45.0,46.0,45.0,46.0,47.0,47.0,40.0
61,47.0,48.0,47.0,45.0,45.0,46.0,45.0,45.0,47.0,47.0,48.0,46.0,48.0,45.0
62,48.0,48.0,49.0,47.0,49.0,47.0,45.0,45.0,51.0,47.0,48.0,49.0,48.0,45.0
63,45.0,45.0,45.0,49.0,48.0,45.0,47.0,47.0,47.0,44.0,44.0,48.0,44.0,46.0
64,44.0,44.0,43.0,46.0,45.0,47.0,47.0,47.0,45.0,45.0,45.0,46.0,48.0,47.0
65,45.0,45.0,44.0,46.0,45.0,47.0,47.0,47.0,45.0,45.0,45.0,47.0,46.0,47.0
66,45.0,45.0,45.0,49.0,49.0,45.0,48.0,48.0,47.0,43.0,43.0,48.0,45.0,45.0
67,44.0,45.0,43.0,46.0,45.0,47.0,48.0,48.0,44.0,44.0,45.0,46.0,48.0,45.0
68,45.0,46.0,44.0,45.0,45.0,47.0,48.0,48.0,46.0,45.0,46.0,47.0,46.0,45.0
69,46.0,46.0,46.0,49.0,49.0,45.0,47.0,47.0,46.0,43.0,43.0,45.0,45.0,46.0
70,45.0,45.0,44.0,46.0,48.0,45.0,44.0,44.0,45.0,44.0,44.0,45.0,45.0,45.0
71,46.0,46.0,46.0,46.0,48.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,44.0
72,47.0,47.0,47.0,49.0,49.0,45.0,46.0,46.0,48.0,46.0,46.0,48.0,46.0,49.0
73,47.0,47.0,48.0,50.0,48.0,45.0,43.0,43.0,49.0,45.0,45.0,47.0,45.0,46.0
74,47.0,47.0,47.0,50.0,49.0,46.0,45.0,45.0,47.0,45.0,45.0,47.0,45.0,46.0
75,47.0,47.0,45.0,50.0,50.0,46.0,45.0,45.0,47.0,47.0,47.0,47.0,47.0,42.0
76,47.0,47.0,46.0,49.0,49.0,45.0,44.0,44.0,48.0,44.0,45.0,47.0,45.0,45.0
77,47.0,47.0,46.0,50.0,50.0,46.0,46.0,46.0,47.0,46.0,46.0,48.0,46.0,45.0
78,45.0,45.0,45.0,48.0,47.0,42.0,47.0,47.0,44.0,42.0,42.0,44.0,42.0,44.0
79,43.0,43.0,42.0,45.0,45.0,45.0,47.0,47.0,43.0,42.0,43.0,46.0,45.0,43.0
80,43.0,44.0,44.0,44.0,45.0,46.0,47.0,47.0,44.0,42.0,43.0,45.0,45.0,44.0
81,45.0,45.0,44.0,48.0,48.0,44.0,48.0,48.0,46.0,43.0,43.0,45.0,43.0,46.0
82,44.0,44.0,45.0,45.0,48.0,44.0,45.0,45.0,44.0,44.0,45.0,45.0,45.0,43.0
83,45.0,45.0,45.0,45.0,48.0,46.0,47.0,47.0,44.0,44.0,45.0,46.0,45.0,45.0
84,46.0,46.0,46.0,50.0,48.0,46.0,47.0,47.0,45.0,46.0,46.0,48.0,44.0,50.0
85,48.0,48.0,49.0,50.0,48.0,44.0,44.0,44.0,48.0,43.0,44.0,47.0,46.0,45.0
86,47.0,47.0,47.0,49.0,48.0,46.0,46.0,46.0,46.0,43.0,44.0,47.0,46.0,45.0
87,47.0,47.0,45.0,49.0,49.0,47.0,44.0,44.0,46.0,47.0,47.0,47.0,45.0,43.0
88,46.0,47.0,47.0,48.0,48.0,44.0,45.0,45.0,46.0,43.0,44.0,45.0,45.0,44.0
89,46.0,47.0,47.0,49.0,49.0,46.0,47.0,47.0,46.0,44.0,45.0,48.0,46.0,44.0
90,43.0,43.0,43.0,44.0,49.0,44.0,46.0,46.0,46.0,43.0,43.0,45.0,45.0,44.0
91,43.0,44.0,44.0,45.0,47.0,47.0,46.0,46.0,45.0,44.0,44.0,47.0,45.0,43.0
92,45.0,45.0,46.0,44.0,48.0,45.0,47.0,47.0,47.0,45.0,45.0,45.0,46.0,43.0
93,47.0,47.0,47.0,48.0,49.0,47.0,46.0,46.0,46.0,47.0,47.0,47.0,45.0,48.0
94,47.0,47.0,47.0,50.0,50.0,49.0,47.0,47.0,46.0,45.0,45.0,49.0,46.0,47.0
95,47.0,47.0,47.0,49.0,49.0,46.0,47.0,47.0,48.0,45.0,45.0,46.0,46.0,47.0
96,46.0,46.0,45.0,45.0,49.0,46.0,46.0,46.0,47.0,46.0,46.0,46.0,45.0,45.0
97,46.0,46.0,46.0,46.0,46.0,47.0,48.0,48.0,47.0,44.0,45.0,47.0,46.0,46.0
98,48.0,48.0,48.0,50.0,50.0,46.0,48.0,48.0,47.0,45.0,45.0,46.0,47.0,48.0
99,47.0,47.0,47.0,48.0,49.0,47.0,46.0,46.0,49.0,47.0,47.0,49.0,47.0,48.0
100,48.0,48.0,49.0,50.0,50.0,48.0,46.0,46.0,48.0,46.0,46.0,50.0,48.0,49.0
101,49.0,49.0,50.0,49.0,49.0,46.0,47.0,47.0,51.0,47.0,47.0,47.0,47.0,49.0
102,48.0,48.0,46.0,49.0,49.0,47.0,47.0,47.0,49.0,48.0,48.0,47.0,48.0,49.0
103,47.0,47.0,47.0,50.0,50.0,49.0,47.0,47.0,48.0,47.0,47.0,49.0,49.0,50.0
104,49.0,49.0,50.0,50.0,50.0,47.0,47.0,47.0,51.0,48.0,48.0,48.0,48.0,50.0
105,46.0,46.0,45.0,45.0,49.0,46.0,44.0,44.0,46.0,46.0,46.0,46.0,46.0,42.0
106,47.0,47.0,46.0,45.0,45.0,47.0,44.0,44.0,46.0,47.0,47.0,47.0,47.0,44.0
107,48.0,48.0,48.0,46.0,48.0,47.0,45.0,45.0,50.0,47.0,47.0,48.0,48.0,44.0
108,44.0,44.0,44.0,44.0,43.0,41.0,45.0,45.0,43.0,40.0,40.0,41.0,41.0,40.0
109,40.0,41.0,41.0,41.0,43.0,44.0,45.0,45.0,40.0,41.0,42.0,45.0,44.0,39.0
110,41.0,42.0,42.0,41.0,43.0,43.0,46.0,46.0,42.0,40.0,41.0,43.0,43.0,40.0
111,43.0,43.0,44.0,44.0,44.0,44.0,49.0,49.0,43.0,40.0,41.0,44.0,42.0,40.0
112,42.0,43.0,43.0,44.0,45.0,45.0,46.0,46.0,42.0,42.0,42.0,45.0,46.0,41.0
113,42.0,43.0,43.0,44.0,46.0,43.0,46.0,46.0,43.0,41.0,41.0,43.0,44.0,44.0
114,45.0,45.0,45.0,48.0,44.0,45.0,48.0,48.0,44.0,40.0,41.0,45.0,43.0,44.0
115,46.0,46.0,46.0,49.0,47.0,44.0,45.0,45.0,45.0,42.0,42.0,46.0,45.0,43.0
116,46.0,46.0,46.0,48.0,47.0,43.0,45.0,45.0,45.0,41.0,41.0,44.0,44.0,44.0
117,45.0,45.0,44.0,45.0,45.0,46.0,44.0,44.0,45.0,41.0,42.0,46.0,44.0,37.0
118,45.0,46.0,46.0,44.0,44.0,44.0,44.0,44.0,45.0,42.0,42.0,45.0,45.0,40.0
119,45.0,46.0,46.0,45.0,45.0,44.0,46.0,46.0,45.0,41.0,42.0,45.0,44.0,40.0
120,43.0,43.0,44.0,43.0,46.0,44.0,47.0,47.0,43.0,41.0,42.0,44.0,45.0,40.0
121,43.0,44.0,43.0,44.0,47.0,46.0,45.0,45.0,42.0,43.0,44.0,46.0,46.0,42.0
122,46.0,46.0,47.0,44.0,48.0,43.0,46.0,46.0,46.0,43.0,44.0,44.0,45.0,41.0
123,46.0,46.0,46.0,47.0,46.0,46.0,47.0,47.0,46.0,43.0,43.0,47.0,45.0,44.0
124,46.0,46.0,47.0,49.0,49.0,46.0,48.0,48.0,46.0,43.0,44.0,46.0,45.0,45.0
125,47.0,47.0,48.0,48.0,48.0,46.0,48.0,48.0,47.0,43.0,44.0,46.0,45.0,46.0
126,44.0,44.0,45.0,44.0,45.0,45.0,47.0,47.0,45.0,41.0,42.0,45.0,44.0,41.0
127,46.0,46.0,47.0,45.0,45.0,46.0,49.0,49.0,46.0,43.0,44.0,46.0,46.0,42.0
128,47.0,47.0,47.0,49.0,49.0,46.0,49.0,49.0,46.0,43.0,44.0,46.0,46.0,44.0
129,46.0,46.0,46.0,47.0,46.0,46.0,47.0,47.0,45.0,43.0,43.0,46.0,46.0,44.0
130,46.0,46.0,46.0,49.0,49.0,45.0,47.0,47.0,45.0,45.0,46.0,47.0,45.0,48.0
131,50.0,50.0,51.0,48.0,48.0,45.0,48.0,48.0,50.0,43.0,43.0,47.0,47.0,46.0
