Scenario,Roll 0,Roll 1,Roll 2,Roll 3,Roll 4,Roll 5,Roll 6,Roll 7
92,43.0,48.0,50.0,48.0,48.0,46.0,48.0,48.0
93,48.0,46.0,47.0,46.0,48.0,44.0,48.0,48.0
94,47.0,46.0,49.0,46.0,49.0,46.0,49.0,48.0
95,46.0,48.0,49.0,48.0,49.0,46.0,50.0,50.0
96,48.0,46.0,48.0,46.0,49.0,45.0,49.0,49.0
97,48.0,47.0,50.0,47.0,50.0,47.0,50.0,49.0
98,47.0,48.0,50.0,48.0,50.0,45.0,51.0,51.0
99,47.0,45.0,46.0,45.0,47.0,43.0,47.0,47.0
100,48.0,45.0,48.0,45.0,48.0,45.0,48.0,47.0
101,46.0,47.0,48.0,47.0,48.0,45.0,49.0,49.0
102,47.0,46.0,47.0,46.0,48.0,44.0,48.0,48.0
103,49.0,46.0,49.0,46.0,49.0,46.0,49.0,48.0
104,47.0,48.0,49.0,48.0,49.0,46.0,50.0,50.0
105,48.0,45.0,44.0,45.0,44.0,45.0,44.0,44.0
106,48.0,47.0,47.0,47.0,41.0,47.0,42.0,44.0
107,46.0,47.0,50.0,47.0,46.0,47.0,44.0,43.0
108,48.0,44.0,42.0,44.0,45.0,45.0,45.0,45.0
109,49.0,49.0,46.0,49.0,47.0,49.0,47.0,47.0
110,48.0,49.0,48.0,49.0,48.0,49.0,48.0,48.0
111,49.0,44.0,41.0,44.0,48.0,44.0,48.0,48.0
112,49.0,49.0,48.0,49.0,49.0,49.0,49.0,49.0
113,49.0,49.0,46.0,49.0,48.0,47.0,48.0,48.0
114,48.0,45.0,40.0,45.0,47.0,45.0,47.0,47.0
115,50.0,48.0,47.0,48.0,48.0,48.0,48.0,48.0
116,50.0,49.0,45.0,49.0,47.0,46.0,47.0,47.0
117,49.0,46.0,41.0,46.0,44.0,46.0,44.0,45.0
118,51.0,49.0,45.0,49.0,47.0,49.0,47.0,47.0
119,51.0,47.0,42.0,47.0,48.0,47.0,48.0,48.0
120,48.0,44.0,47.0,44.0,49.0,45.0,49.0,48.0
121,49.0,46.0,45.0,46.0,49.0,46.0,49.0,49.0
122,43.0,49.0,49.0,49.0,49.0,47.0,49.0,49.0
123,49.0,45.0,46.0,45.0,48.0,45.0,49.0,49.0
124,48.0,47.0,47.0,47.0,50.0,47.0,50.0,49.0
125,47.0,49.0,48.0,49.0,50.0,47.0,51.0,51.0
126,49.0,45.0,45.0,45.0,49.0,45.0,50.0,50.0
127,49.0,48.0,48.0,48.0,51.0,48.0,51.0,50.0
128,48.0,49.0,49.0,49.0,51.0,45.0,52.0,52.0
129,48.0,44.0,45.0,44.0,47.0,44.0,48.0,48.0
130,47.0,46.0,46.0,46.0,49.0,46.0,49.0,48.0
131,46.0,48.0,47.0,48.0,49.0,46.0,50.0,50.0
132,48.0,45.0,44.0,45.0,48.0,45.0,49.0,49.0
133,48.0,47.0,47.0,47.0,50.0,47.0,50.0,49.0
134,47.0,49.0,48.0,49.0,50.0,47.0,51.0,51.0
135,49.0,46.0,41.0,46.0,45.0,46.0,45.0,45.0
136,49.0,48.0,44.0,48.0,42.0,48.0,42.0,45.0
137,44.0,48.0,47.0,48.0,43.0,48.0,44.0,44.0
138,43.0,44.0,43.0,44.0,48.0,44.0,48.0,48.0
139,43.0,43.0,49.0,42.0,49.0,42.0,49.0,49.0
140,43.0,42.0,48.0,42.0,44.0,42.0,44.0,43.0
141,45.0,44.0,44.0,44.0,49.0,43.0,49.0,49.0
142,48.0,42.0,48.0,42.0,48.0,41.0,48.0,48.0
143,46.0,42.0,50.0,42.0,47.0,41.0,47.0,47.0
144,46.0,45.0,45.0,45.0,49.0,44.0,49.0,48.0
145,49.0,43.0,49.0,43.0,49.0,42.0,49.0,49.0
146,46.0,43.0,51.0,43.0,47.0,42.0,47.0,46.0
147,44.0,44.0,44.0,44.0,48.0,44.0,48.0,48.0
148,49.0,44.0,47.0,44.0,47.0,44.0,47.0,47.0
149,46.0,43.0,49.0,43.0,46.0,43.0,46.0,46.0
150,45.0,45.0,45.0,45.0,48.0,45.0,48.0,47.0
151,48.0,45.0,48.0,45.0,48.0,45.0,48.0,48.0
152,47.0,44.0,50.0,44.0,46.0,44.0,46.0,45.0
153,45.0,46.0,46.0,46.0,49.0,46.0,49.0,48.0
154,44.0,46.0,48.0,45.0,49.0,45.0,49.0,49.0
155,47.0,45.0,51.0,45.0,47.0,45.0,46.0,46.0
156,43.0,43.0,43.0,43.0,47.0,43.0,47.0,47.0
157,48.0,43.0,46.0,43.0,46.0,43.0,46.0,46.0
158,45.0,42.0,48.0,42.0,45.0,42.0,45.0,45.0
159,44.0,44.0,44.0,44.0,47.0,44.0,47.0,46.0
160,47.0,44.0,47.0,44.0,47.0,44.0,47.0,47.0
161,46.0,43.0,49.0,43.0,45.0,43.0,45.0,45.0
162,44.0,45.0,45.0,45.0,48.0,45.0,48.0,47.0
163,48.0,45.0,47.0,45.0,48.0,44.0,48.0,48.0
164,46.0,44.0,50.0,44.0,46.0,44.0,45.0,45.0
165,42.0,46.0,42.0,46.0,40.0,46.0,40.0,40.0
166,43.0,46.0,42.0,46.0,40.0,45.0,40.0,40.0
167,43.0,42.0,48.0,41.0,42.0,41.0,43.0,43.0
