Scenario,Roll 0,Roll 1,Roll 2,Roll 3,Roll 4,Roll 5,Roll 6,Roll 7,Roll 8,Roll 9,Roll 10,Roll 11,Roll 12,Roll 13,Roll 14
50,52.0,50.0,52.0,51.0,51.0,53.0,53.0,53.0,53.0,51.0,51.0,54.0,50.0,56.0,52.0
51,51.0,52.0,47.0,51.0,51.0,48.0,48.0,48.0,48.0,46.0,46.0,48.0,50.0,51.0,46.0
52,51.0,50.0,52.0,51.0,51.0,52.0,52.0,52.0,52.0,51.0,51.0,54.0,50.0,52.0,51.0
53,52.0,50.0,52.0,50.0,51.0,52.0,52.0,52.0,52.0,51.0,51.0,53.0,50.0,57.0,51.0
54,50.0,50.0,46.0,49.0,49.0,47.0,47.0,47.0,47.0,44.0,44.0,47.0,48.0,50.0,46.0
55,50.0,49.0,52.0,50.0,50.0,52.0,52.0,52.0,52.0,51.0,51.0,53.0,50.0,51.0,51.0
56,50.0,49.0,51.0,51.0,51.0,52.0,52.0,52.0,52.0,50.0,50.0,53.0,50.0,56.0,52.0
57,50.0,51.0,46.0,50.0,50.0,47.0,47.0,47.0,47.0,45.0,45.0,47.0,49.0,50.0,46.0
58,50.0,49.0,52.0,50.0,50.0,52.0,52.0,52.0,52.0,51.0,51.0,53.0,50.0,52.0,51.0
59,51.0,50.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,50.0,50.0,52.0,50.0,56.0,52.0
60,50.0,51.0,47.0,51.0,50.0,48.0,48.0,48.0,48.0,46.0,46.0,47.0,49.0,50.0,46.0
61,50.0,49.0,52.0,51.0,51.0,53.0,53.0,53.0,53.0,51.0,51.0,51.0,50.0,51.0,51.0
62,51.0,50.0,49.0,51.0,51.0,50.0,50.0,50.0,50.0,51.0,51.0,52.0,50.0,56.0,51.0
63,50.0,50.0,50.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,50.0,49.0,50.0,49.0
64,56.0,56.0,56.0,56.0,54.0,51.0,51.0,51.0,51.0,55.0,55.0,56.0,55.0,55.0,55.0
65,56.0,55.0,51.0,55.0,54.0,52.0,52.0,52.0,52.0,55.0,55.0,55.0,55.0,51.0,54.0
66,51.0,51.0,51.0,50.0,49.0,50.0,50.0,50.0,50.0,50.0,50.0,51.0,49.0,50.0,50.0
67,55.0,55.0,57.0,56.0,55.0,52.0,52.0,52.0,52.0,51.0,51.0,57.0,55.0,56.0,55.0
68,56.0,56.0,52.0,55.0,55.0,52.0,52.0,52.0,52.0,56.0,56.0,56.0,55.0,52.0,52.0
69,51.0,51.0,50.0,49.0,49.0,47.0,47.0,47.0,47.0,49.0,49.0,50.0,48.0,50.0,49.0
70,54.0,55.0,51.0,54.0,50.0,52.0,52.0,52.0,52.0,51.0,51.0,53.0,53.0,57.0,51.0
71,57.0,57.0,51.0,54.0,51.0,51.0,51.0,51.0,51.0,50.0,50.0,52.0,53.0,52.0,49.0
72,51.0,51.0,49.0,48.0,48.0,46.0,46.0,46.0,46.0,48.0,48.0,51.0,47.0,50.0,48.0
73,53.0,54.0,52.0,54.0,50.0,51.0,51.0,51.0,51.0,50.0,50.0,53.0,53.0,56.0,50.0
74,57.0,57.0,50.0,54.0,54.0,51.0,51.0,51.0,51.0,50.0,50.0,52.0,53.0,56.0,50.0
75,51.0,51.0,50.0,49.0,49.0,46.0,46.0,46.0,46.0,49.0,49.0,51.0,48.0,50.0,49.0
76,53.0,53.0,53.0,55.0,51.0,52.0,52.0,52.0,52.0,51.0,51.0,50.0,54.0,56.0,51.0
77,57.0,57.0,51.0,55.0,55.0,52.0,52.0,52.0,52.0,50.0,50.0,52.0,54.0,56.0,51.0
78,51.0,50.0,47.0,49.0,50.0,47.0,47.0,47.0,47.0,50.0,50.0,51.0,49.0,50.0,50.0
79,56.0,55.0,52.0,55.0,51.0,53.0,53.0,53.0,53.0,51.0,51.0,52.0,51.0,55.0,51.0
80,56.0,56.0,53.0,55.0,52.0,52.0,52.0,52.0,52.0,56.0,56.0,53.0,51.0,52.0,52.0
81,52.0,51.0,47.0,49.0,50.0,47.0,47.0,47.0,47.0,50.0,50.0,51.0,49.0,50.0,50.0
82,55.0,56.0,51.0,55.0,51.0,52.0,52.0,52.0,52.0,51.0,51.0,53.0,51.0,56.0,50.0
83,57.0,57.0,52.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,52.0,50.0,52.0,50.0
84,51.0,50.0,46.0,48.0,49.0,46.0,46.0,46.0,46.0,49.0,49.0,52.0,48.0,50.0,49.0
85,54.0,55.0,51.0,54.0,50.0,52.0,52.0,52.0,52.0,50.0,50.0,53.0,50.0,55.0,50.0
86,56.0,56.0,51.0,54.0,55.0,51.0,51.0,51.0,51.0,51.0,51.0,53.0,54.0,56.0,50.0
87,51.0,50.0,46.0,49.0,50.0,47.0,47.0,47.0,47.0,50.0,50.0,52.0,49.0,50.0,50.0
88,54.0,54.0,52.0,55.0,51.0,53.0,53.0,53.0,53.0,51.0,51.0,51.0,51.0,55.0,51.0
89,56.0,56.0,52.0,55.0,56.0,52.0,52.0,52.0,52.0,51.0,51.0,53.0,55.0,56.0,51.0
90,51.0,51.0,46.0,49.0,50.0,47.0,47.0,47.0,47.0,45.0,45.0,47.0,49.0,50.0,45.0
91,56.0,56.0,52.0,50.0,50.0,52.0,52.0,52.0,52.0,50.0,50.0,52.0,49.0,51.0,50.0
92,56.0,56.0,51.0,50.0,50.0,52.0,52.0,52.0,52.0,51.0,51.0,53.0,49.0,52.0,51.0
93,51.0,50.0,46.0,49.0,49.0,47.0,47.0,47.0,47.0,44.0,44.0,47.0,48.0,50.0,45.0
94,55.0,55.0,52.0,50.0,50.0,52.0,52.0,52.0,52.0,51.0,51.0,53.0,49.0,55.0,51.0
95,55.0,55.0,51.0,50.0,50.0,52.0,52.0,52.0,52.0,50.0,50.0,53.0,49.0,55.0,51.0
96,51.0,51.0,46.0,50.0,50.0,47.0,47.0,47.0,47.0,45.0,45.0,48.0,49.0,50.0,45.0
97,55.0,55.0,51.0,50.0,50.0,52.0,52.0,52.0,52.0,50.0,50.0,53.0,49.0,56.0,50.0
98,55.0,55.0,52.0,50.0,50.0,51.0,51.0,51.0,51.0,51.0,51.0,52.0,49.0,56.0,51.0
99,50.0,49.0,45.0,48.0,48.0,46.0,46.0,46.0,46.0,43.0,43.0,46.0,47.0,49.0,45.0
100,54.0,54.0,51.0,49.0,49.0,51.0,51.0,51.0,51.0,50.0,50.0,52.0,49.0,55.0,50.0
101,54.0,54.0,50.0,50.0,50.0,51.0,51.0,51.0,51.0,49.0,49.0,52.0,49.0,55.0,51.0
102,50.0,50.0,45.0,49.0,49.0,46.0,46.0,46.0,46.0,44.0,44.0,47.0,48.0,49.0,45.0
103,54.0,54.0,51.0,49.0,49.0,51.0,51.0,51.0,51.0,50.0,50.0,52.0,49.0,55.0,50.0
104,54.0,54.0,51.0,50.0,50.0,51.0,51.0,51.0,51.0,50.0,50.0,51.0,49.0,55.0,51.0
105,50.0,50.0,46.0,50.0,49.0,47.0,47.0,47.0,47.0,45.0,45.0,47.0,48.0,50.0,45.0
106,51.0,51.0,51.0,50.0,50.0,52.0,52.0,52.0,52.0,50.0,50.0,50.0,49.0,55.0,50.0
107,54.0,54.0,49.0,50.0,50.0,50.0,50.0,50.0,50.0,51.0,51.0,51.0,49.0,55.0,51.0
108,51.0,51.0,47.0,44.0,45.0,47.0,47.0,47.0,47.0,45.0,45.0,49.0,45.0,45.0,45.0
109,52.0,51.0,53.0,50.0,51.0,54.0,54.0,54.0,54.0,51.0,51.0,49.0,51.0,50.0,51.0
110,53.0,56.0,49.0,50.0,51.0,49.0,49.0,49.0,49.0,51.0,51.0,54.0,51.0,47.0,51.0
111,51.0,51.0,48.0,44.0,45.0,48.0,48.0,48.0,48.0,45.0,45.0,49.0,45.0,45.0,45.0
112,53.0,56.0,52.0,50.0,50.0,52.0,52.0,52.0,52.0,51.0,51.0,54.0,49.0,51.0,51.0
113,56.0,57.0,53.0,49.0,50.0,50.0,50.0,50.0,50.0,51.0,51.0,53.0,50.0,47.0,50.0
114,51.0,50.0,47.0,43.0,44.0,47.0,47.0,47.0,47.0,44.0,44.0,48.0,44.0,45.0,44.0
115,52.0,55.0,52.0,49.0,50.0,53.0,53.0,53.0,53.0,51.0,51.0,54.0,50.0,50.0,50.0
116,57.0,56.0,52.0,49.0,50.0,51.0,51.0,51.0,51.0,51.0,51.0,53.0,50.0,51.0,50.0
117,51.0,50.0,47.0,44.0,45.0,48.0,48.0,48.0,48.0,45.0,45.0,49.0,45.0,45.0,45.0
118,52.0,51.0,53.0,50.0,51.0,54.0,54.0,54.0,54.0,51.0,51.0,49.0,51.0,50.0,51.0
119,57.0,56.0,52.0,50.0,51.0,52.0,52.0,52.0,52.0,51.0,51.0,53.0,51.0,51.0,51.0
120,52.0,51.0,47.0,44.0,45.0,48.0,48.0,48.0,48.0,45.0,45.0,48.0,44.0,45.0,45.0
121,52.0,57.0,53.0,50.0,51.0,53.0,53.0,53.0,53.0,51.0,51.0,53.0,50.0,47.0,51.0
122,57.0,52.0,52.0,50.0,51.0,52.0,52.0,52.0,52.0,51.0,51.0,53.0,50.0,50.0,51.0
123,52.0,51.0,47.0,44.0,45.0,47.0,47.0,47.0,47.0,45.0,45.0,48.0,44.0,45.0,45.0
124,52.0,56.0,53.0,50.0,51.0,53.0,53.0,53.0,53.0,51.0,51.0,53.0,50.0,50.0,51.0
125,56.0,55.0,52.0,50.0,51.0,52.0,52.0,52.0,52.0,50.0,50.0,53.0,50.0,50.0,51.0
126,52.0,51.0,47.0,45.0,46.0,48.0,48.0,48.0,48.0,46.0,46.0,49.0,45.0,45.0,46.0
127,52.0,56.0,52.0,50.0,51.0,53.0,53.0,53.0,53.0,51.0,51.0,53.0,50.0,51.0,51.0
128,56.0,55.0,53.0,50.0,51.0,52.0,52.0,52.0,52.0,50.0,50.0,53.0,50.0,51.0,51.0
129,51.0,50.0,46.0,44.0,45.0,46.0,46.0,46.0,46.0,44.0,44.0,47.0,44.0,44.0,45.0
130,51.0,55.0,52.0,50.0,50.0,52.0,52.0,52.0,52.0,50.0,50.0,52.0,49.0,50.0,50.0
131,55.0,54.0,51.0,50.0,51.0,52.0,52.0,52.0,52.0,49.0,49.0,52.0,50.0,50.0,51.0
132,51.0,50.0,46.0,44.0,45.0,47.0,47.0,47.0,47.0,45.0,45.0,48.0,44.0,45.0,45.0
133,52.0,55.0,52.0,50.0,50.0,52.0,52.0,52.0,52.0,51.0,51.0,53.0,49.0,50.0,50.0
134,55.0,55.0,52.0,50.0,51.0,52.0,52.0,52.0,52.0,49.0,49.0,52.0,50.0,50.0,51.0
135,51.0,51.0,46.0,45.0,46.0,48.0,48.0,48.0,48.0,46.0,46.0,48.0,45.0,45.0,46.0
136,52.0,51.0,52.0,50.0,50.0,52.0,52.0,52.0,52.0,51.0,51.0,48.0,49.0,50.0,50.0
137,55.0,55.0,50.0,50.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,52.0,50.0,50.0,51.0
138,52.0,51.0,46.0,45.0,46.0,48.0,48.0,48.0,48.0,46.0,46.0,48.0,45.0,45.0,45.0
139,51.0,51.0,48.0,50.0,51.0,50.0,50.0,50.0,50.0,51.0,51.0,53.0,50.0,50.0,51.0
140,52.0,51.0,52.0,50.0,51.0,53.0,53.0,53.0,53.0,51.0,51.0,54.0,50.0,47.0,51.0
