Scenario,Roll 0,Roll 1,Roll 2,Roll 3,Roll 4
143,47.0,47.0,45.0,44.0,46.0
144,45.0,44.0,43.0,47.0,44.0
145,47.0,46.0,45.0,45.0,46.0
146,47.0,46.0,45.0,45.0,46.0
147,45.0,44.0,43.0,45.0,45.0
148,47.0,46.0,44.0,44.0,47.0
149,47.0,46.0,45.0,44.0,47.0
150,46.0,45.0,44.0,46.0,45.0
151,47.0,47.0,45.0,45.0,47.0
152,48.0,47.0,46.0,45.0,47.0
153,45.0,44.0,43.0,47.0,44.0
154,47.0,46.0,44.0,46.0,46.0
155,47.0,46.0,45.0,46.0,46.0
156,44.0,43.0,42.0,44.0,44.0
157,46.0,45.0,43.0,43.0,46.0
158,46.0,45.0,44.0,43.0,46.0
159,45.0,44.0,43.0,45.0,45.0
160,47.0,46.0,44.0,44.0,47.0
161,47.0,46.0,45.0,44.0,47.0
162,45.0,45.0,43.0,46.0,45.0
163,47.0,47.0,44.0,45.0,47.0
164,47.0,47.0,45.0,45.0,47.0
165,44.0,44.0,41.0,47.0,44.0
166,44.0,46.0,41.0,46.0,46.0
167,46.0,46.0,43.0,46.0,46.0
