Scenario,Roll 0,Roll 1,Roll 2,Roll 3,Roll 4,Roll 5,Roll 6,Roll 7,Roll 8,Roll 9,Roll 10,Roll 11,Roll 12,Roll 13,Roll 14,Roll 15
46,55.0,55.0,55.0,49.0,49.0,49.0,55.0,50.0,50.0,55.0,47.0,49.0,55.0,49.0,49.0,50.0
47,50.0,49.0,50.0,49.0,50.0,49.0,49.0,51.0,51.0,49.0,48.0,50.0,49.0,49.0,49.0,51.0
48,56.0,50.0,52.0,50.0,50.0,50.0,54.0,56.0,56.0,54.0,54.0,50.0,56.0,50.0,50.0,56.0
49,56.0,56.0,56.0,53.0,50.0,50.0,56.0,51.0,51.0,56.0,48.0,50.0,56.0,50.0,50.0,51.0
50,54.0,54.0,54.0,54.0,54.0,54.0,54.0,55.0,55.0,54.0,51.0,54.0,54.0,54.0,54.0,55.0
51,57.0,51.0,53.0,51.0,51.0,51.0,55.0,57.0,57.0,55.0,55.0,51.0,57.0,51.0,51.0,57.0
52,55.0,55.0,55.0,49.0,49.0,49.0,55.0,51.0,51.0,55.0,48.0,49.0,55.0,49.0,49.0,51.0
53,55.0,51.0,55.0,55.0,55.0,55.0,55.0,56.0,56.0,55.0,52.0,55.0,55.0,55.0,55.0,56.0
54,57.0,49.0,53.0,51.0,51.0,51.0,55.0,57.0,57.0,55.0,55.0,51.0,57.0,51.0,51.0,57.0
55,55.0,55.0,55.0,49.0,49.0,49.0,55.0,52.0,52.0,55.0,50.0,49.0,55.0,49.0,49.0,52.0
56,55.0,55.0,55.0,55.0,55.0,55.0,55.0,56.0,56.0,55.0,52.0,55.0,55.0,55.0,55.0,56.0
57,58.0,50.0,52.0,50.0,50.0,50.0,56.0,58.0,58.0,56.0,56.0,50.0,58.0,50.0,50.0,58.0
58,56.0,54.0,56.0,49.0,48.0,48.0,56.0,52.0,52.0,56.0,51.0,48.0,56.0,48.0,48.0,52.0
59,56.0,54.0,56.0,54.0,54.0,54.0,56.0,57.0,57.0,56.0,53.0,54.0,56.0,54.0,54.0,57.0
60,57.0,49.0,48.0,49.0,51.0,51.0,55.0,57.0,57.0,55.0,55.0,50.0,57.0,50.0,49.0,57.0
61,55.0,55.0,55.0,49.0,47.0,47.0,55.0,52.0,52.0,55.0,49.0,48.0,55.0,48.0,48.0,52.0
62,55.0,55.0,55.0,49.0,50.0,50.0,55.0,55.0,53.0,55.0,50.0,50.0,55.0,50.0,49.0,55.0
63,57.0,60.0,57.0,59.0,59.0,59.0,59.0,61.0,57.0,59.0,54.0,59.0,54.0,59.0,59.0,61.0
64,59.0,59.0,59.0,59.0,57.0,56.0,55.0,59.0,56.0,54.0,54.0,57.0,56.0,56.0,56.0,57.0
65,56.0,58.0,56.0,57.0,56.0,56.0,53.0,57.0,58.0,53.0,54.0,56.0,56.0,56.0,56.0,57.0
66,57.0,60.0,57.0,57.0,55.0,54.0,53.0,59.0,57.0,53.0,54.0,55.0,55.0,54.0,54.0,56.0
67,58.0,58.0,58.0,59.0,57.0,56.0,55.0,59.0,57.0,55.0,54.0,57.0,56.0,56.0,56.0,56.0
68,57.0,59.0,57.0,58.0,56.0,56.0,53.0,58.0,57.0,53.0,54.0,56.0,57.0,56.0,56.0,58.0
69,57.0,55.0,57.0,57.0,55.0,55.0,52.0,57.0,55.0,52.0,52.0,55.0,55.0,55.0,55.0,57.0
70,57.0,55.0,57.0,57.0,57.0,57.0,56.0,57.0,55.0,56.0,53.0,57.0,57.0,57.0,57.0,57.0
71,56.0,55.0,56.0,55.0,56.0,55.0,54.0,56.0,55.0,54.0,53.0,56.0,55.0,55.0,55.0,56.0
72,58.0,56.0,58.0,57.0,56.0,56.0,54.0,58.0,58.0,53.0,54.0,56.0,56.0,56.0,56.0,57.0
73,58.0,56.0,56.0,56.0,56.0,56.0,56.0,58.0,56.0,55.0,54.0,56.0,58.0,56.0,56.0,58.0
74,56.0,56.0,56.0,56.0,56.0,56.0,55.0,57.0,57.0,55.0,54.0,56.0,56.0,56.0,56.0,56.0
