Scenario,Roll 0,Roll 1,Roll 2,Roll 3,Roll 4
143,41.0,46.0,42.0,41.0,40.0
144,44.0,42.0,41.0,40.0,46.0
145,45.0,42.0,43.0,38.0,46.0
146,41.0,43.0,43.0,40.0,40.0
147,47.0,43.0,48.0,41.0,50.0
148,48.0,47.0,46.0,37.0,50.0
149,44.0,45.0,45.0,41.0,44.0
150,48.0,42.0,44.0,42.0,50.0
151,49.0,45.0,45.0,38.0,50.0
152,45.0,45.0,45.0,40.0,44.0
153,44.0,42.0,41.0,43.0,44.0
154,44.0,41.0,42.0,38.0,43.0
155,41.0,42.0,42.0,40.0,40.0
156,47.0,42.0,47.0,41.0,50.0
157,48.0,46.0,45.0,37.0,50.0
158,44.0,44.0,45.0,40.0,44.0
159,48.0,41.0,43.0,42.0,49.0
160,49.0,44.0,44.0,38.0,49.0
161,45.0,44.0,45.0,40.0,44.0
162,43.0,41.0,40.0,43.0,44.0
163,44.0,41.0,41.0,38.0,45.0
164,40.0,42.0,42.0,40.0,44.0
165,41.0,36.0,36.0,41.0,41.0
166,42.0,38.0,37.0,36.0,41.0
167,38.0,37.0,42.0,38.0,40.0
