Scenario,Roll 0,Roll 1,Roll 2,Roll 3,Roll 4,Roll 5,Roll 6,Roll 7,Roll 8,Roll 9,Roll 10,Roll 11
62,41.0,41.0,42.0,42.0,40.0,39.0,40.0,37.0,40.0,40.0,42.0,38.0
63,39.0,39.0,37.0,37.0,38.0,38.0,39.0,36.0,37.0,39.0,38.0,35.0
64,37.0,37.0,37.0,39.0,37.0,37.0,38.0,38.0,37.0,38.0,36.0,39.0
65,39.0,39.0,38.0,40.0,41.0,39.0,39.0,38.0,40.0,39.0,39.0,37.0
66,40.0,40.0,38.0,37.0,39.0,39.0,40.0,37.0,37.0,40.0,39.0,36.0
67,38.0,38.0,38.0,38.0,38.0,38.0,39.0,39.0,38.0,39.0,37.0,40.0
68,40.0,40.0,39.0,40.0,40.0,40.0,40.0,39.0,40.0,40.0,40.0,38.0
69,39.0,39.0,36.0,37.0,38.0,40.0,37.0,36.0,37.0,37.0,40.0,35.0
70,37.0,37.0,37.0,37.0,39.0,37.0,39.0,37.0,37.0,39.0,36.0,38.0
71,39.0,39.0,36.0,40.0,40.0,36.0,39.0,37.0,40.0,39.0,36.0,39.0
72,39.0,39.0,39.0,37.0,37.0,39.0,36.0,35.0,38.0,36.0,39.0,34.0
73,38.0,38.0,39.0,39.0,41.0,38.0,38.0,36.0,38.0,38.0,39.0,40.0
74,41.0,41.0,39.0,42.0,42.0,38.0,38.0,36.0,44.0,38.0,37.0,38.0
75,40.0,40.0,40.0,38.0,38.0,40.0,37.0,36.0,39.0,37.0,40.0,35.0
76,39.0,39.0,40.0,40.0,39.0,39.0,37.0,36.0,39.0,37.0,40.0,41.0
77,42.0,42.0,40.0,41.0,41.0,39.0,38.0,36.0,45.0,38.0,38.0,37.0
78,39.0,39.0,39.0,37.0,38.0,39.0,39.0,36.0,38.0,39.0,38.0,37.0
79,39.0,39.0,39.0,38.0,38.0,39.0,39.0,38.0,38.0,39.0,37.0,41.0
80,41.0,41.0,39.0,38.0,41.0,41.0,41.0,38.0,39.0,41.0,41.0,39.0
81,39.0,39.0,37.0,38.0,39.0,39.0,38.0,36.0,38.0,38.0,39.0,36.0
82,38.0,38.0,38.0,37.0,40.0,38.0,40.0,37.0,37.0,40.0,36.0,38.0
83,40.0,40.0,37.0,38.0,40.0,37.0,40.0,38.0,37.0,40.0,37.0,38.0
84,40.0,40.0,40.0,37.0,38.0,40.0,37.0,35.0,39.0,37.0,38.0,35.0
85,39.0,39.0,39.0,40.0,42.0,39.0,39.0,36.0,38.0,39.0,38.0,41.0
86,42.0,42.0,40.0,38.0,42.0,39.0,39.0,37.0,40.0,39.0,38.0,37.0
87,41.0,41.0,41.0,38.0,39.0,41.0,38.0,36.0,40.0,38.0,39.0,36.0
88,40.0,40.0,40.0,41.0,39.0,40.0,38.0,37.0,39.0,38.0,39.0,42.0
89,43.0,43.0,41.0,39.0,39.0,40.0,39.0,37.0,41.0,39.0,39.0,38.0
90,39.0,39.0,38.0,38.0,38.0,40.0,36.0,38.0,38.0,36.0,40.0,35.0
91,39.0,39.0,36.0,36.0,36.0,36.0,38.0,39.0,36.0,38.0,36.0,38.0
92,38.0,38.0,36.0,37.0,37.0,37.0,38.0,40.0,37.0,38.0,37.0,40.0
93,40.0,40.0,39.0,37.0,37.0,39.0,36.0,37.0,38.0,36.0,39.0,36.0
94,39.0,39.0,38.0,39.0,39.0,38.0,38.0,40.0,39.0,38.0,38.0,39.0
95,42.0,42.0,38.0,39.0,39.0,38.0,38.0,39.0,39.0,38.0,38.0,39.0
96,41.0,41.0,40.0,38.0,38.0,40.0,37.0,34.0,39.0,37.0,40.0,37.0
97,40.0,40.0,39.0,40.0,40.0,39.0,38.0,38.0,40.0,38.0,39.0,39.0
98,43.0,43.0,39.0,40.0,40.0,39.0,39.0,37.0,40.0,39.0,39.0,39.0
99,39.0,39.0,38.0,37.0,36.0,38.0,35.0,36.0,37.0,35.0,38.0,35.0
100,38.0,38.0,37.0,38.0,38.0,37.0,37.0,39.0,38.0,37.0,37.0,38.0
101,41.0,41.0,39.0,39.0,38.0,37.0,37.0,38.0,38.0,37.0,39.0,38.0
102,40.0,40.0,39.0,38.0,37.0,39.0,36.0,34.0,38.0,36.0,39.0,36.0
103,39.0,39.0,38.0,39.0,39.0,38.0,38.0,37.0,39.0,38.0,38.0,39.0
104,42.0,42.0,40.0,40.0,39.0,38.0,38.0,36.0,39.0,38.0,40.0,38.0
105,40.0,40.0,40.0,39.0,38.0,40.0,37.0,34.0,39.0,37.0,39.0,35.0
106,40.0,40.0,39.0,40.0,39.0,38.0,37.0,36.0,39.0,37.0,39.0,39.0
107,40.0,40.0,41.0,41.0,40.0,39.0,39.0,36.0,40.0,39.0,41.0,37.0
108,39.0,39.0,38.0,36.0,36.0,38.0,36.0,35.0,37.0,36.0,36.0,36.0
109,39.0,39.0,37.0,36.0,36.0,37.0,38.0,37.0,37.0,38.0,36.0,42.0
110,39.0,39.0,38.0,37.0,37.0,37.0,38.0,38.0,38.0,38.0,37.0,38.0
111,39.0,39.0,38.0,38.0,38.0,37.0,38.0,36.0,38.0,38.0,38.0,36.0
112,39.0,39.0,37.0,37.0,37.0,37.0,38.0,38.0,37.0,38.0,37.0,39.0
113,41.0,41.0,38.0,37.0,37.0,38.0,39.0,37.0,38.0,39.0,37.0,38.0
114,38.0,38.0,40.0,37.0,37.0,40.0,37.0,35.0,39.0,37.0,37.0,35.0
115,40.0,40.0,39.0,39.0,39.0,39.0,37.0,37.0,39.0,37.0,39.0,42.0
116,40.0,40.0,41.0,39.0,39.0,40.0,38.0,36.0,41.0,38.0,39.0,37.0
117,39.0,39.0,41.0,38.0,38.0,41.0,36.0,35.0,40.0,36.0,38.0,36.0
118,41.0,41.0,40.0,40.0,40.0,40.0,38.0,36.0,40.0,38.0,40.0,43.0
119,41.0,41.0,42.0,40.0,40.0,40.0,38.0,37.0,42.0,38.0,40.0,38.0
120,39.0,39.0,38.0,39.0,39.0,38.0,37.0,37.0,39.0,37.0,38.0,36.0
121,40.0,40.0,37.0,37.0,37.0,36.0,38.0,39.0,37.0,38.0,37.0,39.0
122,39.0,39.0,37.0,38.0,37.0,37.0,39.0,39.0,37.0,39.0,36.0,38.0
123,41.0,41.0,40.0,38.0,38.0,40.0,37.0,37.0,39.0,37.0,37.0,36.0
124,40.0,40.0,39.0,40.0,40.0,39.0,38.0,41.0,40.0,38.0,39.0,40.0
125,43.0,43.0,39.0,40.0,40.0,39.0,39.0,39.0,40.0,39.0,39.0,38.0
126,42.0,42.0,41.0,39.0,39.0,41.0,38.0,35.0,40.0,38.0,38.0,37.0
127,41.0,41.0,40.0,41.0,41.0,40.0,39.0,39.0,41.0,39.0,40.0,40.0
128,44.0,44.0,40.0,41.0,41.0,40.0,40.0,38.0,41.0,40.0,40.0,38.0
129,40.0,40.0,39.0,38.0,37.0,39.0,36.0,36.0,38.0,36.0,36.0,35.0
130,39.0,39.0,38.0,39.0,39.0,38.0,37.0,40.0,39.0,37.0,38.0,39.0
131,42.0,42.0,38.0,40.0,39.0,38.0,38.0,38.0,39.0,38.0,38.0,37.0
132,41.0,41.0,40.0,39.0,38.0,40.0,37.0,35.0,39.0,37.0,37.0,36.0
133,40.0,40.0,39.0,40.0,40.0,39.0,38.0,38.0,40.0,38.0,39.0,40.0
134,43.0,43.0,39.0,41.0,40.0,39.0,39.0,37.0,40.0,39.0,39.0,37.0
135,39.0,39.0,41.0,40.0,38.0,41.0,36.0,35.0,40.0,36.0,38.0,36.0
136,41.0,41.0,40.0,40.0,40.0,39.0,37.0,36.0,40.0,37.0,40.0,40.0
137,41.0,41.0,40.0,42.0,40.0,40.0,38.0,36.0,40.0,38.0,39.0,38.0
138,41.0,41.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,36.0
139,39.0,39.0,36.0,38.0,37.0,36.0,37.0,39.0,37.0,37.0,36.0,37.0
140,38.0,38.0,37.0,37.0,37.0,38.0,39.0,41.0,37.0,39.0,38.0,42.0
141,42.0,42.0,39.0,38.0,38.0,39.0,38.0,41.0,38.0,38.0,39.0,40.0
142,43.0,43.0,40.0,40.0,40.0,40.0,38.0,38.0,40.0,38.0,40.0,40.0
143,41.0,41.0,40.0,40.0,40.0,41.0,38.0,40.0,40.0,38.0,41.0,42.0
144,41.0,41.0,40.0,39.0,39.0,40.0,37.0,42.0,39.0,37.0,39.0,41.0
145,44.0,44.0,41.0,41.0,41.0,41.0,39.0,39.0,41.0,39.0,41.0,40.0
146,41.0,41.0,41.0,41.0,41.0,41.0,39.0,39.0,41.0,39.0,41.0,40.0
147,41.0,41.0,38.0,38.0,37.0,38.0,37.0,40.0,37.0,37.0,38.0,39.0
148,42.0,42.0,39.0,39.0,39.0,39.0,38.0,40.0,39.0,38.0,39.0,40.0
149,41.0,41.0,40.0,40.0,39.0,40.0,38.0,39.0,39.0,38.0,40.0,41.0
150,40.0,40.0,39.0,39.0,38.0,39.0,37.0,41.0,38.0,37.0,39.0,40.0
151,43.0,43.0,40.0,40.0,40.0,40.0,39.0,41.0,40.0,39.0,40.0,41.0
152,42.0,42.0,41.0,41.0,40.0,41.0,39.0,39.0,40.0,39.0,41.0,39.0
153,41.0,41.0,40.0,40.0,39.0,40.0,38.0,34.0,39.0,38.0,40.0,36.0
154,41.0,41.0,40.0,41.0,41.0,40.0,40.0,40.0,41.0,40.0,40.0,39.0
155,41.0,41.0,42.0,40.0,40.0,40.0,40.0,37.0,40.0,40.0,42.0,38.0
156,40.0,40.0,42.0,42.0,39.0,42.0,36.0,39.0,41.0,36.0,39.0,38.0
157,41.0,41.0,38.0,38.0,38.0,38.0,37.0,39.0,38.0,37.0,38.0,39.0
158,40.0,40.0,39.0,39.0,38.0,39.0,38.0,38.0,38.0,38.0,39.0,40.0
159,40.0,40.0,43.0,43.0,40.0,43.0,36.0,40.0,42.0,36.0,40.0,39.0
160,42.0,42.0,39.0,39.0,39.0,39.0,38.0,40.0,39.0,38.0,39.0,40.0
161,41.0,41.0,40.0,40.0,39.0,40.0,39.0,39.0,39.0,39.0,40.0,38.0
162,41.0,41.0,44.0,44.0,41.0,44.0,37.0,33.0,43.0,37.0,41.0,35.0
163,40.0,40.0,40.0,40.0,40.0,40.0,39.0,39.0,40.0,39.0,40.0,40.0
164,42.0,42.0,41.0,41.0,39.0,40.0,39.0,39.0,39.0,39.0,41.0,37.0
165,42.0,42.0,45.0,45.0,42.0,45.0,35.0,34.0,44.0,35.0,42.0,35.0
166,40.0,40.0,39.0,40.0,40.0,39.0,37.0,35.0,40.0,37.0,39.0,39.0
167,40.0,40.0,39.0,40.0,39.0,39.0,37.0,36.0,39.0,37.0,39.0,37.0
