Scenario,Roll 0,Roll 1,Roll 2
0,51.0,50.0,52.0
1,53.0,51.0,52.0
2,54.0,52.0,53.0
3,50.0,51.0,52.0
4,54.0,52.0,52.0
5,54.0,53.0,53.0
6,51.0,52.0,53.0
7,54.0,52.0,53.0
8,54.0,54.0,53.0
9,51.0,52.0,53.0
10,54.0,52.0,49.0
11,54.0,52.0,54.0
12,52.0,51.0,52.0
13,54.0,53.0,53.0
14,55.0,53.0,53.0
15,51.0,51.0,53.0
16,54.0,53.0,54.0
17,53.0,54.0,54.0
18,49.0,51.0,52.0
19,54.0,52.0,52.0
20,53.0,53.0,52.0
21,50.0,52.0,53.0
22,55.0,53.0,53.0
23,54.0,54.0,53.0
24,50.0,53.0,53.0
25,53.0,53.0,49.0
26,53.0,53.0,53.0
27,52.0,52.0,52.0
28,54.0,53.0,53.0
29,54.0,53.0,53.0
30,52.0,52.0,53.0
31,55.0,52.0,54.0
32,54.0,53.0,54.0
33,51.0,52.0,51.0
34,54.0,54.0,51.0
35,53.0,54.0,53.0
36,51.0,54.0,53.0
37,53.0,54.0,50.0
38,53.0,54.0,54.0
39,51.0,53.0,52.0
40,55.0,53.0,53.0
41,54.0,53.0,53.0
42,51.0,51.0,52.0
43,54.0,53.0,54.0
44,54.0,54.0,54.0
45,51.0,54.0,53.0
46,53.0,52.0,55.0
47,54.0,52.0,55.0
48,54.0,53.0,54.0
49,53.0,55.0,56.0
50,55.0,54.0,56.0
51,55.0,54.0,53.0
52,54.0,54.0,55.0
53,54.0,55.0,55.0
54,53.0,52.0,53.0
55,54.0,54.0,55.0
56,54.0,53.0,55.0
57,54.0,53.0,52.0
58,55.0,53.0,54.0
59,54.0,54.0,54.0
60,51.0,53.0,53.0
61,53.0,54.0,55.0
62,54.0,54.0,55.0
63,49.0,50.0,51.0
64,53.0,51.0,51.0
65,53.0,52.0,51.0
66,50.0,51.0,52.0
67,54.0,52.0,52.0
68,54.0,53.0,52.0
69,50.0,52.0,52.0
70,52.0,52.0,48.0
71,53.0,52.0,52.0
72,51.0,51.0,51.0
73,53.0,52.0,52.0
74,53.0,52.0,52.0
75,51.0,51.0,52.0
76,54.0,51.0,53.0
77,53.0,52.0,53.0
78,51.0,51.0,51.0
79,53.0,53.0,50.0
80,53.0,53.0,53.0
81,51.0,53.0,52.0
82,52.0,53.0,49.0
83,54.0,53.0,53.0
84,51.0,52.0,52.0
85,54.0,52.0,53.0
86,54.0,52.0,53.0
87,52.0,52.0,52.0
88,53.0,52.0,54.0
89,54.0,53.0,54.0
90,52.0,55.0,53.0
91,54.0,53.0,55.0
92,53.0,53.0,55.0
93,55.0,54.0,54.0
94,54.0,54.0,56.0
95,54.0,53.0,56.0
96,56.0,54.0,53.0
97,53.0,54.0,55.0
98,54.0,54.0,55.0
99,54.0,53.0,53.0
100,53.0,53.0,55.0
101,53.0,52.0,55.0
102,55.0,53.0,52.0
103,54.0,53.0,54.0
104,54.0,53.0,54.0
105,51.0,54.0,53.0
106,52.0,53.0,55.0
107,55.0,54.0,55.0
108,50.0,50.0,48.0
109,51.0,50.0,49.0
110,51.0,50.0,49.0
111,50.0,51.0,53.0
112,51.0,51.0,49.0
113,53.0,53.0,54.0
114,50.0,51.0,52.0
115,53.0,51.0,49.0
116,53.0,53.0,53.0
117,51.0,52.0,49.0
118,51.0,52.0,49.0
119,53.0,54.0,54.0
120,51.0,56.0,53.0
121,53.0,54.0,50.0
122,53.0,54.0,54.0
123,54.0,55.0,52.0
124,53.0,53.0,54.0
125,54.0,54.0,54.0
126,55.0,55.0,53.0
127,53.0,54.0,55.0
128,53.0,55.0,55.0
129,53.0,54.0,51.0
130,52.0,52.0,53.0
131,53.0,53.0,55.0
132,54.0,54.0,52.0
133,53.0,53.0,54.0
134,54.0,54.0,54.0
135,50.0,55.0,49.0
136,51.0,54.0,50.0
137,54.0,54.0,54.0
138,54.0,55.0,54.0
139,55.0,55.0,51.0
140,55.0,55.0,54.0
141,53.0,55.0,53.0
142,56.0,57.0,55.0
143,56.0,55.0,55.0
144,53.0,54.0,54.0
145,54.0,56.0,55.0
146,54.0,56.0,55.0
147,53.0,54.0,54.0
148,56.0,56.0,56.0
149,56.0,55.0,56.0
150,53.0,55.0,53.0
151,56.0,56.0,55.0
152,56.0,56.0,55.0
153,53.0,55.0,53.0
154,55.0,55.0,55.0
155,55.0,55.0,55.0
156,52.0,53.0,53.0
157,55.0,55.0,55.0
158,55.0,55.0,55.0
159,52.0,54.0,52.0
160,55.0,55.0,54.0
161,55.0,56.0,55.0
162,52.0,54.0,53.0
163,54.0,56.0,55.0
164,55.0,55.0,55.0
165,52.0,53.0,51.0
166,51.0,55.0,50.0
167,51.0,55.0,54.0
