Scenario,Roll 0,Roll 1,Roll 2,Roll 3,Roll 4,Roll 5,Roll 6,Roll 7,Roll 8,Roll 9,Roll 10,Roll 11
62,71.0,71.0,71.0,71.0,65.0,65.0,66.0,66.0,65.0,65.0,65.0,65.0
63,71.0,68.0,68.0,71.0,71.0,71.0,71.0,71.0,65.0,65.0,67.0,67.0
64,68.0,68.0,68.0,68.0,68.0,68.0,66.0,66.0,57.0,59.0,59.0,68.0
65,73.0,73.0,73.0,73.0,73.0,73.0,70.0,70.0,62.0,62.0,65.0,73.0
66,72.0,69.0,69.0,72.0,72.0,72.0,72.0,72.0,66.0,66.0,68.0,68.0
67,69.0,69.0,69.0,69.0,69.0,69.0,67.0,67.0,58.0,60.0,60.0,69.0
68,74.0,74.0,74.0,74.0,74.0,74.0,71.0,71.0,63.0,63.0,66.0,74.0
69,69.0,69.0,69.0,69.0,68.0,68.0,64.0,64.0,59.0,60.0,59.0,68.0
70,67.0,63.0,63.0,67.0,66.0,66.0,65.0,65.0,59.0,59.0,64.0,63.0
71,68.0,65.0,65.0,68.0,66.0,66.0,68.0,68.0,60.0,60.0,65.0,65.0
72,68.0,68.0,68.0,68.0,67.0,67.0,63.0,63.0,67.0,67.0,67.0,67.0
73,67.0,62.0,62.0,67.0,65.0,65.0,64.0,64.0,60.0,60.0,63.0,62.0
74,67.0,65.0,65.0,67.0,65.0,65.0,67.0,67.0,64.0,65.0,65.0,65.0
75,67.0,67.0,67.0,67.0,67.0,67.0,64.0,64.0,68.0,68.0,68.0,67.0
76,68.0,63.0,63.0,68.0,66.0,66.0,65.0,65.0,61.0,61.0,61.0,63.0
77,68.0,66.0,66.0,68.0,66.0,66.0,68.0,68.0,65.0,66.0,66.0,66.0
78,73.0,69.0,69.0,73.0,73.0,73.0,73.0,73.0,67.0,67.0,69.0,69.0
79,70.0,70.0,70.0,70.0,70.0,70.0,68.0,68.0,59.0,61.0,60.0,70.0
80,75.0,75.0,75.0,75.0,75.0,75.0,72.0,72.0,64.0,64.0,66.0,75.0
81,70.0,70.0,70.0,70.0,69.0,69.0,65.0,65.0,60.0,60.0,60.0,69.0
82,67.0,63.0,63.0,67.0,67.0,67.0,65.0,65.0,60.0,60.0,65.0,62.0
83,69.0,66.0,66.0,69.0,67.0,67.0,68.0,68.0,61.0,61.0,66.0,66.0
84,69.0,69.0,69.0,69.0,68.0,68.0,64.0,64.0,68.0,68.0,68.0,68.0
85,66.0,62.0,62.0,66.0,66.0,66.0,65.0,65.0,61.0,61.0,64.0,61.0
86,68.0,65.0,65.0,68.0,66.0,66.0,67.0,67.0,65.0,65.0,65.0,65.0
87,68.0,68.0,68.0,68.0,68.0,68.0,65.0,65.0,69.0,69.0,69.0,68.0
88,67.0,62.0,61.0,67.0,67.0,67.0,66.0,66.0,62.0,62.0,62.0,62.0
89,67.0,66.0,66.0,67.0,67.0,67.0,68.0,68.0,66.0,66.0,66.0,65.0
90,64.0,61.0,61.0,64.0,64.0,64.0,63.0,63.0,58.0,57.0,58.0,59.0
91,65.0,65.0,65.0,65.0,65.0,65.0,63.0,63.0,60.0,56.0,61.0,65.0
