Scenario,Roll 0,Roll 1,Roll 2,Roll 3,Roll 4,Roll 5,Roll 6,Roll 7,Roll 8,Roll 9,Roll 10,Roll 11,Roll 12,Roll 13
53,53.0,54.0,55.0,53.0,54.0,53.0,55.0,51.0,53.0,50.0,53.0,53.0,55.0,55.0
54,57.0,56.0,56.0,56.0,56.0,57.0,56.0,56.0,52.0,52.0,51.0,55.0,56.0,55.0
55,59.0,58.0,58.0,58.0,58.0,59.0,58.0,58.0,52.0,58.0,52.0,57.0,52.0,57.0
56,55.0,54.0,54.0,54.0,53.0,54.0,53.0,54.0,54.0,54.0,51.0,53.0,53.0,53.0
57,58.0,57.0,57.0,57.0,57.0,56.0,57.0,57.0,53.0,53.0,52.0,56.0,57.0,56.0
58,60.0,59.0,59.0,59.0,59.0,60.0,59.0,59.0,53.0,59.0,53.0,58.0,53.0,58.0
59,56.0,55.0,55.0,55.0,54.0,55.0,54.0,55.0,55.0,55.0,52.0,54.0,54.0,54.0
60,56.0,55.0,55.0,56.0,55.0,54.0,55.0,58.0,53.0,53.0,53.0,57.0,50.0,50.0
61,59.0,60.0,60.0,60.0,60.0,59.0,60.0,60.0,54.0,59.0,54.0,59.0,54.0,56.0
62,55.0,55.0,55.0,55.0,55.0,54.0,55.0,55.0,55.0,55.0,52.0,55.0,54.0,53.0
63,47.0,50.0,50.0,46.0,50.0,45.0,50.0,50.0,45.0,45.0,48.0,48.0,49.0,47.0
64,47.0,52.0,52.0,47.0,52.0,45.0,52.0,47.0,44.0,45.0,49.0,48.0,48.0,48.0
65,45.0,51.0,51.0,47.0,51.0,42.0,51.0,47.0,43.0,43.0,48.0,48.0,51.0,48.0
66,48.0,48.0,48.0,47.0,48.0,45.0,48.0,51.0,46.0,46.0,49.0,48.0,50.0,48.0
67,48.0,48.0,48.0,48.0,48.0,46.0,48.0,48.0,45.0,46.0,50.0,49.0,49.0,49.0
68,45.0,47.0,48.0,48.0,47.0,42.0,48.0,48.0,44.0,44.0,49.0,49.0,52.0,49.0
69,48.0,51.0,51.0,49.0,51.0,50.0,51.0,47.0,45.0,46.0,50.0,50.0,51.0,55.0
