Scenario,Roll 0,Roll 1,Roll 2,Roll 3,Roll 4,Roll 5,Roll 6,Roll 7,Roll 8,Roll 9,Roll 10
68,46.0,46.0,51.0,50.0,48.0,44.0,51.0,45.0,51.0,39.0,44.0
69,47.0,47.0,46.0,46.0,47.0,47.0,48.0,46.0,46.0,48.0,46.0
70,47.0,47.0,47.0,48.0,47.0,46.0,51.0,46.0,47.0,45.0,46.0
71,47.0,47.0,51.0,51.0,47.0,48.0,50.0,47.0,51.0,45.0,47.0
72,51.0,51.0,46.0,50.0,51.0,50.0,47.0,50.0,46.0,49.0,49.0
73,51.0,51.0,51.0,52.0,51.0,48.0,50.0,47.0,51.0,49.0,47.0
74,48.0,48.0,52.0,51.0,51.0,52.0,52.0,47.0,52.0,49.0,51.0
75,46.0,46.0,45.0,46.0,45.0,47.0,47.0,50.0,45.0,45.0,47.0
76,48.0,48.0,46.0,47.0,46.0,48.0,48.0,47.0,46.0,50.0,47.0
77,47.0,47.0,51.0,48.0,46.0,52.0,52.0,48.0,51.0,50.0,52.0
78,45.0,45.0,44.0,46.0,46.0,46.0,46.0,45.0,44.0,44.0,45.0
79,46.0,46.0,45.0,48.0,47.0,45.0,46.0,45.0,45.0,39.0,45.0
80,47.0,47.0,47.0,47.0,48.0,44.0,48.0,46.0,47.0,40.0,44.0
81,47.0,47.0,46.0,47.0,47.0,47.0,48.0,46.0,46.0,49.0,46.0
82,47.0,47.0,47.0,48.0,47.0,46.0,47.0,46.0,47.0,45.0,46.0
83,48.0,48.0,51.0,51.0,48.0,48.0,49.0,46.0,51.0,46.0,47.0
84,51.0,51.0,46.0,51.0,51.0,50.0,47.0,50.0,46.0,49.0,49.0
85,51.0,51.0,47.0,51.0,51.0,48.0,48.0,46.0,47.0,49.0,46.0
86,48.0,48.0,50.0,51.0,52.0,52.0,52.0,47.0,50.0,50.0,51.0
87,47.0,47.0,45.0,46.0,46.0,47.0,47.0,46.0,45.0,45.0,46.0
88,46.0,46.0,47.0,48.0,46.0,48.0,48.0,47.0,47.0,50.0,47.0
89,48.0,48.0,51.0,48.0,47.0,52.0,52.0,48.0,51.0,51.0,52.0
90,45.0,45.0,46.0,46.0,47.0,48.0,49.0,45.0,46.0,49.0,46.0
91,49.0,49.0,48.0,47.0,48.0,48.0,50.0,46.0,48.0,50.0,47.0
92,48.0,48.0,48.0,49.0,48.0,47.0,48.0,47.0,48.0,46.0,46.0
93,48.0,48.0,48.0,47.0,51.0,51.0,53.0,47.0,47.0,52.0,50.0
94,49.0,49.0,52.0,51.0,52.0,52.0,52.0,47.0,52.0,54.0,51.0
95,50.0,50.0,52.0,52.0,52.0,51.0,50.0,48.0,52.0,50.0,48.0
96,46.0,46.0,46.0,46.0,47.0,48.0,53.0,47.0,46.0,49.0,47.0
97,47.0,47.0,48.0,47.0,48.0,52.0,52.0,48.0,48.0,55.0,52.0
