Scenario,Roll 0,Roll 1,Roll 2,Roll 3,Roll 4,Roll 5
121,41.0,42.0,45.0,48.0,47.0,45.0
122,42.0,45.0,46.0,45.0,42.0,46.0
123,46.0,40.0,42.0,44.0,43.0,44.0
124,44.0,44.0,45.0,48.0,46.0,47.0
125,47.0,45.0,47.0,45.0,41.0,47.0
126,43.0,41.0,43.0,43.0,40.0,44.0
127,44.0,45.0,46.0,47.0,47.0,48.0
128,47.0,44.0,47.0,45.0,42.0,47.0
129,45.0,39.0,42.0,43.0,43.0,43.0
130,43.0,43.0,44.0,47.0,46.0,47.0
131,47.0,44.0,46.0,45.0,41.0,46.0
132,42.0,40.0,42.0,43.0,40.0,43.0
133,43.0,44.0,45.0,46.0,47.0,47.0
134,47.0,43.0,47.0,45.0,42.0,47.0
135,42.0,40.0,42.0,41.0,35.0,42.0
136,43.0,41.0,43.0,42.0,42.0,47.0
137,47.0,42.0,47.0,43.0,40.0,47.0
138,40.0,34.0,42.0,43.0,39.0,42.0
139,40.0,39.0,42.0,44.0,37.0,40.0
140,41.0,40.0,42.0,43.0,36.0,43.0
141,45.0,34.0,42.0,43.0,39.0,42.0
142,44.0,40.0,43.0,44.0,37.0,44.0
143,43.0,40.0,44.0,43.0,36.0,43.0
144,45.0,35.0,43.0,43.0,39.0,43.0
145,44.0,40.0,43.0,44.0,37.0,44.0
146,44.0,41.0,43.0,43.0,37.0,41.0
147,46.0,34.0,43.0,43.0,42.0,42.0
148,44.0,39.0,43.0,44.0,40.0,44.0
149,44.0,40.0,43.0,43.0,36.0,43.0
150,46.0,35.0,43.0,43.0,43.0,42.0
151,44.0,40.0,44.0,44.0,41.0,44.0
152,45.0,41.0,44.0,43.0,37.0,43.0
153,42.0,36.0,42.0,41.0,38.0,42.0
154,42.0,41.0,44.0,39.0,38.0,44.0
155,45.0,41.0,44.0,39.0,36.0,39.0
156,46.0,33.0,42.0,42.0,42.0,42.0
157,43.0,38.0,42.0,43.0,40.0,43.0
158,43.0,39.0,42.0,42.0,35.0,42.0
159,46.0,34.0,42.0,42.0,43.0,42.0
160,43.0,39.0,43.0,43.0,41.0,43.0
161,44.0,40.0,43.0,42.0,36.0,43.0
162,42.0,35.0,41.0,40.0,38.0,42.0
163,41.0,40.0,43.0,39.0,42.0,43.0
164,44.0,40.0,44.0,39.0,36.0,43.0
165,42.0,35.0,41.0,39.0,33.0,41.0
166,40.0,36.0,41.0,34.0,37.0,39.0
167,44.0,37.0,45.0,34.0,34.0,39.0
