Scenario,Roll 0,Roll 1,Roll 2,Roll 3,Roll 4,Roll 5,Roll 6,Roll 7,Roll 8,Roll 9
74,44.0,43.0,43.0,43.0,43.0,42.0,43.0,43.0,44.0,43.0
75,39.0,39.0,39.0,39.0,40.0,37.0,39.0,39.0,39.0,38.0
76,39.0,40.0,42.0,39.0,41.0,42.0,39.0,39.0,40.0,39.0
77,43.0,43.0,43.0,43.0,43.0,42.0,43.0,43.0,42.0,43.0
78,40.0,39.0,40.0,39.0,39.0,38.0,40.0,39.0,39.0,38.0
79,40.0,40.0,42.0,40.0,42.0,41.0,40.0,40.0,40.0,39.0
80,44.0,44.0,43.0,44.0,43.0,41.0,44.0,44.0,45.0,39.0
81,40.0,39.0,38.0,38.0,39.0,39.0,40.0,38.0,39.0,39.0
82,44.0,44.0,43.0,44.0,43.0,43.0,44.0,44.0,44.0,39.0
83,43.0,43.0,44.0,44.0,43.0,40.0,44.0,44.0,44.0,40.0
84,40.0,39.0,38.0,38.0,39.0,39.0,40.0,38.0,39.0,39.0
85,43.0,43.0,43.0,43.0,42.0,42.0,43.0,43.0,43.0,39.0
86,44.0,43.0,44.0,44.0,43.0,39.0,44.0,44.0,44.0,44.0
87,40.0,39.0,38.0,38.0,39.0,38.0,40.0,38.0,39.0,39.0
88,40.0,40.0,43.0,39.0,42.0,43.0,39.0,39.0,40.0,39.0
89,41.0,40.0,44.0,44.0,43.0,38.0,44.0,44.0,41.0,44.0
90,39.0,39.0,39.0,38.0,41.0,38.0,38.0,38.0,39.0,38.0
91,40.0,40.0,44.0,44.0,43.0,40.0,44.0,44.0,41.0,39.0
92,44.0,44.0,41.0,39.0,41.0,40.0,40.0,39.0,43.0,40.0
93,39.0,39.0,39.0,37.0,40.0,37.0,38.0,37.0,39.0,38.0
94,43.0,43.0,44.0,44.0,43.0,43.0,44.0,44.0,43.0,44.0
95,44.0,44.0,43.0,39.0,42.0,42.0,42.0,39.0,43.0,42.0
96,39.0,39.0,39.0,38.0,39.0,37.0,38.0,38.0,39.0,38.0
97,44.0,44.0,44.0,44.0,43.0,43.0,44.0,44.0,44.0,44.0
98,44.0,44.0,43.0,40.0,42.0,42.0,40.0,40.0,43.0,42.0
99,39.0,38.0,38.0,37.0,39.0,36.0,37.0,37.0,38.0,38.0
100,42.0,42.0,43.0,43.0,42.0,43.0,43.0,43.0,42.0,43.0
101,44.0,44.0,43.0,39.0,41.0,42.0,41.0,39.0,42.0,42.0
102,39.0,39.0,38.0,38.0,40.0,37.0,38.0,38.0,39.0,38.0
103,43.0,43.0,43.0,43.0,42.0,43.0,43.0,43.0,43.0,43.0
104,44.0,44.0,43.0,40.0,42.0,42.0,42.0,40.0,43.0,42.0
105,39.0,39.0,38.0,38.0,39.0,36.0,38.0,38.0,39.0,38.0
106,40.0,40.0,40.0,39.0,39.0,43.0,39.0,39.0,40.0,39.0
107,41.0,40.0,43.0,40.0,42.0,42.0,40.0,40.0,41.0,40.0
108,35.0,33.0,36.0,33.0,38.0,32.0,35.0,33.0,34.0,36.0
109,36.0,34.0,38.0,34.0,39.0,39.0,36.0,34.0,35.0,34.0
110,39.0,39.0,39.0,39.0,39.0,39.0,40.0,39.0,40.0,38.0
111,40.0,34.0,38.0,33.0,38.0,37.0,39.0,33.0,35.0,38.0
112,41.0,39.0,39.0,39.0,39.0,40.0,40.0,39.0,40.0,38.0
113,41.0,38.0,40.0,39.0,39.0,39.0,40.0,39.0,40.0,40.0
114,39.0,34.0,38.0,33.0,38.0,36.0,39.0,33.0,35.0,38.0
115,40.0,38.0,39.0,38.0,38.0,40.0,40.0,38.0,39.0,39.0
116,41.0,38.0,43.0,39.0,43.0,39.0,43.0,39.0,40.0,40.0
117,35.0,34.0,38.0,33.0,38.0,33.0,35.0,33.0,35.0,38.0
118,36.0,35.0,39.0,35.0,38.0,39.0,36.0,35.0,35.0,39.0
119,41.0,35.0,43.0,39.0,43.0,38.0,40.0,39.0,40.0,40.0
120,39.0,34.0,38.0,33.0,38.0,39.0,38.0,33.0,35.0,38.0
121,40.0,36.0,40.0,39.0,39.0,39.0,40.0,39.0,40.0,40.0
122,41.0,39.0,39.0,39.0,39.0,41.0,40.0,39.0,41.0,40.0
123,40.0,34.0,38.0,33.0,38.0,38.0,39.0,33.0,35.0,39.0
124,40.0,38.0,43.0,39.0,43.0,42.0,43.0,39.0,40.0,40.0
125,43.0,39.0,44.0,39.0,43.0,43.0,43.0,39.0,41.0,43.0
126,39.0,34.0,38.0,33.0,38.0,38.0,38.0,33.0,35.0,38.0
127,40.0,39.0,43.0,39.0,43.0,39.0,39.0,39.0,40.0,40.0
128,41.0,39.0,44.0,39.0,43.0,40.0,40.0,39.0,41.0,43.0
129,40.0,33.0,38.0,32.0,37.0,37.0,38.0,32.0,34.0,38.0
130,39.0,37.0,42.0,38.0,42.0,42.0,42.0,38.0,39.0,39.0
131,43.0,39.0,44.0,38.0,42.0,43.0,42.0,38.0,40.0,43.0
132,40.0,34.0,38.0,33.0,38.0,38.0,39.0,33.0,35.0,38.0
133,39.0,38.0,42.0,38.0,42.0,42.0,39.0,38.0,39.0,39.0
134,41.0,39.0,44.0,39.0,43.0,43.0,43.0,39.0,41.0,43.0
135,35.0,34.0,38.0,33.0,37.0,33.0,34.0,33.0,35.0,38.0
136,35.0,36.0,39.0,35.0,38.0,39.0,35.0,35.0,35.0,39.0
137,41.0,35.0,44.0,39.0,43.0,38.0,40.0,39.0,41.0,41.0
138,37.0,34.0,39.0,34.0,39.0,39.0,39.0,34.0,34.0,39.0
139,39.0,36.0,40.0,39.0,39.0,41.0,40.0,39.0,35.0,40.0
140,41.0,39.0,39.0,35.0,39.0,38.0,40.0,35.0,40.0,41.0
141,38.0,34.0,39.0,34.0,40.0,39.0,38.0,34.0,34.0,39.0
142,40.0,36.0,44.0,39.0,43.0,43.0,43.0,39.0,39.0,43.0
143,44.0,39.0,40.0,37.0,41.0,41.0,44.0,37.0,40.0,43.0
144,39.0,34.0,39.0,34.0,39.0,39.0,38.0,34.0,35.0,39.0
145,40.0,36.0,44.0,39.0,43.0,43.0,40.0,39.0,40.0,43.0
146,41.0,39.0,40.0,38.0,41.0,41.0,40.0,38.0,40.0,43.0
147,42.0,34.0,38.0,33.0,39.0,39.0,41.0,33.0,37.0,39.0
148,40.0,38.0,44.0,38.0,42.0,43.0,42.0,38.0,39.0,43.0
149,44.0,39.0,40.0,37.0,40.0,45.0,44.0,37.0,39.0,43.0
150,43.0,34.0,39.0,34.0,38.0,39.0,42.0,34.0,38.0,39.0
151,40.0,39.0,44.0,39.0,43.0,43.0,43.0,39.0,40.0,43.0
152,43.0,39.0,41.0,38.0,40.0,45.0,44.0,38.0,40.0,43.0
153,40.0,34.0,39.0,34.0,38.0,38.0,39.0,34.0,39.0,39.0
154,40.0,40.0,44.0,40.0,43.0,39.0,39.0,40.0,40.0,41.0
155,41.0,39.0,41.0,39.0,40.0,40.0,40.0,39.0,40.0,40.0
156,41.0,33.0,38.0,32.0,38.0,38.0,40.0,32.0,36.0,38.0
157,39.0,37.0,43.0,37.0,41.0,42.0,41.0,37.0,38.0,42.0
158,43.0,38.0,40.0,36.0,39.0,44.0,43.0,36.0,38.0,42.0
159,42.0,34.0,39.0,33.0,37.0,38.0,41.0,33.0,37.0,38.0
160,39.0,38.0,43.0,38.0,42.0,42.0,42.0,38.0,39.0,42.0
161,43.0,39.0,41.0,37.0,39.0,44.0,43.0,37.0,39.0,42.0
162,39.0,34.0,39.0,33.0,38.0,37.0,38.0,33.0,38.0,38.0
163,39.0,39.0,43.0,39.0,42.0,42.0,39.0,39.0,39.0,40.0
164,41.0,39.0,41.0,38.0,39.0,43.0,40.0,38.0,40.0,40.0
165,35.0,34.0,39.0,33.0,37.0,37.0,34.0,33.0,34.0,39.0
166,35.0,36.0,39.0,35.0,38.0,39.0,35.0,35.0,35.0,39.0
167,41.0,35.0,41.0,34.0,39.0,39.0,40.0,34.0,40.0,40.0
