Scenario,Roll 0,Roll 1,Roll 2,Roll 3,Roll 4,Roll 5,Roll 6,Roll 7,Roll 8,Roll 9,Roll 10,Roll 11,Roll 12,Roll 13,Roll 14,Roll 15
46,43.0,43.0,45.0,45.0,43.0,42.0,42.0,42.0,42.0,43.0,45.0,45.0,42.0,42.0,45.0,40.0
47,42.0,42.0,45.0,45.0,42.0,40.0,40.0,40.0,44.0,42.0,45.0,45.0,41.0,41.0,45.0,41.0
48,53.0,50.0,52.0,52.0,52.0,49.0,49.0,49.0,49.0,52.0,52.0,52.0,52.0,52.0,52.0,49.0
49,50.0,51.0,49.0,49.0,50.0,51.0,51.0,51.0,46.0,50.0,49.0,49.0,50.0,50.0,49.0,47.0
50,50.0,50.0,49.0,49.0,50.0,46.0,46.0,46.0,46.0,50.0,49.0,49.0,50.0,50.0,49.0,50.0
51,48.0,45.0,44.0,45.0,47.0,45.0,45.0,45.0,44.0,47.0,44.0,44.0,47.0,47.0,44.0,46.0
52,48.0,46.0,47.0,47.0,47.0,46.0,46.0,46.0,46.0,47.0,47.0,47.0,47.0,47.0,47.0,42.0
53,47.0,45.0,46.0,47.0,46.0,44.0,44.0,43.0,44.0,46.0,46.0,46.0,46.0,46.0,46.0,45.0
54,52.0,49.0,51.0,51.0,51.0,49.0,49.0,49.0,49.0,51.0,51.0,51.0,51.0,51.0,51.0,49.0
55,49.0,50.0,48.0,48.0,50.0,50.0,50.0,50.0,48.0,50.0,48.0,48.0,49.0,49.0,48.0,46.0
56,50.0,50.0,49.0,50.0,50.0,50.0,50.0,46.0,46.0,50.0,49.0,49.0,49.0,49.0,49.0,50.0
57,49.0,50.0,48.0,49.0,49.0,49.0,49.0,49.0,48.0,49.0,48.0,48.0,49.0,49.0,48.0,46.0
58,50.0,50.0,49.0,49.0,50.0,50.0,50.0,50.0,49.0,50.0,49.0,49.0,50.0,50.0,49.0,46.0
59,50.0,50.0,49.0,51.0,50.0,50.0,50.0,46.0,45.0,50.0,49.0,49.0,50.0,50.0,49.0,47.0
60,44.0,45.0,39.0,41.0,44.0,44.0,44.0,45.0,43.0,44.0,39.0,39.0,44.0,44.0,39.0,45.0
61,45.0,45.0,43.0,43.0,45.0,45.0,45.0,45.0,45.0,45.0,43.0,43.0,45.0,45.0,43.0,41.0
62,45.0,45.0,42.0,43.0,45.0,45.0,45.0,41.0,42.0,45.0,42.0,42.0,45.0,45.0,42.0,42.0
63,42.0,50.0,41.0,41.0,41.0,49.0,49.0,49.0,44.0,41.0,41.0,43.0,41.0,41.0,41.0,45.0
64,44.0,50.0,43.0,43.0,42.0,50.0,50.0,50.0,48.0,42.0,42.0,45.0,43.0,43.0,42.0,45.0
65,48.0,55.0,47.0,47.0,47.0,50.0,50.0,54.0,49.0,47.0,47.0,47.0,47.0,47.0,47.0,50.0
66,43.0,51.0,42.0,42.0,42.0,48.0,48.0,50.0,45.0,42.0,42.0,42.0,42.0,42.0,42.0,46.0
67,43.0,51.0,43.0,43.0,43.0,50.0,50.0,50.0,49.0,43.0,43.0,43.0,43.0,43.0,43.0,46.0
68,49.0,56.0,48.0,48.0,48.0,50.0,50.0,55.0,50.0,48.0,48.0,48.0,48.0,48.0,48.0,51.0
69,46.0,49.0,45.0,45.0,45.0,48.0,48.0,48.0,43.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0
70,49.0,48.0,48.0,48.0,48.0,46.0,46.0,47.0,45.0,48.0,48.0,48.0,48.0,48.0,48.0,46.0
71,45.0,49.0,49.0,49.0,44.0,49.0,49.0,50.0,44.0,44.0,49.0,49.0,44.0,44.0,49.0,50.0
