Scenario,Roll 0,Roll 1,Roll 2,Roll 3,Roll 4,Roll 5,Roll 6,Roll 7,Roll 8,Roll 9,Roll 10,Roll 11
62,51.0,46.0,52.0,46.0,51.0,52.0,47.0,47.0,46.0,46.0,47.0,47.0
63,47.0,42.0,47.0,42.0,47.0,45.0,43.0,42.0,43.0,42.0,43.0,42.0
64,47.0,46.0,47.0,46.0,47.0,49.0,50.0,45.0,49.0,49.0,50.0,45.0
65,53.0,44.0,53.0,44.0,48.0,50.0,48.0,48.0,48.0,48.0,48.0,48.0
66,47.0,42.0,47.0,42.0,47.0,46.0,43.0,42.0,43.0,43.0,43.0,42.0
67,48.0,46.0,47.0,46.0,48.0,49.0,51.0,45.0,49.0,49.0,51.0,45.0
68,53.0,45.0,53.0,45.0,49.0,50.0,48.0,48.0,48.0,48.0,48.0,48.0
69,52.0,52.0,52.0,52.0,52.0,51.0,50.0,48.0,50.0,50.0,50.0,48.0
70,55.0,54.0,54.0,54.0,55.0,55.0,56.0,56.0,56.0,56.0,56.0,56.0
71,56.0,55.0,57.0,57.0,56.0,56.0,51.0,51.0,54.0,54.0,51.0,51.0
72,51.0,51.0,51.0,51.0,51.0,50.0,49.0,47.0,49.0,49.0,49.0,47.0
73,54.0,53.0,53.0,53.0,54.0,54.0,55.0,55.0,55.0,55.0,55.0,55.0
74,55.0,54.0,56.0,56.0,55.0,55.0,50.0,50.0,53.0,53.0,50.0,50.0
75,46.0,41.0,46.0,41.0,46.0,45.0,46.0,44.0,45.0,45.0,46.0,44.0
76,49.0,45.0,48.0,45.0,49.0,50.0,47.0,47.0,49.0,49.0,47.0,47.0
77,50.0,44.0,50.0,46.0,50.0,51.0,51.0,46.0,50.0,50.0,51.0,46.0
78,47.0,40.0,47.0,40.0,45.0,47.0,44.0,42.0,44.0,44.0,44.0,42.0
79,48.0,46.0,48.0,46.0,47.0,50.0,51.0,46.0,49.0,49.0,51.0,46.0
80,53.0,45.0,53.0,45.0,50.0,51.0,46.0,45.0,48.0,48.0,46.0,45.0
81,52.0,52.0,52.0,52.0,52.0,51.0,51.0,48.0,50.0,50.0,51.0,48.0
82,55.0,55.0,55.0,55.0,55.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0
83,57.0,56.0,58.0,58.0,57.0,56.0,52.0,51.0,54.0,54.0,52.0,51.0
84,51.0,51.0,51.0,51.0,51.0,50.0,50.0,47.0,49.0,49.0,50.0,47.0
85,54.0,54.0,54.0,54.0,54.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0
86,56.0,55.0,57.0,57.0,56.0,55.0,51.0,50.0,53.0,53.0,51.0,50.0
87,46.0,41.0,46.0,41.0,46.0,46.0,47.0,44.0,45.0,45.0,47.0,44.0
88,49.0,45.0,49.0,45.0,49.0,51.0,47.0,47.0,49.0,49.0,47.0,47.0
89,51.0,45.0,51.0,47.0,51.0,51.0,52.0,46.0,50.0,50.0,52.0,46.0
90,51.0,51.0,51.0,51.0,57.0,52.0,52.0,52.0,55.0,55.0,52.0,52.0
91,56.0,55.0,57.0,57.0,58.0,56.0,53.0,53.0,51.0,51.0,53.0,53.0
