Scenario,Roll 0,Roll 1,Roll 2,Roll 3,Roll 4,Roll 5,Roll 6,Roll 7,Roll 8,Roll 9,Roll 10,Roll 11
54,36.0,36.0,37.0,37.0,36.0,36.0,36.0,36.0,37.0,34.0,37.0,36.0
55,37.0,37.0,36.0,36.0,37.0,37.0,37.0,37.0,36.0,32.0,36.0,37.0
56,34.0,34.0,36.0,35.0,33.0,34.0,33.0,34.0,36.0,32.0,36.0,33.0
57,37.0,37.0,38.0,38.0,37.0,37.0,37.0,37.0,38.0,35.0,38.0,37.0
58,38.0,38.0,37.0,37.0,38.0,38.0,38.0,38.0,37.0,33.0,37.0,38.0
59,35.0,35.0,37.0,36.0,34.0,35.0,34.0,35.0,37.0,33.0,37.0,34.0
60,33.0,35.0,38.0,38.0,33.0,35.0,33.0,34.0,38.0,31.0,38.0,34.0
61,39.0,39.0,35.0,35.0,39.0,39.0,39.0,39.0,35.0,34.0,35.0,39.0
62,35.0,35.0,37.0,37.0,35.0,35.0,35.0,35.0,37.0,34.0,37.0,35.0
63,27.0,27.0,33.0,28.0,26.0,27.0,25.0,27.0,33.0,29.0,33.0,25.0
64,26.0,31.0,32.0,26.0,27.0,31.0,28.0,26.0,32.0,31.0,32.0,28.0
65,27.0,27.0,34.0,27.0,28.0,27.0,28.0,27.0,34.0,31.0,34.0,28.0
66,26.0,28.0,33.0,29.0,26.0,28.0,25.0,26.0,33.0,29.0,33.0,25.0
67,27.0,32.0,33.0,27.0,28.0,32.0,27.0,27.0,33.0,31.0,33.0,27.0
68,26.0,27.0,35.0,27.0,28.0,27.0,27.0,26.0,35.0,31.0,35.0,27.0
69,30.0,31.0,34.0,29.0,31.0,30.0,31.0,30.0,34.0,30.0,34.0,31.0
70,30.0,30.0,32.0,28.0,27.0,30.0,27.0,30.0,32.0,31.0,32.0,27.0
71,26.0,30.0,35.0,26.0,27.0,27.0,28.0,26.0,35.0,31.0,35.0,27.0
72,30.0,31.0,34.0,34.0,30.0,31.0,30.0,30.0,34.0,29.0,34.0,30.0
73,29.0,31.0,35.0,30.0,27.0,31.0,26.0,29.0,35.0,30.0,35.0,27.0
74,27.0,30.0,35.0,33.0,26.0,30.0,27.0,27.0,35.0,30.0,35.0,27.0
75,31.0,32.0,35.0,35.0,30.0,32.0,31.0,31.0,35.0,29.0,35.0,31.0
76,30.0,32.0,36.0,31.0,28.0,32.0,27.0,30.0,36.0,31.0,36.0,27.0
77,27.0,31.0,36.0,34.0,27.0,31.0,27.0,27.0,36.0,31.0,36.0,27.0
78,24.0,25.0,31.0,27.0,27.0,25.0,25.0,25.0,31.0,26.0,31.0,25.0
79,26.0,33.0,30.0,27.0,29.0,33.0,28.0,26.0,30.0,31.0,30.0,28.0
80,26.0,27.0,32.0,26.0,28.0,27.0,28.0,26.0,32.0,31.0,32.0,28.0
81,31.0,32.0,35.0,27.0,32.0,31.0,30.0,31.0,35.0,27.0,35.0,30.0
82,30.0,30.0,30.0,27.0,28.0,30.0,28.0,30.0,30.0,32.0,30.0,28.0
83,26.0,31.0,33.0,26.0,28.0,28.0,29.0,26.0,33.0,32.0,33.0,28.0
84,30.0,32.0,34.0,33.0,31.0,32.0,29.0,30.0,34.0,27.0,34.0,29.0
85,29.0,32.0,34.0,28.0,28.0,32.0,27.0,29.0,34.0,31.0,34.0,28.0
86,27.0,31.0,36.0,31.0,27.0,31.0,28.0,27.0,36.0,31.0,36.0,28.0
87,31.0,33.0,34.0,34.0,31.0,33.0,30.0,31.0,34.0,27.0,34.0,30.0
88,30.0,33.0,35.0,29.0,29.0,33.0,27.0,30.0,35.0,32.0,35.0,28.0
89,27.0,32.0,37.0,32.0,28.0,32.0,27.0,27.0,37.0,32.0,37.0,28.0
90,32.0,36.0,35.0,32.0,36.0,32.0,32.0,32.0,35.0,31.0,35.0,32.0
91,31.0,37.0,30.0,28.0,37.0,31.0,29.0,31.0,30.0,31.0,30.0,29.0
92,28.0,34.0,32.0,32.0,34.0,27.0,30.0,28.0,32.0,31.0,32.0,29.0
93,36.0,36.0,34.0,33.0,36.0,36.0,36.0,36.0,34.0,33.0,34.0,36.0
94,37.0,37.0,36.0,31.0,37.0,37.0,37.0,37.0,36.0,32.0,36.0,37.0
95,34.0,34.0,36.0,33.0,33.0,34.0,33.0,34.0,36.0,32.0,36.0,33.0
96,37.0,37.0,35.0,34.0,37.0,37.0,37.0,37.0,35.0,33.0,35.0,37.0
97,38.0,38.0,37.0,32.0,38.0,38.0,38.0,38.0,37.0,33.0,37.0,38.0
98,35.0,35.0,37.0,32.0,34.0,35.0,34.0,35.0,37.0,33.0,37.0,34.0
99,35.0,35.0,36.0,36.0,35.0,35.0,35.0,35.0,36.0,33.0,36.0,35.0
100,36.0,36.0,35.0,35.0,36.0,36.0,36.0,36.0,35.0,31.0,35.0,36.0
101,33.0,33.0,35.0,34.0,33.0,33.0,32.0,33.0,35.0,31.0,35.0,32.0
102,36.0,36.0,37.0,37.0,36.0,36.0,36.0,36.0,37.0,34.0,37.0,36.0
103,37.0,37.0,36.0,36.0,37.0,37.0,37.0,37.0,36.0,32.0,36.0,37.0
104,34.0,34.0,36.0,35.0,34.0,34.0,33.0,34.0,36.0,32.0,36.0,33.0
105,32.0,34.0,37.0,37.0,34.0,34.0,32.0,33.0,37.0,30.0,37.0,33.0
106,38.0,38.0,35.0,35.0,38.0,38.0,38.0,38.0,35.0,33.0,35.0,38.0
107,34.0,35.0,36.0,36.0,35.0,35.0,34.0,34.0,36.0,33.0,36.0,34.0
108,23.0,25.0,29.0,26.0,25.0,25.0,24.0,23.0,29.0,26.0,29.0,24.0
109,24.0,29.0,28.0,25.0,30.0,29.0,27.0,24.0,28.0,32.0,28.0,27.0
110,25.0,28.0,29.0,26.0,29.0,28.0,27.0,25.0,29.0,32.0,29.0,27.0
111,31.0,31.0,31.0,27.0,31.0,31.0,31.0,31.0,31.0,28.0,31.0,31.0
112,26.0,29.0,29.0,26.0,29.0,29.0,29.0,26.0,29.0,33.0,29.0,29.0
113,27.0,32.0,32.0,26.0,29.0,28.0,29.0,27.0,32.0,33.0,32.0,29.0
114,30.0,31.0,31.0,31.0,31.0,31.0,30.0,30.0,31.0,28.0,31.0,30.0
115,26.0,29.0,32.0,28.0,29.0,29.0,28.0,26.0,32.0,32.0,32.0,29.0
116,26.0,31.0,32.0,29.0,28.0,30.0,28.0,26.0,32.0,32.0,32.0,29.0
117,31.0,32.0,32.0,32.0,32.0,32.0,31.0,31.0,32.0,27.0,32.0,31.0
118,27.0,30.0,33.0,29.0,30.0,30.0,28.0,27.0,33.0,33.0,33.0,29.0
119,27.0,31.0,33.0,30.0,29.0,31.0,28.0,27.0,33.0,33.0,33.0,29.0
120,33.0,33.0,32.0,31.0,33.0,33.0,33.0,33.0,32.0,32.0,32.0,33.0
121,27.0,33.0,29.0,29.0,33.0,29.0,30.0,28.0,29.0,30.0,29.0,30.0
122,28.0,34.0,33.0,30.0,34.0,28.0,31.0,28.0,33.0,30.0,33.0,30.0
123,32.0,32.0,32.0,32.0,32.0,33.0,32.0,33.0,32.0,34.0,32.0,33.0
124,33.0,33.0,32.0,30.0,33.0,34.0,33.0,34.0,32.0,33.0,32.0,34.0
125,34.0,34.0,37.0,31.0,34.0,34.0,34.0,34.0,37.0,33.0,37.0,34.0
126,33.0,33.0,32.0,32.0,33.0,34.0,33.0,34.0,32.0,34.0,32.0,34.0
127,34.0,34.0,33.0,30.0,34.0,35.0,34.0,35.0,33.0,34.0,33.0,35.0
128,35.0,35.0,38.0,32.0,35.0,35.0,35.0,35.0,38.0,34.0,38.0,35.0
129,31.0,33.0,33.0,33.0,33.0,33.0,31.0,32.0,33.0,34.0,33.0,32.0
130,32.0,32.0,33.0,33.0,32.0,33.0,32.0,33.0,33.0,32.0,33.0,33.0
131,33.0,34.0,36.0,34.0,34.0,34.0,33.0,33.0,36.0,32.0,36.0,33.0
132,32.0,34.0,34.0,34.0,34.0,34.0,32.0,33.0,34.0,35.0,34.0,33.0
133,33.0,33.0,34.0,34.0,33.0,34.0,33.0,34.0,34.0,33.0,34.0,34.0
134,34.0,35.0,37.0,35.0,35.0,35.0,34.0,34.0,37.0,33.0,37.0,34.0
135,33.0,35.0,34.0,34.0,35.0,35.0,33.0,34.0,34.0,31.0,34.0,34.0
136,34.0,34.0,34.0,34.0,34.0,35.0,34.0,35.0,34.0,34.0,34.0,35.0
137,35.0,36.0,34.0,35.0,36.0,36.0,35.0,35.0,34.0,34.0,34.0,35.0
138,34.0,34.0,31.0,32.0,34.0,34.0,34.0,34.0,31.0,32.0,31.0,34.0
139,29.0,35.0,28.0,29.0,35.0,30.0,34.0,29.0,28.0,30.0,29.0,30.0
140,29.0,36.0,32.0,32.0,35.0,29.0,35.0,29.0,32.0,33.0,32.0,30.0
141,35.0,37.0,32.0,33.0,37.0,35.0,34.0,35.0,32.0,36.0,32.0,34.0
142,34.0,37.0,33.0,33.0,37.0,35.0,35.0,35.0,33.0,34.0,33.0,35.0
143,36.0,39.0,37.0,34.0,39.0,36.0,36.0,36.0,37.0,38.0,37.0,35.0
144,35.0,38.0,32.0,33.0,38.0,35.0,35.0,35.0,32.0,36.0,32.0,35.0
145,35.0,38.0,34.0,33.0,38.0,36.0,35.0,36.0,34.0,34.0,34.0,36.0
146,37.0,40.0,38.0,34.0,40.0,37.0,37.0,37.0,38.0,38.0,38.0,36.0
147,37.0,37.0,33.0,34.0,37.0,37.0,37.0,37.0,33.0,36.0,33.0,37.0
148,37.0,37.0,33.0,34.0,37.0,37.0,37.0,37.0,33.0,35.0,33.0,37.0
149,39.0,39.0,36.0,35.0,39.0,39.0,39.0,39.0,36.0,38.0,36.0,39.0
150,38.0,38.0,34.0,34.0,38.0,38.0,38.0,38.0,34.0,37.0,34.0,38.0
151,38.0,38.0,34.0,34.0,38.0,38.0,38.0,38.0,34.0,35.0,34.0,38.0
152,40.0,40.0,37.0,36.0,40.0,40.0,40.0,40.0,37.0,39.0,37.0,40.0
153,39.0,39.0,35.0,35.0,39.0,39.0,39.0,39.0,35.0,34.0,35.0,39.0
154,39.0,39.0,34.0,34.0,39.0,39.0,39.0,39.0,34.0,36.0,34.0,39.0
155,41.0,41.0,37.0,37.0,41.0,41.0,41.0,41.0,37.0,40.0,37.0,41.0
156,36.0,36.0,37.0,37.0,36.0,36.0,36.0,36.0,37.0,35.0,37.0,36.0
157,36.0,36.0,35.0,35.0,36.0,36.0,36.0,36.0,35.0,35.0,35.0,36.0
158,38.0,38.0,39.0,39.0,38.0,38.0,38.0,38.0,39.0,39.0,39.0,38.0
159,37.0,37.0,38.0,38.0,37.0,37.0,37.0,37.0,38.0,36.0,38.0,37.0
160,37.0,37.0,36.0,36.0,37.0,37.0,37.0,37.0,36.0,36.0,36.0,37.0
161,39.0,39.0,40.0,40.0,39.0,39.0,39.0,39.0,40.0,40.0,40.0,39.0
162,38.0,38.0,39.0,39.0,38.0,38.0,38.0,38.0,39.0,35.0,39.0,38.0
163,38.0,38.0,37.0,37.0,38.0,38.0,38.0,38.0,37.0,37.0,37.0,38.0
164,40.0,40.0,41.0,41.0,40.0,40.0,40.0,40.0,41.0,41.0,41.0,40.0
165,34.0,35.0,33.0,33.0,35.0,35.0,34.0,34.0,33.0,31.0,33.0,34.0
166,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,33.0,35.0,35.0
167,40.0,40.0,38.0,38.0,40.0,40.0,40.0,40.0,38.0,37.0,38.0,40.0
