Scenario,Roll 0,Roll 1,Roll 2,Roll 3,Roll 4,Roll 5,Roll 6,Roll 7
92,54.0,54.0,51.0,51.0,51.0,50.0,50.0,50.0
93,58.0,57.0,58.0,58.0,56.0,58.0,58.0,58.0
94,60.0,55.0,59.0,59.0,58.0,56.0,56.0,56.0
95,60.0,56.0,56.0,56.0,57.0,55.0,55.0,55.0
96,53.0,58.0,59.0,59.0,57.0,59.0,59.0,59.0
97,60.0,56.0,60.0,60.0,59.0,57.0,57.0,57.0
98,55.0,55.0,57.0,57.0,58.0,56.0,56.0,56.0
99,58.0,56.0,57.0,57.0,55.0,57.0,57.0,57.0
100,60.0,54.0,58.0,58.0,57.0,55.0,55.0,55.0
101,59.0,55.0,56.0,56.0,57.0,56.0,56.0,56.0
102,57.0,57.0,58.0,58.0,56.0,58.0,58.0,58.0
103,59.0,55.0,59.0,59.0,58.0,56.0,56.0,56.0
104,59.0,56.0,57.0,57.0,58.0,56.0,56.0,56.0
105,54.0,54.0,56.0,56.0,57.0,55.0,55.0,55.0
106,55.0,51.0,57.0,57.0,59.0,52.0,52.0,52.0
107,56.0,52.0,57.0,57.0,59.0,52.0,52.0,52.0
108,55.0,50.0,57.0,56.0,58.0,50.0,50.0,50.0
109,47.0,52.0,58.0,57.0,54.0,43.0,43.0,43.0
110,51.0,51.0,57.0,56.0,54.0,43.0,43.0,43.0
111,54.0,55.0,56.0,56.0,57.0,55.0,55.0,55.0
112,54.0,52.0,57.0,56.0,53.0,48.0,48.0,48.0
113,54.0,55.0,57.0,57.0,52.0,50.0,50.0,50.0
114,60.0,55.0,58.0,58.0,57.0,54.0,54.0,54.0
115,56.0,56.0,60.0,60.0,59.0,52.0,52.0,52.0
116,60.0,57.0,61.0,60.0,59.0,56.0,56.0,56.0
117,55.0,50.0,57.0,57.0,58.0,51.0,51.0,51.0
118,56.0,52.0,59.0,59.0,60.0,53.0,53.0,53.0
119,61.0,52.0,62.0,61.0,60.0,52.0,52.0,52.0
120,53.0,54.0,56.0,56.0,57.0,55.0,55.0,55.0
121,55.0,52.0,54.0,54.0,52.0,50.0,50.0,50.0
122,55.0,55.0,52.0,52.0,52.0,51.0,51.0,51.0
123,59.0,58.0,59.0,59.0,57.0,59.0,59.0,59.0
124,61.0,56.0,60.0,60.0,59.0,57.0,57.0,57.0
125,61.0,57.0,57.0,57.0,58.0,56.0,56.0,56.0
126,54.0,55.0,60.0,60.0,58.0,56.0,56.0,56.0
127,61.0,57.0,61.0,61.0,60.0,58.0,58.0,58.0
128,56.0,56.0,58.0,58.0,59.0,57.0,57.0,57.0
129,59.0,57.0,58.0,58.0,56.0,58.0,58.0,58.0
130,61.0,55.0,59.0,59.0,58.0,56.0,56.0,56.0
131,60.0,56.0,57.0,57.0,58.0,57.0,57.0,57.0
132,58.0,56.0,59.0,59.0,57.0,55.0,55.0,55.0
133,60.0,56.0,60.0,60.0,59.0,57.0,57.0,57.0
134,60.0,57.0,58.0,58.0,59.0,57.0,57.0,57.0
135,55.0,51.0,57.0,57.0,58.0,51.0,51.0,51.0
136,56.0,52.0,58.0,58.0,60.0,53.0,53.0,53.0
137,57.0,53.0,58.0,58.0,60.0,53.0,53.0,53.0
138,52.0,50.0,49.0,49.0,50.0,48.0,48.0,48.0
139,47.0,45.0,49.0,49.0,49.0,45.0,45.0,45.0
140,48.0,45.0,47.0,46.0,50.0,46.0,46.0,46.0
141,58.0,54.0,55.0,55.0,56.0,54.0,54.0,54.0
142,53.0,51.0,55.0,55.0,55.0,51.0,51.0,51.0
143,54.0,51.0,52.0,51.0,55.0,50.0,50.0,50.0
144,53.0,54.0,56.0,56.0,57.0,55.0,55.0,55.0
145,54.0,49.0,52.0,52.0,56.0,50.0,50.0,50.0
146,49.0,50.0,52.0,52.0,55.0,50.0,50.0,50.0
147,59.0,57.0,58.0,58.0,56.0,58.0,58.0,58.0
148,59.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0
149,60.0,55.0,55.0,55.0,54.0,55.0,55.0,55.0
150,59.0,58.0,59.0,59.0,57.0,59.0,59.0,59.0
151,60.0,55.0,56.0,56.0,56.0,56.0,56.0,56.0
152,55.0,55.0,56.0,56.0,55.0,56.0,56.0,56.0
153,54.0,55.0,59.0,59.0,58.0,56.0,56.0,56.0
154,55.0,50.0,52.0,52.0,57.0,51.0,51.0,51.0
155,50.0,51.0,56.0,56.0,55.0,51.0,51.0,51.0
156,58.0,56.0,57.0,57.0,55.0,57.0,57.0,57.0
157,60.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0
158,59.0,54.0,54.0,54.0,53.0,55.0,55.0,55.0
159,58.0,57.0,58.0,58.0,56.0,58.0,58.0,58.0
160,59.0,54.0,55.0,55.0,55.0,55.0,55.0,55.0
161,54.0,54.0,55.0,55.0,54.0,56.0,56.0,56.0
162,54.0,54.0,58.0,58.0,57.0,55.0,55.0,55.0
163,55.0,50.0,52.0,51.0,56.0,51.0,51.0,51.0
164,55.0,51.0,55.0,55.0,54.0,52.0,52.0,52.0
165,54.0,50.0,56.0,56.0,58.0,51.0,51.0,51.0
166,50.0,45.0,52.0,51.0,57.0,46.0,46.0,46.0
167,50.0,46.0,53.0,53.0,54.0,47.0,47.0,47.0
