Scenario,Roll 0,Roll 1,Roll 2,Roll 3,Roll 4,Roll 5,Roll 6,Roll 7
92,55.0,55.0,52.0,54.0,50.0,51.0,49.0,55.0
93,54.0,54.0,48.0,54.0,49.0,49.0,52.0,54.0
94,51.0,51.0,54.0,53.0,49.0,50.0,54.0,51.0
95,54.0,54.0,52.0,53.0,49.0,50.0,49.0,54.0
96,50.0,50.0,47.0,49.0,50.0,46.0,47.0,50.0
97,52.0,52.0,49.0,52.0,50.0,51.0,53.0,52.0
98,55.0,55.0,50.0,54.0,50.0,49.0,49.0,55.0
99,53.0,53.0,47.0,53.0,48.0,48.0,51.0,53.0
100,50.0,50.0,53.0,52.0,49.0,50.0,53.0,50.0
101,53.0,53.0,51.0,52.0,48.0,49.0,48.0,53.0
102,49.0,49.0,47.0,48.0,49.0,45.0,46.0,49.0
103,51.0,51.0,48.0,53.0,50.0,51.0,52.0,51.0
104,54.0,54.0,50.0,53.0,49.0,49.0,48.0,54.0
105,44.0,44.0,42.0,44.0,47.0,45.0,44.0,44.0
106,46.0,46.0,44.0,46.0,47.0,47.0,46.0,46.0
107,50.0,50.0,46.0,49.0,49.0,50.0,46.0,50.0
108,44.0,44.0,43.0,43.0,48.0,45.0,40.0,42.0
109,45.0,45.0,42.0,44.0,48.0,46.0,40.0,44.0
110,49.0,49.0,47.0,49.0,49.0,46.0,46.0,48.0
111,49.0,49.0,48.0,48.0,51.0,45.0,46.0,48.0
112,50.0,50.0,48.0,49.0,47.0,46.0,47.0,49.0
113,50.0,50.0,54.0,50.0,51.0,49.0,52.0,51.0
114,48.0,48.0,48.0,47.0,50.0,44.0,46.0,47.0
115,49.0,49.0,48.0,48.0,47.0,46.0,46.0,48.0
116,49.0,49.0,54.0,49.0,50.0,48.0,52.0,50.0
117,45.0,45.0,43.0,45.0,47.0,45.0,40.0,44.0
118,46.0,46.0,42.0,45.0,48.0,47.0,41.0,45.0
119,50.0,50.0,48.0,50.0,51.0,46.0,46.0,49.0
120,54.0,54.0,49.0,53.0,48.0,49.0,47.0,53.0
121,51.0,51.0,55.0,50.0,45.0,46.0,53.0,50.0
122,55.0,55.0,53.0,54.0,48.0,49.0,49.0,54.0
123,54.0,54.0,49.0,53.0,48.0,49.0,47.0,53.0
124,51.0,51.0,55.0,50.0,48.0,45.0,53.0,50.0
125,54.0,54.0,53.0,53.0,50.0,49.0,49.0,53.0
126,50.0,50.0,48.0,49.0,49.0,46.0,45.0,49.0
127,52.0,52.0,49.0,51.0,47.0,46.0,48.0,51.0
128,55.0,55.0,50.0,54.0,51.0,49.0,48.0,54.0
129,53.0,53.0,48.0,52.0,47.0,48.0,46.0,52.0
130,50.0,50.0,54.0,50.0,47.0,45.0,52.0,49.0
131,53.0,53.0,52.0,52.0,49.0,48.0,48.0,52.0
132,49.0,49.0,48.0,48.0,48.0,45.0,45.0,48.0
133,51.0,51.0,48.0,51.0,47.0,46.0,47.0,50.0
134,54.0,54.0,50.0,53.0,50.0,48.0,48.0,53.0
135,45.0,45.0,43.0,45.0,48.0,46.0,39.0,43.0
136,46.0,46.0,42.0,45.0,48.0,47.0,41.0,45.0
137,50.0,50.0,47.0,50.0,47.0,47.0,41.0,49.0
138,55.0,55.0,49.0,55.0,47.0,48.0,48.0,52.0
139,51.0,51.0,51.0,56.0,46.0,47.0,49.0,50.0
140,52.0,52.0,51.0,57.0,51.0,52.0,50.0,53.0
141,54.0,54.0,49.0,55.0,51.0,52.0,48.0,51.0
142,51.0,51.0,55.0,55.0,50.0,51.0,53.0,52.0
143,51.0,51.0,53.0,56.0,55.0,56.0,50.0,52.0
144,55.0,55.0,50.0,54.0,49.0,50.0,48.0,48.0
145,52.0,52.0,56.0,56.0,50.0,51.0,54.0,53.0
146,51.0,51.0,54.0,56.0,50.0,51.0,50.0,51.0
147,54.0,54.0,49.0,54.0,50.0,51.0,47.0,50.0
148,51.0,51.0,55.0,55.0,49.0,50.0,53.0,52.0
149,50.0,50.0,53.0,55.0,54.0,55.0,49.0,51.0
150,55.0,55.0,50.0,54.0,51.0,52.0,48.0,48.0
151,52.0,52.0,56.0,56.0,50.0,51.0,54.0,53.0
152,51.0,51.0,54.0,56.0,55.0,56.0,50.0,51.0
153,49.0,49.0,47.0,49.0,47.0,48.0,45.0,46.0
154,46.0,46.0,50.0,51.0,46.0,47.0,48.0,47.0
155,51.0,51.0,49.0,53.0,51.0,52.0,47.0,52.0
156,53.0,53.0,48.0,53.0,50.0,51.0,46.0,49.0
157,50.0,50.0,54.0,54.0,49.0,50.0,52.0,51.0
158,49.0,49.0,52.0,54.0,54.0,55.0,48.0,50.0
159,54.0,54.0,49.0,53.0,51.0,52.0,47.0,47.0
160,51.0,51.0,55.0,55.0,50.0,51.0,53.0,52.0
161,50.0,50.0,53.0,55.0,55.0,56.0,49.0,50.0
162,48.0,48.0,47.0,49.0,47.0,48.0,45.0,45.0
163,46.0,46.0,49.0,51.0,46.0,47.0,47.0,47.0
164,50.0,50.0,49.0,54.0,51.0,52.0,47.0,51.0
165,45.0,45.0,42.0,44.0,46.0,45.0,41.0,38.0
166,40.0,40.0,42.0,45.0,47.0,46.0,41.0,40.0
167,45.0,45.0,46.0,50.0,46.0,47.0,43.0,44.0
