Scenario,Roll 0,Roll 1,Roll 2,Roll 3,Roll 4,Roll 5
121,33.0,38.0,36.0,37.0,37.0,37.0
122,36.0,41.0,38.0,37.0,37.0,37.0
123,36.0,38.0,36.0,36.0,36.0,36.0
124,37.0,38.0,37.0,36.0,36.0,36.0
125,38.0,41.0,38.0,37.0,37.0,37.0
126,36.0,38.0,36.0,37.0,37.0,37.0
127,36.0,39.0,38.0,37.0,37.0,37.0
128,37.0,41.0,38.0,38.0,38.0,38.0
129,36.0,37.0,35.0,35.0,35.0,35.0
130,37.0,37.0,36.0,35.0,35.0,35.0
131,38.0,40.0,37.0,36.0,36.0,36.0
132,36.0,37.0,35.0,36.0,36.0,36.0
133,36.0,38.0,37.0,36.0,36.0,36.0
134,38.0,40.0,37.0,37.0,37.0,37.0
135,36.0,34.0,36.0,31.0,31.0,31.0
136,36.0,37.0,36.0,31.0,31.0,31.0
137,37.0,39.0,37.0,32.0,32.0,32.0
138,34.0,33.0,34.0,33.0,33.0,33.0
139,34.0,33.0,34.0,36.0,36.0,36.0
140,36.0,35.0,37.0,38.0,38.0,38.0
141,35.0,36.0,34.0,34.0,34.0,34.0
142,35.0,34.0,37.0,37.0,37.0,37.0
143,37.0,40.0,37.0,38.0,38.0,38.0
144,34.0,36.0,34.0,35.0,35.0,35.0
145,34.0,34.0,37.0,38.0,38.0,38.0
146,37.0,40.0,37.0,38.0,38.0,38.0
147,35.0,36.0,34.0,37.0,37.0,37.0
148,35.0,34.0,37.0,36.0,36.0,36.0
149,37.0,39.0,37.0,37.0,37.0,37.0
150,34.0,36.0,34.0,38.0,38.0,38.0
151,36.0,34.0,37.0,37.0,37.0,37.0
152,37.0,39.0,37.0,37.0,37.0,37.0
153,35.0,36.0,35.0,34.0,34.0,34.0
154,37.0,34.0,37.0,36.0,36.0,36.0
155,37.0,36.0,37.0,36.0,36.0,36.0
156,34.0,35.0,33.0,36.0,36.0,36.0
157,34.0,33.0,36.0,35.0,35.0,35.0
158,36.0,38.0,36.0,36.0,36.0,36.0
159,34.0,35.0,33.0,37.0,37.0,37.0
160,35.0,33.0,36.0,36.0,36.0,36.0
161,36.0,38.0,36.0,36.0,36.0,36.0
162,34.0,35.0,34.0,34.0,34.0,34.0
163,36.0,33.0,36.0,35.0,35.0,35.0
164,36.0,36.0,36.0,36.0,36.0,36.0
165,33.0,31.0,33.0,29.0,29.0,29.0
166,35.0,32.0,35.0,30.0,30.0,30.0
167,35.0,34.0,35.0,31.0,31.0,31.0
