Scenario,Roll 0,Roll 1,Roll 2,Roll 3,Roll 4,Roll 5,Roll 6,Roll 7,Roll 8,Roll 9,Roll 10,Roll 11
62,42.0,42.0,41.0,41.0,41.0,41.0,39.0,40.0,42.0,38.0,41.0,42.0
63,41.0,41.0,41.0,40.0,39.0,40.0,39.0,41.0,40.0,36.0,39.0,40.0
64,42.0,42.0,41.0,42.0,41.0,41.0,42.0,41.0,41.0,39.0,41.0,41.0
65,42.0,42.0,42.0,41.0,41.0,41.0,43.0,41.0,42.0,39.0,42.0,42.0
66,42.0,42.0,42.0,40.0,40.0,41.0,38.0,40.0,41.0,37.0,40.0,41.0
67,42.0,42.0,42.0,42.0,41.0,41.0,43.0,41.0,42.0,40.0,41.0,42.0
68,43.0,43.0,43.0,41.0,41.0,42.0,42.0,41.0,43.0,40.0,43.0,43.0
69,41.0,42.0,41.0,40.0,41.0,41.0,39.0,40.0,41.0,42.0,40.0,40.0
70,43.0,43.0,42.0,43.0,43.0,42.0,42.0,41.0,42.0,43.0,42.0,42.0
71,43.0,43.0,43.0,41.0,42.0,42.0,43.0,41.0,43.0,43.0,42.0,43.0
72,41.0,41.0,41.0,39.0,40.0,40.0,38.0,40.0,40.0,41.0,39.0,40.0
73,42.0,42.0,41.0,42.0,42.0,41.0,41.0,40.0,42.0,42.0,41.0,42.0
74,43.0,43.0,43.0,41.0,41.0,42.0,42.0,41.0,43.0,42.0,41.0,43.0
75,40.0,41.0,40.0,39.0,40.0,40.0,39.0,39.0,40.0,36.0,40.0,40.0
76,42.0,42.0,41.0,42.0,42.0,41.0,40.0,40.0,42.0,40.0,41.0,42.0
77,43.0,43.0,42.0,42.0,42.0,42.0,43.0,41.0,43.0,40.0,41.0,43.0
78,41.0,41.0,41.0,39.0,39.0,40.0,38.0,40.0,41.0,37.0,40.0,41.0
79,43.0,43.0,43.0,42.0,41.0,42.0,42.0,41.0,42.0,40.0,41.0,42.0
