Scenario,Roll 0,Roll 1,Roll 2,Roll 3,Roll 4
0,48.0,46.0,46.0,47.0,47.0
1,49.0,47.0,47.0,48.0,48.0
2,49.0,47.0,47.0,48.0,48.0
3,47.0,46.0,46.0,46.0,46.0
4,49.0,47.0,47.0,49.0,48.0
5,49.0,48.0,48.0,48.0,48.0
6,48.0,46.0,46.0,47.0,47.0
7,48.0,48.0,48.0,48.0,47.0
8,48.0,48.0,48.0,47.0,48.0
9,47.0,45.0,46.0,46.0,46.0
10,47.0,46.0,46.0,46.0,46.0
11,49.0,47.0,47.0,48.0,48.0
12,46.0,44.0,45.0,46.0,45.0
13,46.0,45.0,45.0,46.0,45.0
14,48.0,46.0,46.0,47.0,47.0
15,47.0,45.0,46.0,47.0,46.0
16,47.0,46.0,46.0,47.0,46.0
17,49.0,46.0,47.0,48.0,48.0
18,46.0,46.0,46.0,45.0,45.0
19,48.0,47.0,47.0,48.0,47.0
20,48.0,47.0,47.0,47.0,47.0
21,47.0,47.0,47.0,46.0,46.0
22,47.0,47.0,47.0,47.0,46.0
23,48.0,48.0,48.0,47.0,47.0
24,46.0,46.0,46.0,45.0,45.0
25,46.0,47.0,47.0,45.0,45.0
26,48.0,47.0,47.0,47.0,47.0
27,45.0,45.0,45.0,45.0,44.0
28,45.0,46.0,46.0,45.0,44.0
29,47.0,46.0,46.0,46.0,46.0
30,46.0,44.0,45.0,46.0,45.0
31,46.0,46.0,46.0,46.0,45.0
32,48.0,46.0,47.0,47.0,47.0
33,45.0,47.0,47.0,44.0,44.0
34,47.0,48.0,48.0,48.0,46.0
35,47.0,49.0,49.0,46.0,46.0
36,47.0,45.0,45.0,46.0,46.0
37,47.0,48.0,48.0,46.0,46.0
38,47.0,47.0,47.0,46.0,47.0
39,46.0,44.0,44.0,45.0,45.0
40,46.0,47.0,47.0,46.0,45.0
41,46.0,46.0,46.0,45.0,46.0
42,45.0,45.0,45.0,44.0,44.0
43,47.0,47.0,47.0,47.0,46.0
44,47.0,47.0,47.0,46.0,46.0
45,46.0,45.0,45.0,45.0,45.0
46,46.0,46.0,46.0,46.0,45.0
47,48.0,47.0,47.0,47.0,47.0
48,45.0,44.0,44.0,44.0,44.0
49,45.0,46.0,46.0,45.0,44.0
50,47.0,46.0,46.0,46.0,46.0
51,46.0,45.0,45.0,45.0,45.0
52,46.0,47.0,47.0,46.0,45.0
53,48.0,46.0,46.0,47.0,47.0
54,44.0,43.0,43.0,44.0,43.0
55,44.0,45.0,45.0,44.0,43.0
56,46.0,45.0,45.0,46.0,45.0
57,45.0,44.0,44.0,45.0,44.0
58,45.0,46.0,46.0,45.0,44.0
59,47.0,45.0,46.0,47.0,46.0
60,44.0,44.0,44.0,44.0,43.0
61,46.0,45.0,45.0,46.0,45.0
62,46.0,45.0,45.0,46.0,45.0
63,45.0,45.0,45.0,44.0,44.0
64,47.0,47.0,47.0,47.0,46.0
65,47.0,47.0,47.0,46.0,46.0
66,46.0,46.0,46.0,45.0,45.0
67,46.0,48.0,48.0,46.0,45.0
68,47.0,48.0,48.0,46.0,46.0
69,45.0,45.0,45.0,44.0,44.0
70,45.0,47.0,47.0,44.0,44.0
71,47.0,47.0,47.0,46.0,46.0
72,44.0,44.0,44.0,44.0,43.0
73,44.0,46.0,46.0,44.0,43.0
74,46.0,46.0,46.0,45.0,45.0
75,45.0,45.0,45.0,45.0,44.0
76,45.0,46.0,46.0,45.0,44.0
77,47.0,47.0,47.0,46.0,46.0
78,44.0,47.0,47.0,43.0,43.0
79,46.0,49.0,49.0,47.0,45.0
80,46.0,49.0,49.0,45.0,45.0
81,46.0,46.0,46.0,45.0,45.0
82,46.0,48.0,48.0,45.0,45.0
83,47.0,48.0,48.0,46.0,46.0
84,45.0,45.0,45.0,44.0,44.0
85,45.0,47.0,47.0,45.0,44.0
86,46.0,47.0,47.0,45.0,45.0
87,44.0,46.0,46.0,43.0,43.0
88,46.0,47.0,47.0,46.0,45.0
89,46.0,48.0,48.0,45.0,45.0
90,45.0,45.0,44.0,44.0,44.0
91,45.0,46.0,47.0,45.0,44.0
92,47.0,46.0,46.0,46.0,46.0
93,44.0,44.0,44.0,43.0,43.0
94,44.0,46.0,46.0,44.0,43.0
95,46.0,45.0,45.0,45.0,45.0
96,45.0,45.0,44.0,44.0,44.0
97,45.0,47.0,47.0,45.0,44.0
98,47.0,46.0,46.0,46.0,46.0
99,43.0,43.0,43.0,43.0,42.0
100,43.0,45.0,45.0,43.0,42.0
101,45.0,44.0,44.0,45.0,44.0
102,44.0,44.0,44.0,44.0,43.0
103,44.0,46.0,46.0,44.0,43.0
104,46.0,45.0,45.0,46.0,45.0
105,43.0,44.0,44.0,43.0,42.0
106,45.0,46.0,46.0,45.0,44.0
107,45.0,46.0,46.0,45.0,44.0
108,44.0,46.0,46.0,43.0,43.0
109,46.0,46.0,46.0,45.0,45.0
110,46.0,48.0,48.0,45.0,45.0
111,44.0,47.0,47.0,43.0,43.0
112,46.0,47.0,47.0,45.0,45.0
113,46.0,48.0,49.0,45.0,45.0
114,44.0,46.0,46.0,42.0,42.0
115,45.0,46.0,46.0,44.0,44.0
116,45.0,48.0,48.0,44.0,44.0
117,44.0,47.0,47.0,43.0,43.0
118,46.0,46.0,46.0,45.0,45.0
119,46.0,48.0,48.0,45.0,45.0
120,46.0,44.0,44.0,45.0,45.0
121,46.0,47.0,48.0,45.0,45.0
122,46.0,46.0,46.0,45.0,46.0
123,45.0,43.0,44.0,44.0,44.0
124,45.0,47.0,47.0,44.0,44.0
125,45.0,45.0,45.0,44.0,45.0
126,44.0,44.0,44.0,44.0,43.0
127,46.0,47.0,47.0,45.0,45.0
128,46.0,46.0,46.0,45.0,45.0
