Scenario,Roll 0,Roll 1,Roll 2,Roll 3,Roll 4,Roll 5,Roll 6,Roll 7,Roll 8
82,44.0,43.0,43.0,43.0,43.0,43.0,43.0,45.0,41.0
83,43.0,44.0,44.0,44.0,44.0,44.0,44.0,43.0,42.0
84,42.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,40.0
85,44.0,42.0,42.0,42.0,42.0,42.0,42.0,45.0,40.0
86,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,42.0
87,39.0,40.0,40.0,40.0,40.0,40.0,40.0,33.0,39.0
88,45.0,41.0,41.0,41.0,41.0,41.0,41.0,39.0,41.0
89,43.0,44.0,44.0,44.0,44.0,44.0,44.0,38.0,41.0
90,42.0,41.0,41.0,41.0,41.0,41.0,41.0,40.0,43.0
91,43.0,44.0,44.0,44.0,44.0,44.0,44.0,43.0,44.0
92,41.0,42.0,42.0,42.0,42.0,42.0,42.0,44.0,43.0
93,44.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,43.0
94,45.0,43.0,43.0,43.0,43.0,43.0,43.0,45.0,43.0
95,45.0,42.0,42.0,42.0,42.0,42.0,42.0,44.0,42.0
96,45.0,41.0,41.0,41.0,41.0,41.0,41.0,39.0,40.0
97,44.0,44.0,44.0,44.0,44.0,44.0,44.0,46.0,41.0
98,46.0,43.0,43.0,43.0,43.0,43.0,43.0,44.0,41.0
99,44.0,40.0,40.0,40.0,40.0,40.0,40.0,39.0,42.0
100,45.0,42.0,42.0,42.0,42.0,42.0,42.0,45.0,42.0
101,45.0,45.0,45.0,45.0,45.0,45.0,45.0,43.0,41.0
102,45.0,41.0,41.0,41.0,41.0,41.0,41.0,39.0,40.0
103,44.0,43.0,43.0,43.0,43.0,43.0,43.0,46.0,41.0
104,46.0,46.0,46.0,46.0,46.0,46.0,46.0,44.0,42.0
105,40.0,42.0,42.0,42.0,42.0,42.0,42.0,36.0,36.0
106,40.0,42.0,42.0,42.0,42.0,42.0,42.0,39.0,38.0
107,45.0,47.0,47.0,47.0,47.0,47.0,47.0,41.0,41.0
108,37.0,34.0,34.0,34.0,34.0,34.0,34.0,32.0,34.0
109,37.0,35.0,35.0,35.0,35.0,35.0,35.0,34.0,35.0
110,37.0,38.0,38.0,38.0,38.0,38.0,38.0,35.0,36.0
111,42.0,35.0,35.0,35.0,35.0,35.0,35.0,39.0,36.0
112,39.0,38.0,39.0,39.0,39.0,39.0,39.0,40.0,39.0
113,42.0,41.0,41.0,41.0,41.0,41.0,41.0,43.0,40.0
114,41.0,34.0,34.0,34.0,34.0,34.0,34.0,39.0,40.0
115,39.0,37.0,38.0,38.0,38.0,38.0,38.0,40.0,40.0
116,42.0,40.0,40.0,40.0,40.0,40.0,40.0,43.0,42.0
