Scenario,Roll 0,Roll 1,Roll 2,Roll 3,Roll 4,Roll 5,Roll 6
105,49.0,49.0,48.0,49.0,46.0,46.0,48.0
106,54.0,54.0,53.0,54.0,43.0,44.0,53.0
107,49.0,49.0,48.0,49.0,43.0,43.0,48.0
108,41.0,36.0,35.0,41.0,34.0,34.0,35.0
109,43.0,39.0,38.0,43.0,41.0,41.0,38.0
110,46.0,42.0,41.0,46.0,39.0,39.0,41.0
111,45.0,40.0,39.0,45.0,38.0,38.0,39.0
112,47.0,44.0,43.0,47.0,45.0,45.0,43.0
113,49.0,45.0,44.0,49.0,42.0,42.0,44.0
114,50.0,46.0,45.0,50.0,46.0,46.0,45.0
115,46.0,43.0,42.0,46.0,45.0,45.0,42.0
116,48.0,44.0,43.0,48.0,41.0,41.0,43.0
117,46.0,42.0,41.0,46.0,42.0,42.0,41.0
118,43.0,39.0,38.0,43.0,41.0,41.0,38.0
119,44.0,40.0,39.0,44.0,39.0,39.0,39.0
120,44.0,40.0,39.0,44.0,38.0,38.0,39.0
121,49.0,45.0,44.0,49.0,42.0,42.0,44.0
122,48.0,44.0,43.0,48.0,40.0,40.0,43.0
123,51.0,47.0,46.0,51.0,46.0,46.0,46.0
124,49.0,45.0,44.0,49.0,45.0,45.0,44.0
125,49.0,45.0,44.0,49.0,44.0,44.0,44.0
126,47.0,43.0,42.0,47.0,42.0,42.0,42.0
127,49.0,45.0,44.0,49.0,44.0,44.0,44.0
128,48.0,44.0,43.0,48.0,44.0,44.0,43.0
129,53.0,49.0,48.0,53.0,46.0,46.0,48.0
130,58.0,54.0,53.0,58.0,47.0,47.0,53.0
131,53.0,49.0,48.0,53.0,47.0,47.0,48.0
132,53.0,49.0,48.0,53.0,46.0,46.0,48.0
133,58.0,54.0,53.0,58.0,47.0,47.0,53.0
134,53.0,49.0,48.0,53.0,47.0,47.0,48.0
135,49.0,45.0,44.0,49.0,42.0,42.0,44.0
136,54.0,50.0,49.0,54.0,43.0,43.0,49.0
137,49.0,45.0,44.0,49.0,43.0,43.0,44.0
138,43.0,40.0,39.0,44.0,38.0,38.0,39.0
139,44.0,44.0,43.0,45.0,34.0,35.0,43.0
140,42.0,42.0,41.0,43.0,35.0,34.0,41.0
141,43.0,40.0,39.0,43.0,38.0,38.0,39.0
142,44.0,44.0,43.0,44.0,36.0,39.0,43.0
143,43.0,43.0,42.0,43.0,37.0,36.0,42.0
144,44.0,38.0,37.0,44.0,38.0,38.0,37.0
145,45.0,45.0,44.0,45.0,35.0,39.0,44.0
146,42.0,42.0,41.0,42.0,36.0,36.0,41.0
147,51.0,47.0,46.0,51.0,46.0,46.0,46.0
148,48.0,44.0,43.0,47.0,42.0,42.0,43.0
149,44.0,43.0,42.0,44.0,40.0,39.0,42.0
150,51.0,47.0,46.0,51.0,46.0,46.0,46.0
151,48.0,45.0,44.0,47.0,42.0,42.0,44.0
152,44.0,43.0,42.0,44.0,40.0,39.0,42.0
153,47.0,43.0,42.0,47.0,42.0,42.0,42.0
154,45.0,45.0,44.0,45.0,38.0,38.0,44.0
155,42.0,42.0,41.0,42.0,36.0,35.0,41.0
156,52.0,46.0,45.0,52.0,45.0,45.0,45.0
157,53.0,53.0,52.0,53.0,43.0,43.0,52.0
158,48.0,48.0,47.0,48.0,42.0,41.0,47.0
159,53.0,46.0,45.0,53.0,45.0,45.0,45.0
160,54.0,54.0,53.0,54.0,43.0,43.0,53.0
161,49.0,49.0,48.0,49.0,42.0,41.0,48.0
162,53.0,46.0,45.0,53.0,45.0,45.0,45.0
163,54.0,54.0,53.0,54.0,43.0,43.0,53.0
164,49.0,49.0,48.0,49.0,42.0,41.0,48.0
165,49.0,42.0,41.0,49.0,41.0,41.0,41.0
166,50.0,50.0,49.0,50.0,39.0,39.0,49.0
167,45.0,45.0,44.0,45.0,38.0,37.0,44.0
