Scenario,Roll 0,Roll 1,Roll 2,Roll 3,Roll 4,Roll 5,Roll 6
105,43.0,42.0,44.0,42.0,44.0,43.0,46.0
106,45.0,47.0,43.0,43.0,45.0,47.0,47.0
107,45.0,47.0,44.0,44.0,44.0,47.0,47.0
108,42.0,41.0,46.0,43.0,46.0,43.0,42.0
109,44.0,46.0,46.0,44.0,46.0,49.0,46.0
110,47.0,47.0,47.0,47.0,47.0,49.0,47.0
111,43.0,44.0,45.0,43.0,47.0,44.0,44.0
112,47.0,47.0,47.0,47.0,46.0,50.0,47.0
113,48.0,46.0,46.0,48.0,47.0,47.0,47.0
114,42.0,43.0,46.0,43.0,46.0,43.0,46.0
115,46.0,46.0,47.0,46.0,47.0,49.0,46.0
116,47.0,46.0,46.0,47.0,47.0,49.0,47.0
117,43.0,43.0,45.0,43.0,45.0,43.0,47.0
118,44.0,46.0,46.0,44.0,46.0,48.0,46.0
119,47.0,46.0,47.0,47.0,47.0,49.0,47.0
120,43.0,43.0,44.0,43.0,44.0,44.0,45.0
121,47.0,47.0,46.0,47.0,47.0,47.0,47.0
122,45.0,48.0,45.0,46.0,46.0,46.0,48.0
123,43.0,46.0,45.0,43.0,45.0,44.0,47.0
124,47.0,47.0,46.0,47.0,47.0,48.0,49.0
125,47.0,48.0,46.0,47.0,46.0,47.0,50.0
126,43.0,44.0,45.0,44.0,45.0,44.0,45.0
127,47.0,47.0,46.0,47.0,47.0,49.0,47.0
128,45.0,45.0,45.0,47.0,46.0,46.0,46.0
129,42.0,45.0,45.0,42.0,45.0,43.0,47.0
130,46.0,47.0,45.0,46.0,46.0,47.0,48.0
131,47.0,47.0,46.0,47.0,46.0,47.0,49.0
132,43.0,46.0,45.0,43.0,45.0,43.0,47.0
133,46.0,48.0,46.0,46.0,46.0,48.0,49.0
134,47.0,46.0,46.0,46.0,46.0,47.0,48.0
135,43.0,42.0,45.0,42.0,45.0,44.0,46.0
136,45.0,47.0,42.0,43.0,46.0,47.0,47.0
137,45.0,47.0,43.0,44.0,43.0,47.0,48.0
138,44.0,44.0,44.0,44.0,44.0,44.0,44.0
139,45.0,49.0,45.0,45.0,45.0,44.0,49.0
140,45.0,49.0,44.0,44.0,44.0,44.0,49.0
141,44.0,46.0,44.0,44.0,44.0,44.0,46.0
142,47.0,49.0,46.0,46.0,46.0,46.0,51.0
143,47.0,50.0,46.0,46.0,46.0,46.0,51.0
144,43.0,44.0,42.0,44.0,44.0,44.0,47.0
145,45.0,47.0,45.0,47.0,47.0,47.0,47.0
146,46.0,49.0,46.0,46.0,46.0,46.0,49.0
147,43.0,46.0,43.0,43.0,43.0,43.0,47.0
148,46.0,49.0,46.0,47.0,47.0,47.0,50.0
149,47.0,50.0,46.0,46.0,46.0,46.0,51.0
150,43.0,44.0,42.0,43.0,43.0,43.0,48.0
151,47.0,48.0,46.0,46.0,46.0,47.0,49.0
152,47.0,50.0,46.0,46.0,46.0,46.0,50.0
153,44.0,44.0,42.0,44.0,44.0,44.0,48.0
154,46.0,48.0,44.0,44.0,46.0,48.0,48.0
155,45.0,47.0,45.0,45.0,45.0,46.0,47.0
156,42.0,47.0,42.0,42.0,42.0,42.0,47.0
157,45.0,49.0,45.0,46.0,46.0,46.0,51.0
158,46.0,49.0,45.0,45.0,45.0,45.0,50.0
159,42.0,48.0,41.0,43.0,43.0,42.0,48.0
160,46.0,49.0,45.0,45.0,46.0,46.0,49.0
161,47.0,49.0,46.0,46.0,46.0,46.0,49.0
162,43.0,46.0,41.0,43.0,43.0,43.0,47.0
163,45.0,48.0,45.0,43.0,46.0,47.0,48.0
164,45.0,47.0,44.0,45.0,44.0,46.0,48.0
165,44.0,42.0,42.0,42.0,42.0,43.0,46.0
166,45.0,47.0,42.0,43.0,43.0,45.0,47.0
167,46.0,44.0,44.0,44.0,44.0,44.0,45.0
