Scenario,Roll 0,Roll 1,Roll 2,Roll 3,Roll 4,Roll 5,Roll 6,Roll 7,Roll 8,Roll 9,Roll 10,Roll 11,Roll 12,Roll 13
53,55.0,53.0,59.0,53.0,61.0,55.0,48.0,54.0,56.0,61.0,59.0,61.0,56.0,54.0
54,64.0,65.0,65.0,63.0,58.0,63.0,63.0,65.0,64.0,59.0,58.0,59.0,60.0,57.0
55,57.0,57.0,61.0,55.0,59.0,58.0,55.0,57.0,57.0,60.0,59.0,60.0,62.0,52.0
56,62.0,60.0,61.0,60.0,63.0,57.0,55.0,60.0,62.0,61.0,63.0,61.0,62.0,53.0
57,64.0,65.0,65.0,63.0,57.0,63.0,63.0,65.0,64.0,59.0,56.0,59.0,60.0,58.0
58,57.0,57.0,61.0,55.0,57.0,58.0,55.0,57.0,57.0,60.0,56.0,60.0,62.0,53.0
59,62.0,60.0,61.0,60.0,61.0,57.0,55.0,60.0,62.0,61.0,60.0,61.0,62.0,53.0
60,60.0,61.0,60.0,59.0,57.0,59.0,59.0,60.0,59.0,55.0,53.0,55.0,56.0,58.0
61,53.0,53.0,56.0,51.0,57.0,54.0,51.0,52.0,52.0,56.0,51.0,56.0,57.0,53.0
62,58.0,56.0,59.0,56.0,61.0,55.0,51.0,56.0,57.0,61.0,55.0,61.0,57.0,51.0
63,57.0,58.0,64.0,56.0,57.0,62.0,56.0,63.0,62.0,56.0,58.0,56.0,61.0,57.0
64,55.0,56.0,56.0,54.0,56.0,60.0,54.0,55.0,54.0,48.0,58.0,54.0,53.0,57.0
65,59.0,56.0,60.0,56.0,56.0,59.0,55.0,59.0,60.0,52.0,58.0,51.0,58.0,54.0
66,58.0,59.0,65.0,57.0,58.0,63.0,57.0,64.0,63.0,57.0,59.0,57.0,62.0,58.0
67,56.0,57.0,56.0,55.0,57.0,61.0,55.0,56.0,55.0,49.0,59.0,55.0,54.0,58.0
68,60.0,57.0,61.0,57.0,57.0,60.0,56.0,60.0,61.0,53.0,59.0,52.0,59.0,52.0
69,56.0,57.0,58.0,55.0,58.0,58.0,55.0,58.0,57.0,55.0,56.0,54.0,58.0,57.0
