Scenario,Roll 0,Roll 1,Roll 2,Roll 3,Roll 4,Roll 5,Roll 6,Roll 7,Roll 8,Roll 9,Roll 10
68,46.0,45.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0
69,43.0,43.0,44.0,43.0,43.0,43.0,43.0,42.0,43.0,44.0,42.0
70,45.0,45.0,45.0,45.0,44.0,44.0,45.0,45.0,45.0,43.0,45.0
71,45.0,45.0,45.0,45.0,45.0,45.0,45.0,44.0,45.0,43.0,43.0
72,43.0,43.0,43.0,42.0,42.0,42.0,42.0,42.0,42.0,43.0,42.0
73,44.0,45.0,44.0,44.0,43.0,43.0,44.0,45.0,44.0,43.0,45.0
74,45.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,42.0,42.0
75,44.0,44.0,44.0,43.0,41.0,42.0,43.0,41.0,43.0,44.0,41.0
76,45.0,46.0,43.0,45.0,43.0,43.0,45.0,43.0,45.0,43.0,43.0
77,46.0,45.0,44.0,45.0,43.0,44.0,45.0,45.0,45.0,42.0,43.0
78,41.0,44.0,44.0,45.0,45.0,45.0,45.0,42.0,45.0,45.0,42.0
79,47.0,45.0,45.0,45.0,45.0,45.0,45.0,44.0,47.0,45.0,44.0
80,43.0,46.0,46.0,47.0,47.0,47.0,47.0,45.0,47.0,45.0,45.0
81,41.0,44.0,43.0,44.0,44.0,44.0,44.0,42.0,44.0,45.0,42.0
82,45.0,45.0,43.0,46.0,45.0,45.0,46.0,44.0,46.0,43.0,44.0
83,43.0,45.0,45.0,46.0,46.0,46.0,46.0,44.0,46.0,44.0,44.0
84,40.0,43.0,42.0,43.0,43.0,43.0,43.0,41.0,43.0,44.0,41.0
85,44.0,44.0,42.0,45.0,44.0,44.0,45.0,44.0,45.0,44.0,44.0
86,42.0,44.0,44.0,45.0,45.0,45.0,45.0,43.0,45.0,43.0,43.0
87,41.0,44.0,43.0,43.0,42.0,42.0,43.0,42.0,44.0,45.0,42.0
88,45.0,45.0,43.0,45.0,44.0,44.0,45.0,44.0,46.0,43.0,44.0
89,43.0,45.0,44.0,45.0,44.0,44.0,45.0,44.0,46.0,43.0,44.0
90,41.0,43.0,43.0,42.0,43.0,43.0,42.0,41.0,43.0,41.0,40.0
91,45.0,45.0,43.0,44.0,45.0,45.0,44.0,42.0,45.0,42.0,42.0
92,42.0,45.0,45.0,44.0,44.0,44.0,44.0,43.0,45.0,43.0,43.0
93,41.0,42.0,42.0,42.0,42.0,42.0,42.0,41.0,42.0,41.0,41.0
94,44.0,44.0,42.0,44.0,44.0,44.0,44.0,42.0,44.0,43.0,42.0
95,42.0,44.0,44.0,44.0,43.0,43.0,44.0,44.0,44.0,42.0,43.0
96,41.0,43.0,43.0,43.0,42.0,42.0,43.0,42.0,43.0,40.0,42.0
97,45.0,45.0,43.0,45.0,44.0,44.0,45.0,43.0,45.0,42.0,43.0
98,43.0,45.0,45.0,45.0,44.0,44.0,45.0,45.0,45.0,42.0,44.0
99,40.0,42.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,40.0,41.0
100,43.0,43.0,41.0,43.0,43.0,43.0,43.0,42.0,43.0,42.0,42.0
101,42.0,44.0,43.0,43.0,42.0,42.0,43.0,44.0,43.0,41.0,43.0
102,40.0,43.0,42.0,42.0,41.0,41.0,42.0,42.0,42.0,40.0,42.0
103,44.0,44.0,42.0,44.0,43.0,43.0,44.0,43.0,44.0,43.0,43.0
104,43.0,45.0,44.0,44.0,43.0,43.0,44.0,45.0,44.0,42.0,44.0
105,41.0,44.0,42.0,43.0,42.0,42.0,43.0,40.0,42.0,39.0,41.0
106,45.0,44.0,43.0,44.0,43.0,43.0,44.0,41.0,45.0,42.0,42.0
107,42.0,46.0,44.0,45.0,44.0,44.0,45.0,43.0,44.0,41.0,43.0
108,42.0,44.0,37.0,44.0,43.0,43.0,44.0,39.0,46.0,41.0,39.0
109,44.0,46.0,38.0,46.0,45.0,45.0,46.0,41.0,48.0,43.0,41.0
110,44.0,46.0,43.0,46.0,45.0,45.0,46.0,44.0,48.0,44.0,44.0
111,41.0,44.0,37.0,43.0,45.0,45.0,43.0,42.0,45.0,43.0,42.0
112,43.0,45.0,43.0,45.0,45.0,45.0,45.0,44.0,47.0,44.0,44.0
113,43.0,45.0,42.0,45.0,47.0,47.0,45.0,44.0,47.0,44.0,44.0
114,40.0,43.0,36.0,42.0,44.0,44.0,42.0,42.0,44.0,42.0,42.0
115,42.0,44.0,42.0,44.0,44.0,44.0,44.0,44.0,46.0,43.0,44.0
116,42.0,44.0,41.0,45.0,46.0,46.0,44.0,43.0,46.0,43.0,43.0
117,41.0,44.0,37.0,43.0,43.0,43.0,43.0,39.0,45.0,41.0,39.0
118,43.0,45.0,38.0,45.0,45.0,45.0,45.0,40.0,47.0,43.0,40.0
119,43.0,45.0,42.0,45.0,45.0,45.0,45.0,44.0,47.0,43.0,44.0
120,41.0,44.0,37.0,43.0,42.0,42.0,43.0,40.0,44.0,42.0,40.0
121,42.0,45.0,42.0,44.0,46.0,46.0,44.0,43.0,46.0,43.0,43.0
122,43.0,45.0,42.0,44.0,44.0,44.0,44.0,44.0,46.0,44.0,44.0
123,41.0,43.0,36.0,42.0,41.0,42.0,42.0,41.0,43.0,42.0,41.0
124,41.0,44.0,41.0,43.0,45.0,45.0,43.0,43.0,45.0,44.0,43.0
125,42.0,44.0,41.0,43.0,43.0,43.0,44.0,43.0,45.0,43.0,43.0
126,42.0,44.0,36.0,43.0,42.0,42.0,43.0,42.0,44.0,41.0,42.0
127,42.0,45.0,42.0,44.0,44.0,44.0,44.0,44.0,46.0,43.0,44.0
128,43.0,45.0,42.0,44.0,44.0,44.0,44.0,44.0,46.0,43.0,44.0
129,40.0,42.0,35.0,41.0,40.0,41.0,41.0,41.0,42.0,41.0,41.0
130,41.0,43.0,40.0,42.0,44.0,44.0,42.0,43.0,44.0,43.0,43.0
131,41.0,43.0,40.0,43.0,42.0,42.0,43.0,43.0,44.0,42.0,43.0
132,41.0,43.0,35.0,42.0,41.0,41.0,42.0,42.0,43.0,41.0,42.0
133,41.0,44.0,41.0,43.0,43.0,43.0,43.0,44.0,45.0,42.0,44.0
134,42.0,44.0,41.0,43.0,43.0,43.0,43.0,44.0,45.0,43.0,44.0
135,41.0,43.0,36.0,43.0,42.0,42.0,43.0,39.0,43.0,40.0,39.0
136,42.0,44.0,37.0,44.0,44.0,44.0,44.0,39.0,46.0,42.0,39.0
137,42.0,45.0,41.0,44.0,44.0,44.0,44.0,44.0,45.0,42.0,44.0
138,40.0,43.0,36.0,42.0,42.0,42.0,42.0,40.0,43.0,40.0,40.0
139,43.0,42.0,42.0,43.0,43.0,43.0,43.0,43.0,45.0,44.0,43.0
140,42.0,44.0,42.0,44.0,44.0,44.0,44.0,41.0,45.0,42.0,41.0
141,40.0,42.0,35.0,41.0,41.0,41.0,41.0,41.0,42.0,40.0,41.0
142,42.0,42.0,41.0,43.0,44.0,44.0,43.0,43.0,44.0,43.0,43.0
143,41.0,44.0,41.0,43.0,43.0,43.0,43.0,43.0,44.0,42.0,43.0
144,41.0,43.0,36.0,42.0,42.0,42.0,42.0,42.0,43.0,40.0,42.0
145,42.0,43.0,42.0,43.0,45.0,45.0,43.0,43.0,45.0,42.0,43.0
146,42.0,44.0,42.0,44.0,44.0,44.0,44.0,44.0,45.0,42.0,44.0
147,39.0,42.0,34.0,41.0,40.0,40.0,41.0,41.0,42.0,40.0,41.0
148,41.0,42.0,40.0,42.0,43.0,43.0,42.0,42.0,43.0,42.0,42.0
149,41.0,44.0,40.0,43.0,42.0,42.0,43.0,43.0,43.0,42.0,43.0
150,40.0,43.0,35.0,42.0,41.0,41.0,42.0,42.0,43.0,40.0,42.0
151,41.0,43.0,41.0,42.0,44.0,44.0,42.0,43.0,44.0,43.0,43.0
152,42.0,45.0,41.0,44.0,43.0,43.0,44.0,44.0,44.0,42.0,44.0
153,41.0,44.0,36.0,43.0,42.0,42.0,43.0,41.0,42.0,40.0,41.0
154,42.0,44.0,37.0,43.0,43.0,43.0,43.0,43.0,45.0,42.0,43.0
155,43.0,46.0,42.0,45.0,44.0,44.0,45.0,43.0,44.0,42.0,43.0
156,38.0,41.0,33.0,40.0,39.0,39.0,40.0,40.0,41.0,39.0,40.0
157,40.0,42.0,39.0,41.0,42.0,42.0,41.0,41.0,42.0,41.0,41.0
158,40.0,43.0,39.0,42.0,41.0,41.0,42.0,42.0,42.0,41.0,42.0
159,39.0,42.0,34.0,41.0,40.0,40.0,41.0,41.0,42.0,40.0,41.0
160,40.0,42.0,40.0,41.0,43.0,43.0,41.0,42.0,43.0,42.0,42.0
161,41.0,44.0,40.0,43.0,42.0,42.0,43.0,43.0,43.0,42.0,43.0
162,40.0,43.0,35.0,42.0,41.0,41.0,42.0,41.0,41.0,39.0,41.0
163,41.0,43.0,36.0,42.0,42.0,42.0,42.0,43.0,44.0,41.0,43.0
164,42.0,45.0,41.0,44.0,43.0,43.0,44.0,43.0,43.0,41.0,43.0
165,39.0,42.0,36.0,41.0,41.0,41.0,41.0,37.0,42.0,39.0,37.0
166,41.0,44.0,36.0,43.0,43.0,43.0,43.0,38.0,45.0,41.0,38.0
167,41.0,44.0,41.0,43.0,43.0,43.0,43.0,41.0,44.0,40.0,42.0
