,Mean,StdDev,Min,Median,Max,Seed-1,Seed-10,Seed-100,Seed-11,Seed-12,Seed-13,Seed-14,Seed-15,Seed-16,Seed-17,Seed-18,Seed-19,Seed-2,Seed-20,Seed-21,Seed-22,Seed-23,Seed-24,Seed-25,Seed-26,Seed-27,Seed-28,Seed-29,Seed-3,Seed-30,Seed-31,Seed-32,Seed-33,Seed-34,Seed-35,Seed-36,Seed-37,Seed-38,Seed-39,Seed-4,Seed-40,Seed-41,Seed-42,Seed-43,Seed-44,Seed-45,Seed-46,Seed-47,Seed-48,Seed-49,Seed-5,Seed-50,Seed-51,Seed-52,Seed-53,Seed-54,Seed-55,Seed-56,Seed-57,Seed-58,Seed-59,Seed-6,Seed-60,Seed-61,Seed-62,Seed-63,Seed-64,Seed-65,Seed-66,Seed-67,Seed-68,Seed-69,Seed-7,Seed-70,Seed-71,Seed-72,Seed-73,Seed-74,Seed-75,Seed-76,Seed-77,Seed-78,Seed-79,Seed-8,Seed-80,Seed-81,Seed-82,Seed-83,Seed-84,Seed-85,Seed-86,Seed-87,Seed-88,Seed-89,Seed-9,Seed-90,Seed-91,Seed-92,Seed-93,Seed-94,Seed-95,Seed-96,Seed-97,Seed-98,Seed-99
Score,53.55,4.8,42.0,53.5,63.0,50.0,63.0,45.0,52.0,49.0,58.0,47.0,51.0,53.0,54.0,54.0,60.0,56.0,52.0,59.0,57.0,55.0,50.0,58.0,53.0,53.0,61.0,46.0,60.0,59.0,55.0,53.0,50.0,48.0,57.0,56.0,57.0,45.0,53.0,46.0,58.0,56.0,47.0,44.0,51.0,53.0,60.0,56.0,53.0,53.0,56.0,54.0,51.0,53.0,54.0,57.0,58.0,58.0,62.0,58.0,49.0,51.0,59.0,50.0,52.0,56.0,48.0,49.0,52.0,55.0,48.0,55.0,60.0,49.0,61.0,61.0,57.0,55.0,42.0,46.0,56.0,57.0,62.0,55.0,53.0,51.0,59.0,49.0,54.0,58.0,54.0,53.0,49.0,51.0,61.0,60.0,52.0,53.0,52.0,43.0,57.0,54.0,44.0,44.0,52.0
Connecting Exits,31.64,3.88,20.0,32.0,40.0,32.0,36.0,28.0,32.0,28.0,36.0,32.0,28.0,28.0,28.0,32.0,32.0,36.0,28.0,32.0,36.0,28.0,28.0,36.0,32.0,32.0,32.0,28.0,28.0,28.0,28.0,32.0,32.0,24.0,32.0,36.0,36.0,28.0,28.0,28.0,36.0,32.0,32.0,32.0,28.0,28.0,36.0,32.0,32.0,32.0,32.0,32.0,36.0,28.0,36.0,36.0,36.0,32.0,36.0,32.0,28.0,32.0,36.0,28.0,28.0,32.0,20.0,28.0,32.0,28.0,32.0,32.0,28.0,32.0,36.0,40.0,36.0,32.0,28.0,24.0,36.0,36.0,40.0,28.0,36.0,32.0,40.0,24.0,36.0,32.0,32.0,36.0,28.0,36.0,36.0,36.0,32.0,28.0,32.0,24.0,36.0,32.0,32.0,24.0,32.0
Longest Railway,10.51,3.14,4.0,11.0,18.0,10.0,12.0,10.0,6.0,11.0,13.0,9.0,14.0,10.0,11.0,11.0,11.0,5.0,9.0,15.0,10.0,11.0,11.0,10.0,12.0,9.0,18.0,13.0,10.0,14.0,14.0,11.0,11.0,10.0,8.0,11.0,8.0,8.0,17.0,14.0,8.0,14.0,10.0,5.0,9.0,16.0,11.0,11.0,12.0,5.0,12.0,11.0,4.0,17.0,12.0,4.0,7.0,10.0,6.0,10.0,10.0,9.0,13.0,13.0,15.0,11.0,11.0,10.0,6.0,10.0,7.0,6.0,14.0,8.0,14.0,9.0,9.0,12.0,4.0,12.0,14.0,11.0,15.0,16.0,7.0,8.0,14.0,17.0,6.0,12.0,13.0,10.0,15.0,7.0,11.0,12.0,8.0,11.0,12.0,9.0,7.0,11.0,6.0,5.0,10.0
Longest Highway,10.77,2.96,6.0,11.0,21.0,6.0,10.0,11.0,12.0,9.0,7.0,7.0,8.0,12.0,15.0,7.0,14.0,14.0,13.0,11.0,11.0,13.0,11.0,9.0,9.0,14.0,8.0,9.0,21.0,16.0,9.0,11.0,7.0,12.0,13.0,6.0,10.0,11.0,7.0,6.0,16.0,7.0,11.0,11.0,10.0,8.0,11.0,12.0,10.0,16.0,11.0,8.0,14.0,7.0,6.0,16.0,14.0,11.0,17.0,14.0,10.0,8.0,9.0,8.0,10.0,10.0,16.0,9.0,13.0,15.0,6.0,16.0,12.0,11.0,15.0,11.0,12.0,11.0,8.0,9.0,9.0,10.0,7.0,12.0,10.0,10.0,6.0,9.0,11.0,15.0,11.0,9.0,8.0,11.0,14.0,9.0,9.0,12.0,8.0,11.0,13.0,9.0,10.0,15.0,11.0
Centre Points,5.76,1.62,2.0,6.0,9.0,3.0,7.0,6.0,8.0,6.0,6.0,5.0,7.0,9.0,7.0,8.0,6.0,7.0,8.0,4.0,5.0,6.0,3.0,5.0,4.0,5.0,7.0,4.0,6.0,4.0,8.0,5.0,4.0,9.0,8.0,6.0,7.0,4.0,6.0,7.0,3.0,6.0,4.0,3.0,7.0,6.0,5.0,7.0,4.0,6.0,7.0,6.0,5.0,5.0,5.0,7.0,6.0,9.0,5.0,5.0,6.0,8.0,5.0,5.0,4.0,5.0,9.0,8.0,5.0,7.0,5.0,8.0,9.0,5.0,7.0,4.0,6.0,6.0,7.0,7.0,2.0,6.0,3.0,5.0,5.0,7.0,4.0,5.0,6.0,6.0,4.0,3.0,7.0,4.0,4.0,6.0,4.0,8.0,7.0,8.0,5.0,7.0,3.0,6.0,4.0
Errors,-5.13,1.94,-11.0,-5.0,-1.0,-1.0,-2.0,-10.0,-6.0,-5.0,-4.0,-6.0,-6.0,-6.0,-7.0,-4.0,-3.0,-6.0,-6.0,-3.0,-5.0,-3.0,-3.0,-2.0,-4.0,-7.0,-4.0,-8.0,-5.0,-3.0,-4.0,-6.0,-4.0,-7.0,-4.0,-3.0,-4.0,-6.0,-5.0,-9.0,-5.0,-3.0,-10.0,-7.0,-3.0,-5.0,-3.0,-6.0,-5.0,-6.0,-6.0,-3.0,-8.0,-4.0,-5.0,-6.0,-5.0,-4.0,-2.0,-3.0,-5.0,-6.0,-4.0,-4.0,-5.0,-2.0,-8.0,-6.0,-4.0,-5.0,-2.0,-7.0,-3.0,-7.0,-11.0,-3.0,-6.0,-6.0,-5.0,-6.0,-5.0,-6.0,-3.0,-6.0,-5.0,-6.0,-5.0,-6.0,-5.0,-7.0,-6.0,-5.0,-9.0,-7.0,-4.0,-3.0,-1.0,-6.0,-7.0,-9.0,-4.0,-5.0,-7.0,-6.0,-5.0
