Scenario,Roll 0,Roll 1,Roll 2,Roll 3,Roll 4,Roll 5,Roll 6,Roll 7,Roll 8,Roll 9,Roll 10,Roll 11,Roll 12,Roll 13
0,61.0,61.0,57.0,51.0,51.0,55.0,55.0,52.0,51.0,52.0,54.0,52.0,57.0,55.0
1,60.0,60.0,56.0,58.0,58.0,56.0,56.0,53.0,50.0,53.0,56.0,52.0,57.0,57.0
2,61.0,61.0,56.0,53.0,53.0,54.0,57.0,56.0,47.0,56.0,59.0,55.0,57.0,57.0
3,61.0,61.0,62.0,55.0,55.0,54.0,60.0,55.0,55.0,55.0,58.0,54.0,56.0,55.0
4,60.0,60.0,60.0,57.0,57.0,60.0,61.0,56.0,57.0,57.0,59.0,55.0,61.0,61.0
5,62.0,62.0,60.0,57.0,57.0,59.0,59.0,60.0,52.0,60.0,59.0,59.0,58.0,60.0
6,59.0,59.0,58.0,55.0,55.0,55.0,56.0,54.0,51.0,54.0,58.0,54.0,56.0,55.0
7,61.0,61.0,57.0,55.0,55.0,57.0,61.0,56.0,53.0,57.0,60.0,56.0,57.0,61.0
8,63.0,63.0,57.0,57.0,57.0,56.0,60.0,56.0,53.0,56.0,56.0,57.0,56.0,61.0
9,58.0,58.0,55.0,55.0,55.0,59.0,55.0,56.0,56.0,56.0,55.0,55.0,55.0,54.0
10,61.0,61.0,55.0,57.0,57.0,61.0,56.0,53.0,53.0,53.0,56.0,52.0,56.0,57.0
11,61.0,61.0,55.0,53.0,53.0,55.0,57.0,56.0,53.0,56.0,59.0,55.0,57.0,57.0
12,58.0,58.0,54.0,54.0,54.0,58.0,54.0,55.0,55.0,55.0,58.0,54.0,56.0,54.0
13,60.0,60.0,54.0,56.0,56.0,60.0,55.0,55.0,57.0,56.0,59.0,54.0,60.0,56.0
14,62.0,62.0,55.0,57.0,57.0,59.0,56.0,55.0,52.0,55.0,58.0,54.0,58.0,56.0
15,59.0,59.0,55.0,52.0,52.0,55.0,55.0,53.0,52.0,54.0,58.0,54.0,56.0,54.0
