Scenario,Roll 0,Roll 1,Roll 2,Roll 3,Roll 4,Roll 5,Roll 6
105,38.0,38.0,38.0,38.0,37.0,37.0,38.0
106,40.0,39.0,39.0,38.0,38.0,38.0,40.0
107,40.0,39.0,39.0,43.0,42.0,42.0,40.0
108,40.0,40.0,39.0,38.0,38.0,40.0,38.0
109,41.0,42.0,41.0,39.0,38.0,40.0,39.0
110,46.0,45.0,45.0,40.0,44.0,46.0,44.0
111,41.0,41.0,39.0,38.0,39.0,39.0,39.0
112,46.0,45.0,45.0,40.0,44.0,46.0,44.0
113,44.0,44.0,45.0,40.0,43.0,44.0,43.0
114,40.0,40.0,38.0,38.0,38.0,38.0,38.0
115,45.0,44.0,44.0,39.0,43.0,45.0,43.0
116,44.0,44.0,44.0,43.0,43.0,44.0,43.0
117,39.0,39.0,39.0,39.0,39.0,39.0,38.0
118,41.0,41.0,41.0,39.0,38.0,40.0,39.0
119,44.0,44.0,44.0,44.0,43.0,44.0,43.0
120,41.0,41.0,41.0,39.0,39.0,40.0,38.0
121,44.0,44.0,45.0,39.0,43.0,44.0,43.0
122,43.0,42.0,42.0,44.0,43.0,43.0,40.0
123,40.0,40.0,40.0,38.0,38.0,39.0,38.0
124,45.0,44.0,44.0,43.0,43.0,44.0,43.0
125,42.0,41.0,41.0,44.0,43.0,43.0,40.0
126,40.0,40.0,39.0,39.0,39.0,39.0,38.0
127,46.0,45.0,45.0,44.0,43.0,44.0,44.0
128,42.0,42.0,40.0,44.0,43.0,43.0,40.0
129,39.0,39.0,39.0,37.0,37.0,38.0,37.0
130,44.0,43.0,43.0,42.0,42.0,43.0,42.0
131,41.0,40.0,40.0,43.0,43.0,43.0,39.0
132,40.0,39.0,38.0,38.0,38.0,38.0,38.0
133,45.0,44.0,44.0,43.0,43.0,44.0,43.0
134,42.0,41.0,39.0,44.0,43.0,43.0,40.0
135,39.0,39.0,39.0,39.0,38.0,38.0,37.0
136,41.0,40.0,40.0,39.0,38.0,39.0,39.0
137,41.0,40.0,40.0,44.0,43.0,43.0,39.0
138,39.0,39.0,39.0,39.0,38.0,38.0,37.0
139,40.0,41.0,41.0,39.0,43.0,43.0,40.0
140,41.0,41.0,41.0,44.0,44.0,44.0,39.0
141,39.0,39.0,39.0,39.0,38.0,38.0,37.0
142,44.0,44.0,44.0,44.0,44.0,44.0,43.0
143,41.0,41.0,41.0,45.0,44.0,44.0,39.0
144,40.0,39.0,39.0,39.0,39.0,39.0,38.0
145,44.0,44.0,45.0,44.0,43.0,43.0,43.0
146,41.0,41.0,41.0,44.0,45.0,45.0,40.0
147,38.0,38.0,38.0,38.0,37.0,37.0,36.0
148,43.0,43.0,43.0,43.0,43.0,43.0,42.0
149,40.0,40.0,40.0,44.0,43.0,43.0,38.0
150,39.0,39.0,39.0,38.0,38.0,38.0,37.0
151,44.0,44.0,44.0,44.0,44.0,44.0,43.0
152,41.0,41.0,41.0,44.0,44.0,44.0,39.0
153,39.0,38.0,38.0,38.0,38.0,38.0,37.0
154,44.0,44.0,44.0,44.0,43.0,43.0,43.0
155,40.0,40.0,40.0,40.0,44.0,44.0,39.0
156,37.0,37.0,37.0,37.0,36.0,36.0,35.0
157,42.0,42.0,42.0,42.0,42.0,42.0,41.0
158,39.0,39.0,39.0,43.0,42.0,42.0,37.0
159,38.0,38.0,38.0,37.0,37.0,37.0,36.0
160,43.0,43.0,43.0,43.0,43.0,43.0,42.0
161,40.0,40.0,40.0,43.0,43.0,43.0,38.0
162,38.0,38.0,37.0,37.0,37.0,37.0,36.0
163,44.0,44.0,44.0,44.0,43.0,43.0,43.0
164,40.0,40.0,39.0,39.0,43.0,43.0,38.0
165,38.0,38.0,38.0,38.0,37.0,37.0,36.0
166,40.0,40.0,39.0,39.0,38.0,38.0,39.0
167,40.0,40.0,40.0,40.0,39.0,39.0,38.0
