Scenario,Roll 0,Roll 1,Roll 2,Roll 3,Roll 4,Roll 5
121,44.0,45.0,44.0,45.0,44.0,44.0
122,45.0,46.0,45.0,45.0,45.0,45.0
123,42.0,44.0,42.0,43.0,44.0,44.0
124,43.0,46.0,43.0,44.0,45.0,45.0
125,44.0,46.0,44.0,44.0,46.0,46.0
126,43.0,44.0,43.0,43.0,44.0,44.0
127,44.0,45.0,44.0,45.0,45.0,45.0
128,45.0,46.0,45.0,45.0,46.0,46.0
129,41.0,43.0,41.0,42.0,43.0,43.0
130,42.0,45.0,42.0,43.0,44.0,44.0
131,43.0,45.0,43.0,43.0,45.0,45.0
132,42.0,44.0,42.0,42.0,44.0,44.0
133,43.0,46.0,43.0,44.0,45.0,45.0
134,44.0,46.0,44.0,44.0,46.0,46.0
135,43.0,43.0,43.0,43.0,44.0,44.0
136,44.0,45.0,44.0,45.0,46.0,46.0
137,45.0,45.0,45.0,45.0,46.0,46.0
138,43.0,43.0,42.0,44.0,43.0,43.0
139,44.0,45.0,44.0,44.0,44.0,44.0
140,45.0,45.0,44.0,45.0,45.0,45.0
141,42.0,45.0,42.0,43.0,43.0,43.0
142,43.0,47.0,43.0,45.0,45.0,45.0
143,44.0,47.0,44.0,45.0,45.0,45.0
144,43.0,44.0,42.0,44.0,44.0,44.0
145,44.0,46.0,44.0,46.0,45.0,45.0
146,45.0,46.0,44.0,46.0,45.0,45.0
147,41.0,44.0,41.0,42.0,42.0,42.0
148,42.0,46.0,42.0,44.0,44.0,44.0
149,43.0,46.0,43.0,44.0,44.0,44.0
150,42.0,45.0,41.0,43.0,43.0,43.0
151,43.0,47.0,43.0,45.0,45.0,45.0
152,44.0,47.0,43.0,45.0,45.0,45.0
153,43.0,44.0,42.0,44.0,44.0,44.0
154,44.0,46.0,44.0,46.0,46.0,46.0
155,45.0,46.0,44.0,46.0,46.0,46.0
156,40.0,43.0,40.0,41.0,41.0,41.0
157,41.0,45.0,41.0,43.0,43.0,43.0
158,42.0,45.0,42.0,43.0,43.0,43.0
159,41.0,44.0,40.0,42.0,42.0,42.0
160,42.0,46.0,42.0,44.0,44.0,44.0
161,43.0,46.0,42.0,44.0,44.0,44.0
162,42.0,45.0,41.0,43.0,43.0,43.0
163,43.0,47.0,43.0,45.0,45.0,45.0
164,44.0,47.0,43.0,45.0,45.0,45.0
165,42.0,44.0,41.0,43.0,44.0,44.0
166,43.0,46.0,43.0,45.0,46.0,46.0
167,44.0,46.0,43.0,45.0,46.0,46.0
