Scenario,Roll 0,Roll 1,Roll 2,Roll 3,Roll 4,Roll 5,Roll 6,Roll 7,Roll 8
82,52.0,47.0,51.0,51.0,51.0,51.0,51.0,51.0,54.0
83,57.0,52.0,48.0,50.0,50.0,50.0,50.0,48.0,54.0
84,53.0,55.0,57.0,54.0,54.0,54.0,54.0,57.0,54.0
85,51.0,51.0,55.0,55.0,55.0,55.0,55.0,55.0,53.0
86,56.0,56.0,53.0,53.0,53.0,53.0,53.0,53.0,57.0
87,51.0,51.0,52.0,54.0,54.0,54.0,54.0,52.0,53.0
88,52.0,52.0,56.0,56.0,56.0,56.0,56.0,56.0,53.0
89,57.0,57.0,54.0,54.0,54.0,54.0,54.0,54.0,52.0
90,53.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0
91,51.0,47.0,51.0,51.0,51.0,51.0,51.0,51.0,54.0
92,56.0,52.0,49.0,50.0,50.0,51.0,51.0,49.0,54.0
93,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0
94,53.0,50.0,54.0,54.0,54.0,54.0,54.0,54.0,57.0
95,56.0,55.0,52.0,53.0,53.0,54.0,54.0,52.0,57.0
96,54.0,50.0,50.0,53.0,53.0,53.0,53.0,50.0,52.0
97,51.0,45.0,49.0,53.0,53.0,52.0,52.0,49.0,54.0
98,55.0,50.0,47.0,52.0,52.0,53.0,53.0,47.0,54.0
99,54.0,54.0,54.0,56.0,56.0,56.0,56.0,54.0,55.0
100,52.0,49.0,53.0,55.0,55.0,54.0,54.0,53.0,57.0
101,55.0,54.0,51.0,54.0,54.0,55.0,55.0,51.0,57.0
102,53.0,49.0,50.0,52.0,52.0,52.0,52.0,50.0,52.0
103,51.0,45.0,53.0,52.0,52.0,51.0,51.0,53.0,54.0
104,54.0,49.0,49.0,51.0,51.0,53.0,53.0,49.0,55.0
105,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,53.0
106,48.0,46.0,49.0,49.0,49.0,49.0,49.0,49.0,55.0
107,51.0,50.0,47.0,48.0,48.0,50.0,50.0,47.0,55.0
108,49.0,44.0,45.0,49.0,49.0,50.0,50.0,45.0,51.0
109,50.0,42.0,45.0,48.0,48.0,50.0,50.0,45.0,53.0
110,51.0,46.0,47.0,49.0,49.0,52.0,52.0,47.0,50.0
111,50.0,48.0,47.0,51.0,51.0,54.0,54.0,47.0,55.0
112,52.0,41.0,45.0,51.0,51.0,50.0,50.0,45.0,54.0
113,52.0,45.0,47.0,51.0,51.0,51.0,51.0,47.0,55.0
114,50.0,47.0,52.0,52.0,52.0,55.0,55.0,52.0,55.0
115,51.0,45.0,49.0,54.0,54.0,50.0,50.0,49.0,53.0
116,51.0,50.0,48.0,54.0,54.0,54.0,54.0,48.0,58.0
117,49.0,47.0,47.0,49.0,49.0,51.0,51.0,47.0,54.0
118,51.0,46.0,50.0,50.0,50.0,50.0,50.0,50.0,54.0
119,52.0,51.0,49.0,53.0,53.0,55.0,55.0,49.0,53.0
120,54.0,51.0,51.0,48.0,48.0,50.0,50.0,51.0,53.0
121,52.0,46.0,48.0,50.0,50.0,51.0,51.0,48.0,55.0
122,57.0,51.0,50.0,51.0,51.0,52.0,52.0,50.0,55.0
123,53.0,56.0,56.0,51.0,51.0,53.0,53.0,56.0,56.0
124,54.0,49.0,51.0,53.0,53.0,54.0,54.0,51.0,58.0
125,57.0,54.0,53.0,54.0,54.0,55.0,55.0,53.0,58.0
126,51.0,47.0,47.0,51.0,51.0,52.0,52.0,47.0,53.0
127,52.0,46.0,49.0,54.0,54.0,53.0,53.0,49.0,55.0
128,56.0,50.0,48.0,53.0,53.0,54.0,54.0,48.0,55.0
129,52.0,55.0,55.0,54.0,54.0,54.0,54.0,55.0,56.0
130,53.0,48.0,53.0,56.0,56.0,55.0,55.0,53.0,58.0
131,56.0,53.0,52.0,55.0,55.0,56.0,56.0,52.0,58.0
132,50.0,46.0,51.0,51.0,51.0,51.0,51.0,51.0,53.0
133,52.0,45.0,54.0,53.0,53.0,52.0,52.0,54.0,55.0
134,55.0,49.0,50.0,52.0,52.0,54.0,54.0,50.0,56.0
135,48.0,47.0,47.0,47.0,47.0,48.0,48.0,47.0,54.0
136,49.0,45.0,47.0,49.0,49.0,49.0,49.0,47.0,56.0
137,52.0,49.0,48.0,49.0,49.0,51.0,51.0,48.0,56.0
138,51.0,43.0,43.0,45.0,45.0,47.0,47.0,43.0,51.0
139,48.0,39.0,41.0,46.0,46.0,46.0,46.0,41.0,50.0
140,53.0,42.0,42.0,46.0,46.0,46.0,46.0,42.0,50.0
141,54.0,47.0,48.0,47.0,47.0,48.0,47.0,48.0,54.0
142,51.0,42.0,44.0,49.0,49.0,49.0,49.0,44.0,54.0
143,56.0,45.0,45.0,49.0,49.0,49.0,49.0,45.0,54.0
144,53.0,43.0,42.0,48.0,48.0,48.0,48.0,42.0,51.0
145,48.0,40.0,43.0,48.0,48.0,50.0,50.0,43.0,49.0
146,51.0,44.0,42.0,47.0,47.0,47.0,46.0,42.0,50.0
147,54.0,48.0,47.0,50.0,50.0,50.0,50.0,47.0,55.0
148,50.0,44.0,47.0,51.0,50.0,52.0,52.0,47.0,57.0
149,56.0,50.0,49.0,50.0,50.0,52.0,52.0,49.0,57.0
150,52.0,47.0,47.0,47.0,47.0,49.0,48.0,47.0,54.0
151,50.0,45.0,48.0,49.0,49.0,50.0,49.0,48.0,54.0
