Scenario,Roll 0,Roll 1,Roll 2,Roll 3,Roll 4,Roll 5,Roll 6,Roll 7,Roll 8,Roll 9,Roll 10,Roll 11,Roll 12,Roll 13,Roll 14,Roll 15
46,60.0,57.0,60.0,60.0,61.0,61.0,60.0,57.0,68.0,60.0,60.0,60.0,68.0,60.0,61.0,67.0
47,60.0,58.0,60.0,60.0,61.0,61.0,60.0,58.0,67.0,60.0,60.0,60.0,65.0,60.0,61.0,64.0
48,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,64.0,63.0,63.0,63.0,64.0,63.0,63.0,63.0
49,68.0,68.0,60.0,60.0,60.0,60.0,68.0,68.0,67.0,59.0,59.0,59.0,67.0,59.0,60.0,66.0
50,64.0,64.0,59.0,59.0,60.0,60.0,64.0,64.0,66.0,59.0,59.0,59.0,64.0,59.0,60.0,63.0
51,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,65.0,64.0,64.0,64.0,65.0,64.0,64.0,64.0
52,69.0,69.0,61.0,61.0,61.0,61.0,69.0,69.0,68.0,60.0,60.0,60.0,68.0,60.0,61.0,67.0
53,65.0,65.0,60.0,60.0,61.0,61.0,65.0,65.0,64.0,60.0,60.0,60.0,64.0,60.0,61.0,63.0
54,62.0,62.0,68.0,68.0,68.0,68.0,62.0,62.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,67.0
55,67.0,67.0,59.0,59.0,59.0,59.0,67.0,67.0,67.0,58.0,58.0,58.0,67.0,58.0,59.0,65.0
56,63.0,63.0,59.0,59.0,60.0,60.0,63.0,63.0,65.0,59.0,59.0,59.0,63.0,59.0,60.0,62.0
57,63.0,63.0,69.0,69.0,69.0,69.0,63.0,63.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,68.0
58,68.0,68.0,60.0,60.0,60.0,60.0,68.0,68.0,67.0,59.0,59.0,59.0,67.0,59.0,60.0,66.0
59,64.0,64.0,60.0,60.0,61.0,61.0,64.0,64.0,63.0,60.0,60.0,60.0,63.0,60.0,61.0,62.0
60,64.0,64.0,70.0,70.0,70.0,70.0,64.0,64.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,69.0
61,59.0,59.0,61.0,61.0,60.0,60.0,59.0,59.0,59.0,60.0,60.0,60.0,59.0,60.0,60.0,58.0
62,58.0,57.0,61.0,61.0,62.0,62.0,58.0,57.0,61.0,61.0,61.0,61.0,61.0,61.0,62.0,60.0
63,58.0,58.0,61.0,61.0,62.0,62.0,58.0,58.0,61.0,61.0,61.0,60.0,62.0,66.0,62.0,61.0
64,61.0,61.0,64.0,64.0,67.0,67.0,61.0,61.0,66.0,66.0,66.0,64.0,66.0,66.0,67.0,66.0
65,59.0,59.0,62.0,62.0,64.0,63.0,59.0,59.0,63.0,63.0,63.0,61.0,62.0,62.0,64.0,63.0
66,59.0,59.0,62.0,62.0,63.0,63.0,59.0,59.0,62.0,62.0,62.0,61.0,63.0,67.0,63.0,62.0
67,62.0,62.0,66.0,66.0,68.0,68.0,62.0,62.0,67.0,67.0,67.0,65.0,67.0,67.0,68.0,67.0
68,60.0,60.0,63.0,63.0,65.0,64.0,60.0,60.0,64.0,64.0,64.0,62.0,63.0,63.0,65.0,64.0
69,63.0,63.0,62.0,62.0,64.0,63.0,63.0,63.0,63.0,63.0,63.0,61.0,62.0,62.0,64.0,63.0
70,57.0,57.0,67.0,67.0,67.0,67.0,57.0,57.0,66.0,66.0,66.0,66.0,66.0,66.0,67.0,67.0
71,58.0,58.0,64.0,64.0,66.0,64.0,58.0,58.0,65.0,65.0,65.0,63.0,63.0,63.0,66.0,64.0
72,67.0,67.0,62.0,62.0,63.0,62.0,67.0,67.0,62.0,62.0,62.0,61.0,61.0,61.0,63.0,62.0
73,56.0,56.0,66.0,66.0,66.0,66.0,56.0,56.0,65.0,65.0,65.0,65.0,65.0,65.0,66.0,66.0
74,57.0,57.0,63.0,63.0,65.0,63.0,57.0,57.0,64.0,64.0,64.0,62.0,62.0,62.0,65.0,63.0
75,68.0,68.0,63.0,63.0,63.0,63.0,68.0,68.0,62.0,62.0,62.0,62.0,62.0,62.0,63.0,63.0
76,57.0,57.0,67.0,67.0,67.0,67.0,57.0,57.0,66.0,66.0,66.0,66.0,66.0,66.0,67.0,67.0
77,58.0,58.0,63.0,63.0,63.0,63.0,58.0,58.0,62.0,62.0,63.0,62.0,62.0,62.0,63.0,63.0
78,57.0,57.0,62.0,62.0,63.0,63.0,57.0,57.0,62.0,62.0,62.0,61.0,62.0,63.0,63.0,62.0
79,61.0,61.0,66.0,66.0,68.0,68.0,61.0,61.0,67.0,67.0,67.0,66.0,67.0,67.0,68.0,67.0
80,61.0,61.0,64.0,64.0,64.0,64.0,61.0,61.0,63.0,63.0,64.0,63.0,63.0,63.0,64.0,64.0
81,64.0,64.0,63.0,63.0,65.0,63.0,64.0,64.0,64.0,64.0,64.0,62.0,62.0,62.0,65.0,63.0
82,58.0,58.0,68.0,68.0,68.0,68.0,58.0,58.0,67.0,67.0,67.0,67.0,67.0,67.0,68.0,68.0
83,59.0,59.0,65.0,65.0,67.0,65.0,59.0,59.0,66.0,66.0,66.0,64.0,64.0,64.0,67.0,65.0
84,68.0,68.0,62.0,62.0,64.0,62.0,68.0,68.0,63.0,63.0,63.0,61.0,61.0,61.0,64.0,62.0
85,57.0,57.0,67.0,67.0,67.0,67.0,57.0,57.0,66.0,66.0,66.0,66.0,66.0,66.0,67.0,67.0
86,58.0,58.0,64.0,64.0,66.0,64.0,58.0,58.0,65.0,65.0,65.0,63.0,63.0,63.0,66.0,64.0
87,69.0,69.0,62.0,62.0,63.0,63.0,69.0,69.0,62.0,62.0,62.0,62.0,62.0,62.0,63.0,63.0
88,58.0,58.0,68.0,68.0,68.0,68.0,58.0,58.0,67.0,67.0,67.0,67.0,67.0,67.0,68.0,68.0
89,59.0,59.0,64.0,64.0,64.0,64.0,59.0,59.0,63.0,63.0,64.0,63.0,63.0,63.0,64.0,64.0
90,62.0,62.0,64.0,64.0,64.0,64.0,62.0,62.0,64.0,63.0,63.0,63.0,63.0,63.0,64.0,64.0
91,59.0,56.0,60.0,60.0,61.0,61.0,59.0,56.0,67.0,59.0,59.0,59.0,67.0,59.0,61.0,68.0
92,59.0,58.0,60.0,60.0,61.0,61.0,59.0,58.0,66.0,59.0,59.0,59.0,64.0,59.0,61.0,65.0
93,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,62.0,62.0,62.0,63.0,62.0,63.0,64.0
94,67.0,67.0,59.0,59.0,60.0,60.0,67.0,67.0,66.0,58.0,58.0,58.0,66.0,58.0,60.0,67.0
95,64.0,64.0,59.0,59.0,60.0,60.0,64.0,64.0,65.0,59.0,59.0,58.0,63.0,59.0,60.0,64.0
96,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,63.0,63.0,63.0,64.0,63.0,64.0,65.0
97,68.0,68.0,60.0,60.0,61.0,61.0,68.0,68.0,67.0,59.0,59.0,59.0,67.0,59.0,61.0,68.0
98,64.0,64.0,60.0,60.0,61.0,61.0,64.0,64.0,63.0,59.0,59.0,59.0,63.0,59.0,61.0,64.0
99,62.0,62.0,68.0,68.0,68.0,68.0,62.0,62.0,67.0,67.0,67.0,67.0,67.0,67.0,68.0,68.0
100,66.0,66.0,58.0,58.0,59.0,59.0,66.0,66.0,66.0,57.0,57.0,57.0,66.0,57.0,59.0,66.0
101,63.0,63.0,59.0,59.0,60.0,60.0,63.0,63.0,64.0,58.0,58.0,58.0,62.0,58.0,60.0,63.0
102,63.0,63.0,69.0,69.0,69.0,69.0,63.0,63.0,68.0,68.0,68.0,68.0,68.0,68.0,69.0,69.0
103,67.0,67.0,59.0,59.0,60.0,60.0,67.0,67.0,66.0,58.0,58.0,58.0,66.0,58.0,60.0,67.0
104,63.0,63.0,60.0,60.0,61.0,61.0,63.0,63.0,62.0,59.0,59.0,59.0,62.0,59.0,61.0,63.0
105,63.0,63.0,70.0,70.0,70.0,70.0,63.0,63.0,69.0,69.0,69.0,69.0,69.0,69.0,70.0,70.0
106,58.0,58.0,60.0,60.0,60.0,60.0,58.0,58.0,58.0,59.0,59.0,59.0,58.0,59.0,60.0,59.0
107,57.0,56.0,61.0,61.0,62.0,62.0,57.0,56.0,60.0,60.0,60.0,60.0,60.0,60.0,62.0,61.0
108,51.0,51.0,56.0,56.0,59.0,59.0,51.0,51.0,54.0,58.0,58.0,57.0,54.0,58.0,59.0,59.0
109,56.0,56.0,57.0,57.0,60.0,60.0,56.0,56.0,59.0,59.0,59.0,58.0,59.0,59.0,60.0,64.0
110,57.0,57.0,57.0,57.0,60.0,60.0,57.0,57.0,55.0,55.0,61.0,55.0,55.0,55.0,60.0,61.0
111,55.0,55.0,58.0,58.0,59.0,59.0,55.0,55.0,58.0,58.0,63.0,58.0,58.0,58.0,59.0,60.0
112,57.0,57.0,59.0,59.0,60.0,60.0,57.0,57.0,63.0,59.0,60.0,59.0,63.0,59.0,60.0,65.0
113,58.0,58.0,59.0,59.0,60.0,60.0,58.0,58.0,59.0,58.0,61.0,56.0,59.0,56.0,60.0,62.0
114,59.0,59.0,57.0,57.0,58.0,58.0,59.0,59.0,57.0,57.0,62.0,57.0,57.0,57.0,58.0,59.0
115,56.0,56.0,58.0,58.0,59.0,59.0,56.0,56.0,62.0,59.0,59.0,58.0,62.0,59.0,59.0,64.0
116,57.0,57.0,58.0,58.0,59.0,59.0,57.0,57.0,58.0,59.0,60.0,57.0,58.0,59.0,59.0,61.0
117,60.0,60.0,58.0,58.0,59.0,59.0,60.0,60.0,54.0,58.0,58.0,58.0,54.0,58.0,59.0,60.0
118,57.0,57.0,59.0,59.0,60.0,60.0,57.0,57.0,59.0,59.0,59.0,59.0,59.0,59.0,60.0,65.0
119,58.0,58.0,59.0,59.0,60.0,60.0,58.0,58.0,55.0,55.0,61.0,55.0,55.0,55.0,60.0,61.0
120,56.0,54.0,60.0,60.0,60.0,60.0,56.0,54.0,60.0,59.0,63.0,59.0,58.0,59.0,60.0,61.0
121,56.0,53.0,61.0,61.0,61.0,61.0,56.0,53.0,63.0,59.0,60.0,59.0,63.0,59.0,61.0,65.0
122,55.0,53.0,61.0,61.0,61.0,61.0,55.0,53.0,62.0,56.0,56.0,56.0,60.0,56.0,61.0,62.0
123,64.0,64.0,59.0,59.0,59.0,59.0,64.0,64.0,59.0,58.0,62.0,58.0,58.0,58.0,59.0,61.0
124,59.0,59.0,60.0,60.0,60.0,60.0,59.0,59.0,62.0,58.0,59.0,58.0,62.0,58.0,60.0,64.0
125,61.0,61.0,60.0,60.0,60.0,60.0,61.0,61.0,61.0,59.0,59.0,58.0,60.0,59.0,60.0,61.0
126,65.0,65.0,60.0,60.0,60.0,60.0,65.0,65.0,58.0,59.0,63.0,59.0,59.0,59.0,60.0,62.0
127,60.0,60.0,61.0,61.0,61.0,61.0,60.0,60.0,63.0,59.0,60.0,59.0,63.0,59.0,61.0,65.0
128,56.0,56.0,61.0,61.0,61.0,61.0,56.0,56.0,59.0,57.0,60.0,56.0,61.0,56.0,61.0,61.0
129,63.0,63.0,59.0,59.0,59.0,59.0,63.0,63.0,59.0,59.0,61.0,59.0,59.0,59.0,59.0,65.0
130,58.0,58.0,59.0,59.0,59.0,59.0,58.0,58.0,62.0,58.0,58.0,58.0,62.0,58.0,59.0,63.0
131,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,58.0,58.0,57.0,59.0,58.0,60.0,60.0
132,64.0,64.0,60.0,60.0,60.0,60.0,64.0,64.0,60.0,60.0,62.0,60.0,60.0,60.0,60.0,66.0
133,59.0,59.0,60.0,60.0,60.0,60.0,59.0,59.0,62.0,59.0,59.0,59.0,62.0,59.0,60.0,64.0
134,60.0,60.0,61.0,61.0,61.0,61.0,60.0,60.0,58.0,59.0,59.0,58.0,60.0,59.0,61.0,60.0
135,55.0,55.0,61.0,61.0,61.0,61.0,55.0,55.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,67.0
136,59.0,59.0,60.0,60.0,60.0,60.0,59.0,59.0,58.0,60.0,60.0,60.0,58.0,60.0,60.0,57.0
137,55.0,55.0,62.0,62.0,62.0,62.0,55.0,55.0,55.0,55.0,60.0,55.0,55.0,55.0,62.0,58.0
138,57.0,54.0,58.0,58.0,57.0,56.0,57.0,54.0,59.0,54.0,55.0,57.0,59.0,54.0,57.0,60.0
139,53.0,53.0,64.0,64.0,61.0,61.0,53.0,53.0,59.0,50.0,58.0,53.0,59.0,50.0,61.0,58.0
140,53.0,52.0,64.0,64.0,61.0,61.0,53.0,52.0,56.0,51.0,54.0,53.0,56.0,51.0,61.0,56.0
141,63.0,63.0,58.0,58.0,56.0,55.0,63.0,63.0,58.0,54.0,54.0,57.0,58.0,54.0,56.0,59.0
142,60.0,60.0,63.0,63.0,60.0,60.0,60.0,60.0,59.0,57.0,59.0,57.0,59.0,57.0,60.0,58.0
143,55.0,55.0,63.0,63.0,60.0,60.0,55.0,55.0,56.0,60.0,60.0,60.0,55.0,60.0,60.0,55.0
144,59.0,59.0,57.0,57.0,57.0,56.0,59.0,59.0,59.0,54.0,55.0,58.0,59.0,54.0,57.0,60.0
145,59.0,59.0,62.0,62.0,61.0,61.0,59.0,59.0,59.0,58.0,59.0,58.0,59.0,58.0,61.0,59.0
146,56.0,56.0,62.0,62.0,61.0,61.0,56.0,56.0,56.0,55.0,55.0,55.0,56.0,55.0,61.0,56.0
147,62.0,62.0,59.0,59.0,59.0,59.0,62.0,62.0,63.0,58.0,58.0,58.0,63.0,58.0,59.0,64.0
