Scenario,Roll 0,Roll 1,Roll 2,Roll 3,Roll 4,Roll 5,Roll 6
105,47.0,47.0,46.0,46.0,46.0,44.0,45.0
106,48.0,48.0,47.0,47.0,47.0,45.0,47.0
107,49.0,49.0,48.0,48.0,48.0,47.0,48.0
108,47.0,47.0,46.0,46.0,46.0,43.0,45.0
109,48.0,48.0,47.0,47.0,47.0,44.0,46.0
110,49.0,49.0,48.0,48.0,48.0,45.0,45.0
111,48.0,48.0,47.0,47.0,47.0,46.0,46.0
112,49.0,49.0,48.0,48.0,48.0,46.0,48.0
113,50.0,50.0,49.0,49.0,49.0,47.0,47.0
114,47.0,47.0,46.0,46.0,46.0,46.0,45.0
115,48.0,48.0,47.0,47.0,47.0,48.0,48.0
116,49.0,49.0,48.0,48.0,48.0,48.0,48.0
117,47.0,47.0,46.0,46.0,46.0,43.0,45.0
118,48.0,48.0,47.0,47.0,47.0,44.0,49.0
119,49.0,49.0,48.0,49.0,48.0,49.0,49.0
120,48.0,48.0,47.0,47.0,47.0,46.0,47.0
121,50.0,50.0,49.0,49.0,49.0,46.0,49.0
122,53.0,53.0,52.0,52.0,52.0,49.0,49.0
123,49.0,49.0,48.0,48.0,48.0,47.0,46.0
124,49.0,49.0,48.0,48.0,48.0,48.0,49.0
125,53.0,53.0,52.0,52.0,52.0,50.0,49.0
126,48.0,48.0,47.0,47.0,47.0,46.0,47.0
127,49.0,49.0,48.0,49.0,48.0,49.0,49.0
128,53.0,53.0,52.0,52.0,52.0,49.0,50.0
129,48.0,48.0,47.0,47.0,47.0,46.0,45.0
130,48.0,48.0,47.0,47.0,47.0,47.0,48.0
131,52.0,52.0,51.0,51.0,51.0,50.0,48.0
132,47.0,47.0,46.0,46.0,46.0,46.0,46.0
133,48.0,48.0,47.0,48.0,47.0,48.0,48.0
134,52.0,52.0,51.0,51.0,51.0,51.0,49.0
135,47.0,47.0,46.0,46.0,46.0,43.0,45.0
136,48.0,48.0,47.0,47.0,47.0,44.0,48.0
137,49.0,49.0,48.0,48.0,48.0,48.0,49.0
138,52.0,52.0,51.0,51.0,51.0,46.0,47.0
139,53.0,53.0,52.0,52.0,52.0,46.0,49.0
140,50.0,50.0,49.0,49.0,49.0,48.0,50.0
141,52.0,52.0,51.0,51.0,51.0,47.0,47.0
142,53.0,53.0,52.0,52.0,52.0,48.0,49.0
143,53.0,53.0,52.0,52.0,52.0,51.0,50.0
144,49.0,49.0,48.0,48.0,48.0,46.0,47.0
145,53.0,53.0,52.0,52.0,52.0,48.0,50.0
146,53.0,53.0,52.0,52.0,52.0,48.0,50.0
147,51.0,51.0,50.0,50.0,50.0,47.0,46.0
148,52.0,52.0,51.0,51.0,51.0,50.0,49.0
149,52.0,52.0,51.0,51.0,51.0,51.0,49.0
150,48.0,48.0,47.0,47.0,47.0,47.0,46.0
151,52.0,52.0,51.0,51.0,51.0,51.0,49.0
152,53.0,53.0,52.0,52.0,52.0,51.0,49.0
153,48.0,48.0,47.0,47.0,47.0,45.0,47.0
154,49.0,49.0,48.0,48.0,48.0,48.0,49.0
155,53.0,53.0,52.0,52.0,52.0,48.0,49.0
156,50.0,50.0,49.0,49.0,49.0,46.0,45.0
157,51.0,51.0,50.0,50.0,50.0,49.0,48.0
158,51.0,51.0,50.0,50.0,50.0,50.0,48.0
159,48.0,48.0,47.0,47.0,47.0,46.0,45.0
160,51.0,51.0,50.0,50.0,50.0,50.0,48.0
161,52.0,52.0,51.0,51.0,51.0,50.0,48.0
162,47.0,47.0,46.0,46.0,46.0,46.0,46.0
163,49.0,49.0,48.0,48.0,48.0,47.0,48.0
164,52.0,52.0,51.0,51.0,51.0,48.0,48.0
165,47.0,47.0,46.0,46.0,46.0,42.0,45.0
166,48.0,48.0,47.0,47.0,47.0,44.0,45.0
167,49.0,49.0,48.0,48.0,48.0,44.0,45.0
