Scenario,Roll 0,Roll 1,Roll 2,Roll 3,Roll 4,Roll 5,Roll 6,Roll 7,Roll 8,Roll 9,Roll 10,Roll 11,Roll 12,Roll 13
113,46.0,49.0,48.0,46.0,48.0,46.0,48.0,46.0,45.0,45.0,44.0,44.0,44.0,44.0
114,41.0,44.0,43.0,42.0,43.0,40.0,43.0,42.0,40.0,40.0,39.0,39.0,41.0,41.0
115,48.0,48.0,47.0,46.0,47.0,44.0,47.0,46.0,45.0,45.0,45.0,45.0,46.0,46.0
116,46.0,48.0,47.0,45.0,47.0,45.0,47.0,45.0,46.0,46.0,45.0,43.0,46.0,46.0
117,41.0,44.0,44.0,43.0,44.0,41.0,44.0,43.0,41.0,41.0,40.0,40.0,42.0,42.0
118,48.0,45.0,45.0,43.0,45.0,43.0,45.0,43.0,42.0,42.0,46.0,41.0,42.0,42.0
119,46.0,47.0,47.0,46.0,47.0,46.0,47.0,46.0,45.0,45.0,46.0,44.0,47.0,47.0
120,41.0,44.0,44.0,40.0,44.0,41.0,44.0,40.0,40.0,40.0,40.0,39.0,40.0,40.0
121,48.0,48.0,47.0,46.0,47.0,46.0,47.0,46.0,45.0,45.0,44.0,44.0,44.0,44.0
122,46.0,48.0,48.0,45.0,48.0,46.0,48.0,45.0,45.0,45.0,44.0,43.0,44.0,44.0
123,41.0,44.0,43.0,41.0,44.0,40.0,43.0,41.0,40.0,40.0,39.0,39.0,40.0,40.0
124,48.0,48.0,47.0,46.0,47.0,45.0,47.0,46.0,46.0,46.0,46.0,45.0,46.0,46.0
125,46.0,48.0,47.0,45.0,48.0,45.0,47.0,45.0,46.0,46.0,46.0,43.0,46.0,46.0
126,41.0,45.0,44.0,41.0,44.0,41.0,44.0,42.0,41.0,40.0,40.0,40.0,40.0,40.0
127,48.0,47.0,47.0,46.0,47.0,46.0,47.0,46.0,45.0,45.0,47.0,44.0,47.0,47.0
128,46.0,48.0,48.0,45.0,48.0,46.0,48.0,45.0,45.0,45.0,47.0,44.0,47.0,47.0
129,40.0,44.0,42.0,40.0,43.0,39.0,42.0,40.0,39.0,39.0,38.0,38.0,40.0,40.0
130,47.0,47.0,46.0,46.0,46.0,44.0,46.0,46.0,45.0,45.0,46.0,44.0,45.0,45.0
131,46.0,48.0,46.0,44.0,47.0,44.0,46.0,44.0,45.0,45.0,46.0,42.0,46.0,46.0
132,40.0,45.0,43.0,41.0,43.0,40.0,43.0,41.0,40.0,40.0,39.0,39.0,40.0,40.0
133,47.0,48.0,46.0,46.0,46.0,45.0,46.0,46.0,46.0,46.0,46.0,45.0,46.0,46.0
134,46.0,49.0,47.0,44.0,48.0,45.0,47.0,44.0,46.0,46.0,46.0,43.0,46.0,46.0
135,40.0,44.0,43.0,41.0,43.0,40.0,43.0,42.0,41.0,40.0,39.0,40.0,39.0,40.0
136,47.0,45.0,44.0,43.0,44.0,42.0,44.0,43.0,42.0,42.0,47.0,41.0,41.0,41.0
137,46.0,46.0,46.0,43.0,46.0,45.0,46.0,44.0,45.0,44.0,47.0,44.0,45.0,46.0
138,40.0,42.0,40.0,39.0,41.0,40.0,41.0,39.0,39.0,39.0,39.0,38.0,39.0,39.0
139,46.0,47.0,47.0,44.0,47.0,46.0,47.0,44.0,44.0,44.0,44.0,43.0,44.0,44.0
140,45.0,45.0,45.0,43.0,45.0,45.0,45.0,43.0,44.0,44.0,42.0,42.0,42.0,42.0
141,40.0,41.0,40.0,39.0,41.0,39.0,41.0,39.0,39.0,39.0,39.0,38.0,39.0,39.0
142,47.0,47.0,47.0,45.0,47.0,45.0,47.0,45.0,45.0,45.0,46.0,44.0,46.0,46.0
143,46.0,47.0,46.0,43.0,46.0,45.0,45.0,43.0,45.0,45.0,46.0,42.0,46.0,46.0
144,40.0,42.0,40.0,40.0,41.0,40.0,41.0,40.0,40.0,39.0,39.0,39.0,39.0,39.0
145,47.0,47.0,47.0,44.0,47.0,46.0,47.0,44.0,45.0,44.0,46.0,44.0,45.0,46.0
146,46.0,47.0,47.0,44.0,47.0,45.0,45.0,44.0,44.0,44.0,46.0,42.0,45.0,46.0
147,39.0,41.0,39.0,39.0,40.0,38.0,40.0,39.0,39.0,39.0,38.0,38.0,38.0,38.0
148,47.0,47.0,46.0,44.0,47.0,44.0,46.0,44.0,45.0,45.0,46.0,44.0,46.0,46.0
149,46.0,48.0,46.0,44.0,47.0,44.0,44.0,44.0,45.0,45.0,46.0,41.0,46.0,46.0
150,40.0,42.0,40.0,40.0,41.0,39.0,41.0,40.0,40.0,39.0,39.0,39.0,39.0,39.0
