Scenario,Roll 0,Roll 1,Roll 2,Roll 3,Roll 4,Roll 5,Roll 6,Roll 7,Roll 8,Roll 9,Roll 10,Roll 11,Roll 12,Roll 13
53,52.0,48.0,50.0,51.0,50.0,51.0,49.0,49.0,51.0,51.0,50.0,48.0,50.0,51.0
54,46.0,45.0,47.0,47.0,43.0,48.0,49.0,49.0,47.0,47.0,48.0,46.0,47.0,45.0
55,50.0,49.0,48.0,52.0,48.0,50.0,48.0,48.0,50.0,51.0,51.0,49.0,47.0,49.0
56,50.0,51.0,51.0,51.0,49.0,50.0,48.0,48.0,51.0,50.0,49.0,48.0,50.0,49.0
57,47.0,45.0,48.0,48.0,44.0,49.0,49.0,49.0,46.0,48.0,47.0,45.0,45.0,46.0
58,51.0,50.0,49.0,53.0,49.0,50.0,49.0,49.0,51.0,52.0,51.0,50.0,48.0,50.0
59,51.0,51.0,52.0,52.0,50.0,51.0,49.0,49.0,50.0,51.0,49.0,48.0,49.0,50.0
60,45.0,36.0,44.0,39.0,45.0,45.0,45.0,45.0,43.0,46.0,45.0,38.0,38.0,44.0
61,50.0,41.0,48.0,43.0,50.0,50.0,50.0,50.0,48.0,52.0,48.0,43.0,41.0,49.0
62,47.0,41.0,48.0,44.0,47.0,50.0,50.0,50.0,45.0,50.0,48.0,41.0,40.0,46.0
63,47.0,41.0,42.0,39.0,45.0,50.0,51.0,51.0,45.0,51.0,49.0,43.0,38.0,46.0
64,49.0,39.0,43.0,39.0,39.0,44.0,50.0,50.0,47.0,49.0,46.0,43.0,43.0,48.0
65,48.0,41.0,42.0,40.0,41.0,45.0,51.0,51.0,46.0,51.0,47.0,42.0,42.0,47.0
66,48.0,39.0,43.0,39.0,46.0,51.0,52.0,52.0,46.0,51.0,48.0,44.0,39.0,47.0
67,50.0,40.0,44.0,39.0,40.0,45.0,51.0,51.0,48.0,49.0,47.0,44.0,43.0,49.0
68,48.0,42.0,43.0,40.0,42.0,46.0,52.0,52.0,46.0,51.0,47.0,41.0,42.0,47.0
69,45.0,45.0,46.0,49.0,43.0,44.0,45.0,45.0,45.0,49.0,47.0,44.0,44.0,44.0
70,49.0,50.0,47.0,49.0,41.0,41.0,49.0,49.0,46.0,49.0,48.0,49.0,50.0,48.0
71,49.0,49.0,44.0,48.0,42.0,40.0,49.0,49.0,47.0,49.0,47.0,48.0,50.0,48.0
72,45.0,44.0,45.0,48.0,43.0,48.0,45.0,45.0,44.0,50.0,46.0,44.0,45.0,44.0
73,49.0,49.0,46.0,48.0,48.0,49.0,48.0,48.0,46.0,49.0,47.0,49.0,49.0,48.0
74,49.0,50.0,46.0,47.0,49.0,48.0,48.0,48.0,47.0,49.0,48.0,48.0,50.0,48.0
75,45.0,35.0,43.0,39.0,44.0,49.0,46.0,46.0,43.0,49.0,47.0,37.0,37.0,44.0
76,49.0,40.0,47.0,42.0,49.0,49.0,49.0,49.0,47.0,50.0,47.0,43.0,43.0,48.0
77,47.0,40.0,47.0,44.0,47.0,49.0,49.0,49.0,44.0,49.0,48.0,41.0,42.0,46.0
78,45.0,38.0,42.0,38.0,47.0,47.0,48.0,48.0,43.0,47.0,44.0,40.0,36.0,44.0
79,49.0,41.0,43.0,40.0,41.0,41.0,50.0,50.0,47.0,48.0,48.0,44.0,44.0,48.0
80,49.0,43.0,43.0,38.0,43.0,41.0,51.0,51.0,46.0,47.0,46.0,41.0,43.0,48.0
81,46.0,46.0,47.0,48.0,44.0,45.0,46.0,46.0,46.0,45.0,48.0,44.0,45.0,45.0
82,50.0,51.0,48.0,49.0,42.0,42.0,50.0,50.0,47.0,50.0,49.0,50.0,51.0,49.0
83,50.0,48.0,45.0,47.0,43.0,40.0,50.0,50.0,48.0,49.0,46.0,48.0,51.0,49.0
84,45.0,45.0,46.0,47.0,44.0,44.0,45.0,45.0,45.0,46.0,47.0,44.0,44.0,44.0
85,50.0,50.0,47.0,48.0,49.0,50.0,49.0,49.0,47.0,50.0,48.0,50.0,50.0,49.0
86,50.0,51.0,47.0,47.0,50.0,49.0,49.0,49.0,48.0,49.0,49.0,49.0,51.0,49.0
87,45.0,35.0,42.0,38.0,44.0,45.0,45.0,45.0,43.0,45.0,44.0,37.0,37.0,44.0
88,50.0,41.0,48.0,42.0,50.0,50.0,50.0,50.0,48.0,51.0,48.0,44.0,44.0,49.0
89,48.0,41.0,48.0,42.0,47.0,50.0,50.0,50.0,45.0,49.0,49.0,42.0,43.0,47.0
90,47.0,46.0,44.0,49.0,43.0,44.0,46.0,46.0,46.0,45.0,48.0,44.0,47.0,46.0
91,49.0,52.0,47.0,48.0,41.0,41.0,50.0,50.0,52.0,49.0,48.0,49.0,51.0,48.0
92,48.0,51.0,44.0,48.0,42.0,40.0,48.0,48.0,48.0,48.0,46.0,46.0,47.0,47.0
93,47.0,45.0,46.0,48.0,43.0,49.0,50.0,50.0,46.0,47.0,48.0,46.0,47.0,46.0
94,51.0,51.0,52.0,52.0,49.0,50.0,50.0,50.0,52.0,50.0,51.0,52.0,51.0,50.0
95,50.0,51.0,48.0,50.0,49.0,49.0,48.0,48.0,50.0,49.0,49.0,48.0,50.0,49.0
96,47.0,45.0,47.0,48.0,44.0,49.0,50.0,50.0,46.0,48.0,47.0,45.0,45.0,46.0
97,52.0,51.0,53.0,53.0,50.0,51.0,51.0,51.0,52.0,51.0,51.0,51.0,49.0,51.0
98,51.0,47.0,49.0,50.0,49.0,50.0,48.0,48.0,50.0,50.0,49.0,47.0,49.0,50.0
99,46.0,44.0,46.0,47.0,42.0,48.0,49.0,49.0,46.0,46.0,47.0,45.0,46.0,45.0
100,50.0,50.0,51.0,51.0,48.0,49.0,49.0,49.0,51.0,50.0,50.0,51.0,50.0,49.0
101,49.0,50.0,50.0,50.0,48.0,49.0,47.0,47.0,50.0,49.0,48.0,47.0,49.0,48.0
102,46.0,44.0,47.0,47.0,43.0,48.0,49.0,49.0,45.0,47.0,46.0,44.0,44.0,45.0
103,51.0,50.0,52.0,52.0,49.0,50.0,50.0,50.0,51.0,51.0,50.0,50.0,48.0,50.0
104,50.0,50.0,51.0,51.0,49.0,50.0,48.0,48.0,49.0,50.0,48.0,47.0,48.0,49.0
105,44.0,35.0,43.0,39.0,44.0,44.0,45.0,45.0,42.0,45.0,44.0,37.0,37.0,43.0
106,49.0,40.0,48.0,42.0,49.0,50.0,50.0,50.0,47.0,51.0,48.0,42.0,40.0,48.0
107,46.0,40.0,47.0,43.0,46.0,49.0,49.0,49.0,44.0,50.0,47.0,40.0,40.0,45.0
108,44.0,34.0,41.0,38.0,43.0,45.0,46.0,46.0,41.0,43.0,43.0,36.0,33.0,43.0
109,49.0,41.0,43.0,36.0,41.0,40.0,50.0,50.0,47.0,47.0,49.0,43.0,41.0,48.0
110,45.0,39.0,41.0,38.0,40.0,41.0,50.0,50.0,42.0,47.0,46.0,41.0,40.0,44.0
111,46.0,46.0,47.0,48.0,44.0,46.0,47.0,47.0,46.0,45.0,47.0,43.0,42.0,45.0
112,51.0,52.0,49.0,46.0,42.0,42.0,51.0,51.0,48.0,49.0,50.0,51.0,50.0,50.0
113,50.0,49.0,46.0,48.0,43.0,41.0,50.0,50.0,48.0,48.0,47.0,48.0,49.0,49.0
114,45.0,45.0,46.0,47.0,44.0,45.0,46.0,46.0,45.0,45.0,46.0,43.0,42.0,44.0
115,51.0,51.0,48.0,45.0,50.0,50.0,50.0,50.0,48.0,49.0,49.0,51.0,49.0,50.0
116,50.0,51.0,47.0,48.0,50.0,49.0,49.0,49.0,48.0,48.0,49.0,49.0,49.0,49.0
117,44.0,35.0,42.0,38.0,44.0,45.0,46.0,46.0,41.0,45.0,45.0,36.0,34.0,43.0
118,51.0,42.0,49.0,40.0,51.0,51.0,51.0,51.0,49.0,50.0,49.0,44.0,42.0,50.0
119,46.0,41.0,44.0,42.0,48.0,50.0,50.0,50.0,44.0,49.0,49.0,42.0,41.0,45.0
120,47.0,46.0,45.0,49.0,43.0,45.0,46.0,46.0,46.0,45.0,47.0,44.0,45.0,46.0
121,50.0,53.0,48.0,48.0,42.0,42.0,51.0,51.0,53.0,50.0,49.0,50.0,52.0,49.0
122,49.0,48.0,44.0,47.0,43.0,40.0,49.0,49.0,48.0,49.0,46.0,46.0,48.0,48.0
123,47.0,46.0,47.0,48.0,44.0,50.0,51.0,51.0,47.0,45.0,49.0,46.0,46.0,46.0
124,52.0,52.0,53.0,49.0,50.0,51.0,51.0,51.0,53.0,51.0,49.0,53.0,52.0,51.0
125,49.0,52.0,48.0,51.0,50.0,50.0,49.0,49.0,51.0,50.0,50.0,48.0,51.0,48.0
126,48.0,45.0,47.0,49.0,44.0,50.0,51.0,51.0,46.0,46.0,47.0,45.0,44.0,47.0
127,53.0,52.0,54.0,50.0,51.0,52.0,52.0,52.0,53.0,52.0,49.0,52.0,50.0,52.0
128,49.0,48.0,49.0,51.0,46.0,51.0,49.0,49.0,48.0,51.0,49.0,47.0,50.0,48.0
129,46.0,45.0,47.0,47.0,43.0,49.0,50.0,50.0,47.0,44.0,48.0,45.0,45.0,45.0
130,51.0,51.0,52.0,48.0,49.0,50.0,50.0,50.0,52.0,51.0,48.0,52.0,51.0,50.0
131,48.0,51.0,51.0,51.0,49.0,49.0,48.0,48.0,51.0,50.0,49.0,47.0,50.0,47.0
132,47.0,45.0,48.0,48.0,43.0,49.0,50.0,50.0,45.0,45.0,46.0,44.0,43.0,46.0
133,52.0,51.0,53.0,49.0,50.0,51.0,51.0,51.0,52.0,52.0,49.0,51.0,49.0,51.0
134,49.0,51.0,52.0,52.0,49.0,50.0,49.0,49.0,47.0,51.0,48.0,48.0,49.0,48.0
135,44.0,35.0,44.0,39.0,44.0,45.0,46.0,46.0,42.0,46.0,45.0,37.0,35.0,43.0
136,50.0,41.0,49.0,41.0,50.0,51.0,51.0,51.0,48.0,52.0,49.0,43.0,41.0,49.0
137,47.0,40.0,45.0,43.0,47.0,50.0,50.0,50.0,45.0,51.0,48.0,41.0,41.0,46.0
138,46.0,47.0,45.0,48.0,47.0,45.0,46.0,46.0,46.0,50.0,50.0,46.0,46.0,45.0
139,46.0,47.0,43.0,46.0,39.0,46.0,47.0,47.0,48.0,49.0,45.0,48.0,46.0,45.0
140,48.0,53.0,44.0,49.0,42.0,47.0,48.0,48.0,48.0,49.0,46.0,47.0,47.0,47.0
141,49.0,48.0,46.0,49.0,48.0,48.0,49.0,49.0,47.0,50.0,50.0,46.0,49.0,48.0
142,49.0,51.0,48.0,50.0,44.0,50.0,49.0,49.0,52.0,51.0,49.0,49.0,50.0,48.0
143,52.0,53.0,48.0,50.0,50.0,51.0,52.0,52.0,52.0,52.0,50.0,48.0,50.0,51.0
144,49.0,46.0,47.0,49.0,46.0,49.0,49.0,49.0,47.0,49.0,47.0,45.0,48.0,48.0
145,49.0,52.0,49.0,51.0,45.0,46.0,50.0,50.0,52.0,52.0,49.0,49.0,51.0,48.0
146,53.0,48.0,49.0,51.0,51.0,52.0,53.0,53.0,51.0,52.0,49.0,47.0,49.0,52.0
147,49.0,48.0,47.0,50.0,48.0,49.0,50.0,50.0,47.0,49.0,49.0,46.0,49.0,48.0
148,51.0,50.0,52.0,51.0,48.0,55.0,51.0,51.0,53.0,51.0,48.0,51.0,50.0,50.0
149,52.0,52.0,52.0,54.0,50.0,54.0,52.0,52.0,53.0,53.0,53.0,47.0,50.0,51.0
150,49.0,46.0,48.0,49.0,46.0,50.0,50.0,50.0,47.0,49.0,49.0,46.0,48.0,48.0
151,52.0,51.0,53.0,52.0,49.0,55.0,51.0,51.0,52.0,52.0,49.0,52.0,51.0,51.0
152,53.0,51.0,53.0,55.0,51.0,55.0,53.0,53.0,52.0,52.0,53.0,48.0,50.0,52.0
153,47.0,45.0,47.0,49.0,44.0,49.0,49.0,49.0,46.0,47.0,47.0,45.0,44.0,46.0
154,52.0,51.0,53.0,50.0,50.0,51.0,51.0,51.0,52.0,53.0,49.0,51.0,49.0,51.0
155,49.0,47.0,49.0,55.0,47.0,55.0,51.0,51.0,48.0,50.0,52.0,47.0,49.0,48.0
156,48.0,47.0,46.0,50.0,47.0,48.0,49.0,49.0,46.0,48.0,48.0,45.0,48.0,47.0
157,51.0,49.0,51.0,51.0,47.0,54.0,52.0,52.0,53.0,50.0,47.0,50.0,49.0,50.0
158,51.0,51.0,52.0,54.0,49.0,53.0,51.0,51.0,52.0,52.0,52.0,46.0,49.0,50.0
159,48.0,45.0,47.0,49.0,45.0,49.0,49.0,49.0,46.0,48.0,48.0,45.0,47.0,47.0
160,52.0,50.0,52.0,51.0,48.0,54.0,53.0,53.0,51.0,51.0,48.0,51.0,50.0,51.0
161,52.0,51.0,53.0,54.0,50.0,54.0,52.0,52.0,51.0,51.0,52.0,47.0,49.0,51.0
162,46.0,44.0,48.0,48.0,44.0,49.0,49.0,49.0,47.0,49.0,49.0,44.0,43.0,45.0
163,52.0,50.0,52.0,49.0,49.0,53.0,53.0,53.0,51.0,52.0,48.0,50.0,48.0,51.0
164,48.0,50.0,49.0,54.0,49.0,54.0,51.0,51.0,49.0,50.0,51.0,48.0,48.0,47.0
165,43.0,34.0,43.0,39.0,43.0,45.0,45.0,45.0,41.0,50.0,50.0,36.0,34.0,42.0
166,49.0,40.0,48.0,41.0,49.0,50.0,50.0,50.0,47.0,52.0,48.0,43.0,41.0,48.0
167,47.0,40.0,45.0,43.0,45.0,50.0,48.0,48.0,45.0,47.0,48.0,41.0,40.0,46.0
