Scenario,Roll 0,Roll 1,Roll 2,Roll 3,Roll 4,Roll 5,Roll 6,Roll 7,Roll 8
82,44.0,44.0,44.0,43.0,44.0,42.0,42.0,44.0,43.0
83,43.0,41.0,43.0,43.0,41.0,41.0,42.0,42.0,42.0
84,42.0,42.0,42.0,41.0,42.0,42.0,42.0,42.0,42.0
85,43.0,43.0,43.0,43.0,43.0,42.0,42.0,43.0,42.0
86,42.0,44.0,42.0,42.0,44.0,43.0,43.0,42.0,41.0
87,42.0,43.0,42.0,42.0,43.0,43.0,43.0,41.0,41.0
88,44.0,43.0,44.0,44.0,43.0,43.0,43.0,43.0,43.0
89,43.0,45.0,43.0,42.0,45.0,44.0,44.0,43.0,42.0
90,42.0,43.0,42.0,41.0,43.0,41.0,40.0,43.0,43.0
91,40.0,41.0,40.0,39.0,41.0,41.0,42.0,40.0,43.0
92,44.0,42.0,44.0,43.0,42.0,43.0,41.0,41.0,41.0
93,44.0,44.0,44.0,43.0,44.0,43.0,43.0,44.0,44.0
94,43.0,40.0,43.0,42.0,40.0,40.0,42.0,42.0,42.0
95,43.0,41.0,43.0,42.0,41.0,42.0,41.0,40.0,40.0
96,45.0,45.0,45.0,44.0,45.0,44.0,44.0,45.0,45.0
97,44.0,40.0,44.0,43.0,39.0,41.0,40.0,43.0,43.0
98,44.0,40.0,44.0,43.0,40.0,43.0,42.0,41.0,41.0
99,43.0,43.0,43.0,42.0,43.0,42.0,42.0,43.0,43.0
100,42.0,43.0,42.0,41.0,43.0,43.0,43.0,41.0,41.0
101,42.0,44.0,42.0,41.0,44.0,44.0,44.0,40.0,39.0
102,44.0,44.0,44.0,43.0,44.0,43.0,43.0,44.0,44.0
103,43.0,44.0,43.0,42.0,44.0,44.0,44.0,42.0,42.0
104,43.0,45.0,43.0,42.0,45.0,45.0,45.0,41.0,40.0
105,42.0,44.0,42.0,41.0,44.0,44.0,44.0,41.0,41.0
106,44.0,45.0,44.0,43.0,45.0,45.0,45.0,43.0,43.0
107,39.0,46.0,39.0,38.0,46.0,46.0,46.0,42.0,39.0
108,41.0,37.0,37.0,41.0,41.0,37.0,38.0,38.0,37.0
109,43.0,37.0,42.0,43.0,41.0,38.0,39.0,42.0,42.0
110,42.0,37.0,38.0,42.0,40.0,38.0,39.0,39.0,38.0
111,43.0,39.0,39.0,43.0,43.0,38.0,39.0,39.0,39.0
112,44.0,40.0,42.0,44.0,44.0,39.0,39.0,42.0,42.0
113,43.0,38.0,42.0,43.0,41.0,39.0,41.0,41.0,38.0
114,42.0,41.0,38.0,42.0,42.0,41.0,41.0,38.0,38.0
115,43.0,39.0,42.0,43.0,43.0,38.0,38.0,41.0,41.0
116,42.0,40.0,41.0,42.0,44.0,39.0,40.0,40.0,37.0
117,42.0,42.0,38.0,42.0,43.0,42.0,42.0,39.0,37.0
118,44.0,39.0,43.0,44.0,43.0,39.0,39.0,42.0,42.0
119,43.0,41.0,39.0,43.0,45.0,40.0,40.0,40.0,38.0
120,42.0,42.0,39.0,42.0,43.0,40.0,39.0,42.0,42.0
121,40.0,40.0,40.0,40.0,41.0,40.0,41.0,40.0,42.0
122,44.0,41.0,43.0,44.0,42.0,42.0,40.0,40.0,40.0
123,44.0,43.0,40.0,44.0,44.0,42.0,42.0,42.0,41.0
124,43.0,40.0,42.0,43.0,40.0,40.0,41.0,41.0,41.0
125,43.0,40.0,42.0,43.0,41.0,41.0,40.0,41.0,40.0
126,45.0,42.0,41.0,45.0,45.0,42.0,41.0,41.0,41.0
127,44.0,41.0,43.0,44.0,39.0,41.0,41.0,42.0,42.0
128,44.0,41.0,43.0,44.0,40.0,42.0,41.0,41.0,41.0
129,43.0,42.0,39.0,43.0,43.0,42.0,42.0,41.0,40.0
130,42.0,42.0,41.0,42.0,43.0,42.0,42.0,40.0,40.0
131,42.0,43.0,41.0,42.0,44.0,43.0,43.0,40.0,39.0
132,44.0,43.0,40.0,44.0,44.0,43.0,43.0,40.0,40.0
133,43.0,43.0,42.0,43.0,44.0,43.0,43.0,41.0,41.0
134,43.0,44.0,42.0,43.0,45.0,44.0,44.0,40.0,40.0
135,42.0,44.0,38.0,42.0,44.0,44.0,44.0,40.0,37.0
136,44.0,44.0,43.0,44.0,45.0,44.0,44.0,42.0,42.0
137,39.0,45.0,38.0,39.0,46.0,45.0,45.0,41.0,38.0
138,39.0,42.0,39.0,40.0,40.0,40.0,41.0,40.0,38.0
139,34.0,38.0,36.0,39.0,34.0,41.0,38.0,37.0,39.0
140,38.0,37.0,41.0,39.0,35.0,39.0,37.0,38.0,37.0
141,39.0,43.0,40.0,39.0,43.0,41.0,41.0,43.0,43.0
142,37.0,40.0,40.0,39.0,38.0,40.0,38.0,40.0,40.0
143,37.0,40.0,40.0,40.0,38.0,40.0,37.0,41.0,40.0
144,40.0,44.0,40.0,39.0,44.0,42.0,40.0,44.0,44.0
145,37.0,41.0,40.0,39.0,39.0,39.0,38.0,41.0,41.0
146,38.0,41.0,41.0,39.0,39.0,41.0,38.0,41.0,41.0
147,38.0,44.0,39.0,38.0,44.0,43.0,43.0,43.0,42.0
148,36.0,41.0,39.0,38.0,38.0,40.0,41.0,41.0,39.0
149,36.0,41.0,39.0,39.0,39.0,40.0,41.0,41.0,39.0
150,39.0,45.0,40.0,38.0,45.0,44.0,44.0,44.0,43.0
151,37.0,42.0,40.0,38.0,39.0,41.0,42.0,42.0,40.0
152,37.0,42.0,40.0,39.0,40.0,41.0,41.0,41.0,40.0
153,38.0,44.0,40.0,37.0,44.0,44.0,43.0,40.0,40.0
154,37.0,41.0,40.0,38.0,39.0,41.0,41.0,39.0,40.0
155,36.0,41.0,39.0,39.0,39.0,41.0,40.0,37.0,35.0
156,37.0,43.0,38.0,37.0,43.0,42.0,42.0,42.0,41.0
157,35.0,40.0,38.0,37.0,38.0,39.0,41.0,41.0,38.0
158,35.0,40.0,38.0,38.0,38.0,39.0,40.0,40.0,38.0
159,38.0,44.0,39.0,37.0,44.0,43.0,43.0,43.0,42.0
160,36.0,41.0,39.0,37.0,39.0,40.0,42.0,42.0,39.0
161,36.0,41.0,39.0,38.0,39.0,40.0,40.0,41.0,39.0
162,37.0,43.0,40.0,37.0,43.0,43.0,43.0,40.0,40.0
163,37.0,40.0,40.0,38.0,38.0,40.0,40.0,39.0,39.0
164,36.0,40.0,39.0,39.0,38.0,41.0,40.0,37.0,35.0
165,38.0,44.0,39.0,37.0,44.0,44.0,43.0,38.0,38.0
166,38.0,41.0,41.0,38.0,39.0,41.0,40.0,40.0,40.0
167,33.0,41.0,35.0,38.0,39.0,41.0,40.0,36.0,35.0
