Scenario,Roll 0,Roll 1,Roll 2,Roll 3,Roll 4,Roll 5,Roll 6,Roll 7,Roll 8,Roll 9,Roll 10,Roll 11
62,46.0,45.0,51.0,51.0,50.0,51.0,52.0,52.0,51.0,48.0,43.0,52.0
63,47.0,51.0,50.0,50.0,53.0,53.0,49.0,49.0,50.0,48.0,49.0,50.0
64,47.0,48.0,51.0,51.0,54.0,54.0,50.0,50.0,50.0,53.0,51.0,51.0
65,48.0,51.0,50.0,50.0,54.0,54.0,48.0,48.0,50.0,49.0,51.0,48.0
66,47.0,47.0,51.0,51.0,54.0,54.0,50.0,50.0,50.0,49.0,47.0,50.0
67,48.0,47.0,50.0,50.0,55.0,55.0,51.0,51.0,51.0,54.0,47.0,51.0
68,49.0,49.0,50.0,50.0,55.0,55.0,48.0,48.0,48.0,50.0,51.0,48.0
69,46.0,51.0,51.0,51.0,52.0,52.0,47.0,47.0,49.0,50.0,49.0,49.0
70,46.0,49.0,52.0,52.0,50.0,50.0,48.0,48.0,50.0,49.0,51.0,51.0
71,49.0,49.0,52.0,52.0,52.0,51.0,47.0,47.0,48.0,49.0,52.0,48.0
72,49.0,51.0,50.0,50.0,52.0,52.0,50.0,50.0,51.0,49.0,49.0,50.0
73,50.0,49.0,51.0,51.0,49.0,49.0,52.0,52.0,52.0,50.0,51.0,52.0
74,53.0,53.0,52.0,52.0,51.0,50.0,47.0,47.0,51.0,52.0,51.0,51.0
75,50.0,50.0,48.0,48.0,52.0,52.0,51.0,51.0,52.0,48.0,48.0,50.0
76,51.0,49.0,49.0,49.0,50.0,50.0,53.0,53.0,53.0,51.0,47.0,53.0
77,54.0,54.0,52.0,52.0,52.0,51.0,48.0,48.0,52.0,53.0,52.0,51.0
78,46.0,47.0,50.0,50.0,53.0,53.0,47.0,47.0,50.0,49.0,46.0,47.0
79,48.0,47.0,50.0,50.0,55.0,55.0,49.0,49.0,51.0,54.0,47.0,49.0
80,48.0,48.0,50.0,50.0,55.0,55.0,46.0,46.0,49.0,51.0,50.0,46.0
81,47.0,51.0,52.0,52.0,53.0,53.0,47.0,47.0,50.0,51.0,49.0,47.0
82,47.0,48.0,53.0,53.0,50.0,50.0,49.0,49.0,51.0,49.0,50.0,49.0
83,47.0,48.0,50.0,50.0,51.0,50.0,47.0,47.0,48.0,49.0,51.0,46.0
84,47.0,51.0,51.0,51.0,53.0,53.0,51.0,51.0,52.0,50.0,49.0,50.0
85,51.0,48.0,52.0,52.0,49.0,50.0,53.0,53.0,53.0,51.0,50.0,53.0
86,51.0,51.0,51.0,51.0,51.0,51.0,48.0,48.0,52.0,53.0,51.0,48.0
87,48.0,48.0,48.0,48.0,53.0,53.0,52.0,52.0,53.0,49.0,46.0,50.0
88,52.0,49.0,49.0,49.0,50.0,50.0,54.0,54.0,54.0,52.0,47.0,54.0
89,52.0,52.0,51.0,51.0,52.0,52.0,49.0,49.0,53.0,54.0,50.0,49.0
90,45.0,49.0,50.0,50.0,50.0,48.0,46.0,46.0,47.0,51.0,48.0,46.0
91,48.0,47.0,50.0,50.0,50.0,49.0,47.0,47.0,47.0,51.0,51.0,47.0
92,47.0,47.0,52.0,52.0,52.0,52.0,47.0,47.0,47.0,48.0,50.0,46.0
93,47.0,50.0,49.0,49.0,49.0,47.0,50.0,50.0,50.0,51.0,48.0,50.0
94,52.0,51.0,52.0,52.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0
95,51.0,51.0,51.0,51.0,52.0,52.0,47.0,47.0,50.0,48.0,50.0,47.0
96,47.0,50.0,48.0,48.0,50.0,48.0,50.0,50.0,51.0,51.0,48.0,50.0
97,52.0,52.0,53.0,53.0,52.0,52.0,51.0,51.0,51.0,51.0,50.0,51.0
98,52.0,52.0,50.0,50.0,52.0,50.0,48.0,48.0,50.0,48.0,50.0,47.0
99,47.0,50.0,48.0,48.0,48.0,46.0,50.0,50.0,49.0,50.0,47.0,50.0
100,52.0,51.0,51.0,51.0,50.0,50.0,52.0,52.0,51.0,50.0,50.0,52.0
101,51.0,51.0,52.0,52.0,51.0,51.0,51.0,51.0,50.0,47.0,49.0,51.0
102,47.0,50.0,48.0,48.0,49.0,47.0,51.0,51.0,50.0,50.0,48.0,50.0
103,52.0,52.0,52.0,52.0,51.0,51.0,53.0,53.0,51.0,50.0,50.0,53.0
104,52.0,52.0,52.0,52.0,51.0,49.0,51.0,51.0,50.0,47.0,50.0,51.0
105,47.0,47.0,45.0,46.0,48.0,48.0,51.0,51.0,50.0,49.0,45.0,50.0
106,52.0,47.0,48.0,48.0,50.0,48.0,53.0,53.0,51.0,50.0,45.0,53.0
107,51.0,51.0,50.0,50.0,50.0,50.0,51.0,51.0,50.0,48.0,49.0,51.0
108,46.0,46.0,47.0,47.0,52.0,52.0,45.0,45.0,45.0,47.0,46.0,45.0
109,49.0,43.0,49.0,49.0,54.0,54.0,43.0,43.0,47.0,48.0,46.0,43.0
110,48.0,48.0,49.0,49.0,54.0,54.0,42.0,42.0,43.0,51.0,50.0,42.0
111,47.0,51.0,51.0,51.0,52.0,52.0,45.0,45.0,45.0,51.0,50.0,45.0
112,48.0,48.0,51.0,51.0,51.0,51.0,43.0,43.0,47.0,49.0,51.0,43.0
113,48.0,48.0,48.0,48.0,50.0,50.0,43.0,43.0,43.0,50.0,52.0,42.0
114,48.0,51.0,50.0,50.0,52.0,52.0,47.0,47.0,46.0,50.0,50.0,45.0
115,52.0,48.0,50.0,50.0,50.0,50.0,47.0,47.0,51.0,48.0,51.0,47.0
116,52.0,52.0,47.0,47.0,49.0,50.0,46.0,46.0,46.0,53.0,52.0,46.0
117,49.0,49.0,47.0,47.0,52.0,52.0,47.0,47.0,47.0,48.0,47.0,45.0
118,53.0,48.0,47.0,47.0,51.0,51.0,48.0,48.0,52.0,48.0,46.0,48.0
119,53.0,53.0,46.0,46.0,50.0,51.0,47.0,47.0,47.0,54.0,51.0,47.0
120,46.0,50.0,48.0,48.0,48.0,46.0,42.0,42.0,44.0,52.0,49.0,41.0
121,49.0,48.0,48.0,48.0,49.0,48.0,42.0,42.0,47.0,52.0,52.0,43.0
122,48.0,48.0,50.0,50.0,50.0,51.0,42.0,42.0,43.0,49.0,51.0,42.0
123,48.0,51.0,47.0,48.0,47.0,46.0,47.0,47.0,47.0,52.0,49.0,44.0
124,53.0,52.0,50.0,50.0,49.0,50.0,46.0,46.0,51.0,52.0,52.0,47.0
125,52.0,52.0,49.0,49.0,50.0,51.0,46.0,46.0,47.0,49.0,51.0,42.0
126,48.0,51.0,47.0,47.0,48.0,46.0,47.0,47.0,48.0,52.0,49.0,45.0
127,53.0,53.0,51.0,51.0,50.0,51.0,47.0,47.0,52.0,52.0,51.0,47.0
128,52.0,53.0,50.0,50.0,51.0,50.0,47.0,47.0,48.0,49.0,51.0,43.0
129,48.0,51.0,46.0,47.0,46.0,45.0,51.0,51.0,47.0,51.0,48.0,44.0
130,53.0,52.0,49.0,49.0,48.0,49.0,46.0,46.0,51.0,51.0,51.0,47.0
