Scenario,Roll 0,Roll 1,Roll 2,Roll 3,Roll 4,Roll 5,Roll 6,Roll 7,Roll 8,Roll 9
74,54.0,48.0,48.0,54.0,54.0,48.0,48.0,52.0,52.0,53.0
75,41.0,43.0,41.0,41.0,41.0,42.0,42.0,42.0,42.0,40.0
76,46.0,47.0,46.0,45.0,45.0,46.0,46.0,46.0,46.0,45.0
77,47.0,47.0,46.0,47.0,47.0,43.0,43.0,45.0,45.0,46.0
78,40.0,43.0,42.0,40.0,40.0,39.0,39.0,40.0,42.0,39.0
79,42.0,47.0,45.0,42.0,42.0,44.0,44.0,44.0,44.0,41.0
80,44.0,47.0,47.0,44.0,42.0,42.0,42.0,46.0,46.0,43.0
81,48.0,45.0,45.0,48.0,48.0,45.0,45.0,46.0,46.0,47.0
82,50.0,47.0,47.0,49.0,49.0,48.0,48.0,48.0,48.0,49.0
83,50.0,50.0,50.0,51.0,49.0,48.0,48.0,50.0,50.0,49.0
84,48.0,44.0,44.0,48.0,48.0,47.0,47.0,47.0,47.0,47.0
85,49.0,47.0,46.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0
86,54.0,49.0,49.0,54.0,54.0,49.0,49.0,53.0,53.0,53.0
87,41.0,43.0,42.0,41.0,41.0,43.0,43.0,43.0,43.0,40.0
88,43.0,48.0,46.0,42.0,42.0,44.0,44.0,44.0,44.0,42.0
89,47.0,47.0,46.0,47.0,47.0,44.0,44.0,46.0,46.0,46.0
90,47.0,44.0,43.0,46.0,46.0,45.0,45.0,46.0,46.0,46.0
91,50.0,47.0,45.0,51.0,49.0,48.0,48.0,50.0,50.0,49.0
92,50.0,48.0,47.0,49.0,49.0,48.0,48.0,48.0,48.0,49.0
93,49.0,47.0,46.0,48.0,48.0,47.0,47.0,47.0,47.0,48.0
94,49.0,46.0,45.0,50.0,48.0,48.0,48.0,49.0,49.0,48.0
95,53.0,49.0,47.0,52.0,52.0,49.0,49.0,50.0,50.0,52.0
96,47.0,48.0,47.0,46.0,46.0,45.0,45.0,45.0,45.0,46.0
97,48.0,47.0,45.0,47.0,47.0,46.0,46.0,46.0,46.0,47.0
98,50.0,49.0,48.0,49.0,49.0,50.0,50.0,50.0,50.0,49.0
