Turn 6,Turn 7,Score,Connecting Exits,Longest Railway,Longest Highway,Centre Points,Errors,Bonus Point
0,0,51,32,9,9,6,-5,0
0,1,50,32,9,7,6,-4,0
0,2,48,32,9,8,6,-7,0
