Scenario,Roll 0,Roll 1,Roll 2,Roll 3,Roll 4
143,41.0,41.0,43.0,43.0,42.0
144,42.0,42.0,41.0,41.0,39.0
145,43.0,43.0,42.0,42.0,45.0
146,42.0,42.0,42.0,42.0,42.0
147,42.0,42.0,43.0,43.0,41.0
148,43.0,43.0,41.0,41.0,45.0
149,43.0,43.0,45.0,45.0,43.0
150,43.0,43.0,44.0,44.0,42.0
151,43.0,43.0,42.0,42.0,45.0
152,43.0,43.0,46.0,46.0,44.0
153,43.0,43.0,45.0,45.0,39.0
154,43.0,43.0,43.0,43.0,45.0
155,43.0,43.0,47.0,47.0,44.0
156,41.0,41.0,42.0,42.0,40.0
157,42.0,42.0,40.0,40.0,44.0
158,42.0,42.0,44.0,44.0,43.0
159,42.0,42.0,43.0,43.0,41.0
160,42.0,42.0,41.0,41.0,44.0
161,42.0,42.0,45.0,45.0,43.0
162,42.0,42.0,44.0,44.0,39.0
163,42.0,42.0,42.0,42.0,44.0
164,42.0,42.0,46.0,46.0,43.0
165,38.0,38.0,41.0,42.0,38.0
166,38.0,38.0,42.0,42.0,41.0
167,40.0,40.0,45.0,45.0,39.0
